"#name MainlineTask","#unique id","#index preTask","","","","","","","",""
"id","mainlineId","preTask","desc","parallel","taskType","taskParams","taskTargetNum","rewards"
"10085","1001","10084","神坛升级1次","0","TRAININGCAMP_UP_LEVEL","110","1","1#50"
"10086","1001","10085","消灭60只犀牛","0","KILL_MONSTER","7000057","60","1#55"
"10087","1001","10086","消灭30只蓝弓狼","0","KILL_MONSTER","7000058","30","1#55"
"10088","1001","10087","消灭帝释天","1","KILL_MONSTER","7000911","1","1#55"
"10089","1001","10088","等级达到35级","1","ROLE_LEVEL","7","35","1#60"
"10090","1001","10089","神像召唤5次","0","RECRUIT_NUM","100","5","1#60"
"10091","1001","10090","神坛升级1次","0","TRAININGCAMP_UP_LEVEL","110","1","1#60"
"10092","1001","10091","消灭60只枪魂","0","KILL_MONSTER","7000059","60","1#60"
"10093","1001","10092","激活传送节点","1","BUILDING_TRANSMIT","8","1","1#100"
"10094","1001","10093","神像召唤5次","0","RECRUIT_NUM","100","5","1#50"
"10095","1001","10094","神坛升级1次","0","TRAININGCAMP_UP_LEVEL","110","1","1#50"
"10096","1001","10095","消灭60只刀魂","0","KILL_MONSTER","7000061","60","1#60"
"10097","1001","10096","消灭30只黄弓狼","0","KILL_MONSTER","7000062","30","1#60"
"10098","1001","10097","消灭雷震子","1","KILL_MONSTER","7000912","1","1#60"
"10099","1001","10098","激活传送节点","1","BUILDING_TRANSMIT","9","1","1#100"
"10100","1002","10099","消灭60只变异青蛇","0","KILL_MONSTER","7000063","60","1#65"
"10101","1002","10100","消灭60只变异鱼妖","0","KILL_MONSTER","7000064","60","1#65"
"10102","1002","10101","消灭60只紫花妖","0","KILL_MONSTER","7000066","60","1#65"
"10103","1002","10102","消灭夜叉王","1","KILL_MONSTER","7000913","1","1#70"
"10104","1002","10103","消灭60只蛙妖","0","KILL_MONSTER","7000067","60","1#70"
"10105","1002","10104","激活传送节点","1","BUILDING_TRANSMIT","10","1","1#100"
"10106","1002","10105","神像召唤5次","0","RECRUIT_NUM","100","5","1#70"
"10107","1002","10106","神坛升级1次","0","TRAININGCAMP_UP_LEVEL","110","1","1#70"
"10108","1002","10107","挑战1次秘境副本","1","CHALLENGE_DUNGEONS","1000001","1","1#70"
"10109","1002","10108","消灭60只蓝弓狼","0","KILL_MONSTER","7000070","60","1#70"
"10110","1002","10109","消灭60只野猪","0","KILL_MONSTER","7000069","60","1#70"
"10111","1002","10110","消灭女娲","1","KILL_MONSTER","7000914","1","1#75"
"10112","1002","10111","等级达到40级","1","ROLE_LEVEL","7","40","1#75"
"10113","1002","10112","消灭60只灰豺狼","0","KILL_MONSTER","7000071","60","1#75"
"10114","1002","10113","消灭60只植物怪","0","KILL_MONSTER","7000073","60","1#75"
"10115","1002","10114","消灭60只灰弓狼","0","KILL_MONSTER","7000074","60","1#75"
"10116","1002","10115","消灭巡海蛟","1","KILL_MONSTER","7000915","1","1#80"
"10117","1002","10116","激活传送节点","1","BUILDING_TRANSMIT","11","1","1#100"
"10118","1002","10117","神像召唤5次","0","RECRUIT_NUM","100","5","1#80"
"10119","1002","10118","神坛升级1次","0","TRAININGCAMP_UP_LEVEL","110","1","1#80"
"10120","1002","10119","等级达到45级","1","ROLE_LEVEL","7","45","1#80"
"10121","1002","10120","消灭60只蓝豺狼","0","KILL_MONSTER","7000075","60","1#80"
"10122","1002","10121","消灭60只蓝枪狼","0","KILL_MONSTER","7000077","60","1#80"
"10123","1002","10122","消灭60只蓝刀狼","0","KILL_MONSTER","7000078","60","1#80"
"10124","1002","10123","消灭银角大王","1","KILL_MONSTER","7000916","1","1#85"
"10125","1002","10124","消灭60只巡山妖","0","KILL_MONSTER","7000079","60","1#90"
"10126","1002","10125","激活传送节点","1","BUILDING_TRANSMIT","12","1","1#100"
"10127","1002","10126","神像召唤5次","0","RECRUIT_NUM","100","5","1#90"
"10128","1002","10127","神坛升级1次","0","TRAININGCAMP_UP_LEVEL","110","1","1#90"
"10129","1002","10128","消灭60只犀牛","0","KILL_MONSTER","7000081","60","1#90"
"10130","1002","10129","消灭60只蓝弓狼","0","KILL_MONSTER","7000082","60","1#90"
"10131","1002","10130","消灭百花妖","1","KILL_MONSTER","7000917","1","1#95"
"10132","1002","10131","等级达到50级","1","ROLE_LEVEL","7","50","1#95"
"10133","1002","10132","神像召唤5次","0","RECRUIT_NUM","100","5","1#95"
"10134","1002","10133","神坛升级1次","0","TRAININGCAMP_UP_LEVEL","110","1","1#95"
"10135","1002","10134","消灭60只枪魂","0","KILL_MONSTER","7000083","60","1#95"
"10136","1002","10135","激活传送节点","1","BUILDING_TRANSMIT","13","1","1#100"
"10137","1002","10136","神像召唤5次","0","RECRUIT_NUM","100","5","1#95"
"10138","1002","10137","神坛升级1次","0","TRAININGCAMP_UP_LEVEL","110","1","1#95"
"10139","1002","10138","消灭60只刀魂","0","KILL_MONSTER","7000085","60","1#95"
"10140","1002","10139","消灭60只黄弓狼","0","KILL_MONSTER","7000086","60","1#95"
"10141","1002","10140","消灭日神羲和","1","KILL_MONSTER","7000918","1","1#100"
"10142","1002","10141","激活传送节点","1","BUILDING_TRANSMIT","14","1","1#100"
"10143","1003","10142","消灭60只变异青蛇","0","KILL_MONSTER","7000087","60","1#105"
"10144","1003","10143","消灭60只变异鱼妖","0","KILL_MONSTER","7000088","60","1#105"
"10145","1003","10144","消灭60只紫花妖","0","KILL_MONSTER","7000090","60","1#105"
"10146","1003","10145","消灭轩辕","1","KILL_MONSTER","7000919","1","1#110"
"10147","1003","10146","消灭60只蛙妖","0","KILL_MONSTER","7000091","60","1#110"
"10148","1003","10147","激活传送节点","1","BUILDING_TRANSMIT","15","1","1#100"
"10149","1003","10148","神像召唤5次","0","RECRUIT_NUM","100","5","1#110"
"10150","1003","10149","神坛升级1次","0","TRAININGCAMP_UP_LEVEL","110","1","1#110"
"10151","1003","10150","挑战1次秘境副本","1","CHALLENGE_DUNGEONS","1000001","1","1#110"
"10152","1003","10151","消灭60只蓝弓狼","0","KILL_MONSTER","7000094","60","1#110"
"10153","1003","10152","消灭60只野猪","0","KILL_MONSTER","7000093","60","1#110"
"10154","1003","10153","消灭幽冥王","1","KILL_MONSTER","7000920","1","1#115"
"10155","1003","10154","等级达到40级","1","ROLE_LEVEL","7","40","1#115"
"10156","1003","10155","消灭60只灰豺狼","0","KILL_MONSTER","7000095","60","1#115"
"10157","1003","10156","消灭60只植物怪","0","KILL_MONSTER","7000097","60","1#115"
"10158","1003","10157","消灭60只灰弓狼","0","KILL_MONSTER","7000098","60","1#115"
"10159","1003","10158","消灭帝释天","1","KILL_MONSTER","7000921","1","1#120"
"10160","1003","10159","激活传送节点","1","BUILDING_TRANSMIT","16","1","1#100"
"10161","1003","10160","神像召唤5次","0","RECRUIT_NUM","100","5","1#120"
"10162","1003","10161","神坛升级1次","0","TRAININGCAMP_UP_LEVEL","110","1","1#120"
"10163","1003","10162","等级达到45级","1","ROLE_LEVEL","7","45","1#120"
"10164","1003","10163","消灭60只蓝豺狼","0","KILL_MONSTER","7000099","60","1#120"
"10165","1003","10164","消灭60只蓝枪狼","0","KILL_MONSTER","7000101","60","1#120"
"10166","1003","10165","消灭60只蓝刀狼","0","KILL_MONSTER","7000102","60","1#120"
"10167","1003","10166","消灭雷震子","1","KILL_MONSTER","7000922","1","1#125"
"10168","1003","10167","消灭60只巡山妖","0","KILL_MONSTER","7000103","60","1#125"
"10169","1003","10168","激活传送节点","1","BUILDING_TRANSMIT","17","1","1#100"
"10170","1003","10169","神像召唤5次","0","RECRUIT_NUM","100","5","1#125"
"10171","1003","10170","神坛升级1次","0","TRAININGCAMP_UP_LEVEL","110","1","1#125"
"10172","1003","10171","消灭60只犀牛","0","KILL_MONSTER","7000105","60","1#125"
"10173","1003","10172","消灭60只蓝弓狼","0","KILL_MONSTER","7000106","60","1#125"
"10174","1003","10173","消灭夜叉王","1","KILL_MONSTER","7000923","1","1#130"
"10175","1003","10174","等级达到50级","1","ROLE_LEVEL","7","50","1#130"
"10176","1003","10175","神像召唤5次","0","RECRUIT_NUM","100","5","1#130"
"10177","1003","10176","神坛升级1次","0","TRAININGCAMP_UP_LEVEL","110","1","1#130"
"10178","1003","10177","消灭60只枪魂","0","KILL_MONSTER","7000107","60","1#130"
"10179","1003","10178","激活传送节点","1","BUILDING_TRANSMIT","18","1","1#100"
"10180","1003","10179","神像召唤5次","0","RECRUIT_NUM","100","5","1#130"
"10181","1003","10180","神坛升级1次","0","TRAININGCAMP_UP_LEVEL","110","1","1#130"
"10182","1003","10181","消灭60只刀魂","0","KILL_MONSTER","7000109","60","1#130"
"10183","1003","10182","消灭60只黄弓狼","0","KILL_MONSTER","7000110","60","1#130"
"10184","1003","10183","消灭女娲","1","KILL_MONSTER","7000924","1","1#135"
