"#name FairylandMonster","#unique id","#index difficulty wave","#collector difficulty",""
"63","3","3","1#7000002#10|2#7000002#10|3#7000002#10","0"
"64","3","4","1#7000002#15|2#7000002#15|3#7000002#15","0"
"65","3","5","2#7000901#1","0"
"66","3","6","1#7000002#10|2#7000002#10|3#7000002#10","0"
"67","3","7","1#7000002#14|2#7000002#14|3#7000002#14","0"
"68","3","8","1#7000002#10|2#7000002#10|3#7000002#10","0"
"69","3","9","1#7000002#15|2#7000002#15|3#7000002#15","0"
"70","3","10","3#7000901#1","0"
"71","3","11","1#7000002#9|2#7000002#9|3#7000002#9","0"
"72","3","12","1#7000002#13|2#7000002#13|3#7000002#13","0"
"73","3","13","1#7000002#10|2#7000002#10|3#7000002#10","0"
"74","3","14","1#7000002#13|2#7000002#13|3#7000002#13","0"
"75","3","15","1#7000901#1","0"
"76","3","16","1#7000002#10|2#7000002#10|3#7000002#10","0"
"77","3","17","1#7000002#15|2#7000002#15|3#7000002#15","0"
"78","3","18","1#7000002#10|2#7000002#10|3#7000002#10","0"
"79","3","19","1#7000002#15|2#7000002#15|3#7000002#15","0"
"80","3","20","2#7000901#1","0"
"81","3","21","1#7000002#10|2#7000002#10|3#7000002#10","0"
"82","3","22","1#7000002#15|2#7000002#15|3#7000002#15","0"
"83","3","23","1#7000002#15|2#7000002#15|3#7000002#15","0"
"84","3","24","1#7000002#15|2#7000002#15|3#7000002#15","0"
"85","3","25","3#7000901#1","0"
"86","3","26","1#7000002#10|2#7000002#10|3#7000002#10","0"
"87","3","27","1#7000002#10|2#7000002#10|3#7000002#10","0"
"88","3","28","1#7000002#15|2#7000002#15|3#7000002#15","0"
"89","3","29","1#7000002#15|2#7000002#15|3#7000002#15","0"
"90","3","30","1#7000901#1","0"
"91","4","1","1#7000002#10|2#7000002#10|3#7000002#10","0"
"92","4","2","1#7000002#13|2#7000002#13|3#7000002#13","0"
"93","4","3","1#7000002#10|2#7000002#10|3#7000002#10","0"
"94","4","4","1#7000002#15|2#7000002#15|3#7000002#15","0"
"95","4","5","2#7000901#1","0"
"96","4","6","1#7000002#10|2#7000002#10|3#7000002#10","0"
"97","4","7","1#7000002#14|2#7000002#14|3#7000002#14","0"
"98","4","8","1#7000002#10|2#7000002#10|3#7000002#10","0"
"99","4","9","1#7000002#15|2#7000002#15|3#7000002#15","0"
"100","4","10","3#7000901#1","0"
"101","4","11","1#7000002#9|2#7000002#9|3#7000002#9","0"
"102","4","12","1#7000002#13|2#7000002#13|3#7000002#13","0"
"103","4","13","1#7000002#10|2#7000002#10|3#7000002#10","0"
"104","4","14","1#7000002#13|2#7000002#13|3#7000002#13","0"
"105","4","15","1#7000901#1","0"
"106","4","16","1#7000002#10|2#7000002#10|3#7000002#10","0"
"107","4","17","1#7000002#15|2#7000002#15|3#7000002#15","0"
"108","4","18","1#7000002#10|2#7000002#10|3#7000002#10","0"
"109","4","19","1#7000002#15|2#7000002#15|3#7000002#15","0"
"110","4","20","2#7000901#1","0"
"111","4","21","1#7000002#10|2#7000002#10|3#7000002#10","0"
"112","4","22","1#7000002#15|2#7000002#15|3#7000002#15","0"
"113","4","23","1#7000002#15|2#7000002#15|3#7000002#15","0"
"114","4","24","1#7000002#15|2#7000002#15|3#7000002#15","0"
"115","4","25","3#7000901#1","0"
"116","4","26","1#7000002#10|2#7000002#10|3#7000002#10","0"
"117","4","27","1#7000002#10|2#7000002#10|3#7000002#10","0"
"118","4","28","1#7000002#15|2#7000002#15|3#7000002#15","0"
"119","4","29","1#7000002#15|2#7000002#15|3#7000002#15","0"
"120","4","30","1#7000901#1","0"
"121","5","1","1#7000002#10|2#7000002#10|3#7000002#10","0"
"122","5","2","1#7000002#13|2#7000002#13|3#7000002#13","0"
"123","5","3","1#7000002#10|2#7000002#10|3#7000002#10","0"
"124","5","4","1#7000002#15|2#7000002#15|3#7000002#15","0"
"125","5","5","2#7000901#1","0"
"126","5","6","1#7000002#10|2#7000002#10|3#7000002#10","0"
"127","5","7","1#7000002#14|2#7000002#14|3#7000002#14","0"
"128","5","8","1#7000002#10|2#7000002#10|3#7000002#10","0"
"129","5","9","1#7000002#15|2#7000002#15|3#7000002#15","0"
"130","5","10","3#7000901#1","0"
"131","5","11","1#7000002#9|2#7000002#9|3#7000002#9","0"
"132","5","12","1#7000002#13|2#7000002#13|3#7000002#13","0"
"133","5","13","1#7000002#10|2#7000002#10|3#7000002#10","0"
"134","5","14","1#7000002#13|2#7000002#13|3#7000002#13","0"
"135","5","15","1#7000901#1","0"
"136","5","16","1#7000002#10|2#7000002#10|3#7000002#10","0"
"137","5","17","1#7000002#15|2#7000002#15|3#7000002#15","0"
"138","5","18","1#7000002#10|2#7000002#10|3#7000002#10","0"
"139","5","19","1#7000002#15|2#7000002#15|3#7000002#15","0"
"140","5","20","2#7000901#1","0"
"141","5","21","1#7000002#10|2#7000002#10|3#7000002#10","0"
"142","5","22","1#7000002#15|2#7000002#15|3#7000002#15","0"
"143","5","23","1#7000002#15|2#7000002#15|3#7000002#15","0"
"144","5","24","1#7000002#15|2#7000002#15|3#7000002#15","0"
"145","5","25","3#7000901#1","0"
"146","5","26","1#7000002#10|2#7000002#10|3#7000002#10","0"
"147","5","27","1#7000002#10|2#7000002#10|3#7000002#10","0"
"148","5","28","1#7000002#15|2#7000002#15|3#7000002#15","0"
"149","5","29","1#7000002#15|2#7000002#15|3#7000002#15","0"
"150","5","30","1#7000901#1","0"
"151","6","1","1#7000002#10|2#7000002#10|3#7000002#10","0"
"152","6","2","1#7000002#13|2#7000002#13|3#7000002#13","0"
"153","6","3","1#7000002#10|2#7000002#10|3#7000002#10","0"
"154","6","4","1#7000002#15|2#7000002#15|3#7000002#15","0"
"155","6","5","2#7000901#1","0"
"156","6","6","1#7000002#10|2#7000002#10|3#7000002#10","0"
"157","6","7","1#7000002#14|2#7000002#14|3#7000002#14","0"
"158","6","8","1#7000002#10|2#7000002#10|3#7000002#10","0"
"159","6","9","1#7000002#15|2#7000002#15|3#7000002#15","0"
"160","6","10","3#7000901#1","0"
"161","6","11","1#7000002#9|2#7000002#9|3#7000002#9","0"
"162","6","12","1#7000002#13|2#7000002#13|3#7000002#13","0"
"163","6","13","1#7000002#10|2#7000002#10|3#7000002#10","0"
"164","6","14","1#7000002#13|2#7000002#13|3#7000002#13","0"
"165","6","15","1#7000901#1","0"
"166","6","16","1#7000002#10|2#7000002#10|3#7000002#10","0"
"167","6","17","1#7000002#15|2#7000002#15|3#7000002#15","0"
"168","6","18","1#7000002#10|2#7000002#10|3#7000002#10","0"
"169","6","19","1#7000002#15|2#7000002#15|3#7000002#15","0"
"170","6","20","2#7000901#1","0"
"171","6","21","1#7000002#10|2#7000002#10|3#7000002#10","0"
"172","6","22","1#7000002#15|2#7000002#15|3#7000002#15","0"
"173","6","23","1#7000002#15|2#7000002#15|3#7000002#15","0"
"174","6","24","1#7000002#15|2#7000002#15|3#7000002#15","0"
"175","6","25","3#7000901#1","0"
"176","6","26","1#7000002#10|2#7000002#10|3#7000002#10","0"
"177","6","27","1#7000002#10|2#7000002#10|3#7000002#10","0"
"178","6","28","1#7000002#15|2#7000002#15|3#7000002#15","0"
"179","6","29","1#7000002#15|2#7000002#15|3#7000002#15","0"
"180","6","30","1#7000901#1","0"
"181","7","1","1#7000002#10|2#7000002#10|3#7000002#10","0"
"182","7","2","1#7000002#13|2#7000002#13|3#7000002#13","0"
"183","7","3","1#7000002#10|2#7000002#10|3#7000002#10","0"
"184","7","4","1#7000002#15|2#7000002#15|3#7000002#15","0"
"185","7","5","2#7000901#1","0"
"186","7","6","1#7000002#10|2#7000002#10|3#7000002#10","0"
"187","7","7","1#7000002#14|2#7000002#14|3#7000002#14","0"
"188","7","8","1#7000002#10|2#7000002#10|3#7000002#10","0"
"189","7","9","1#7000002#15|2#7000002#15|3#7000002#15","0"
"190","7","10","3#7000901#1","0"
"191","7","11","1#7000002#9|2#7000002#9|3#7000002#9","0"
"192","7","12","1#7000002#13|2#7000002#13|3#7000002#13","0"
"193","7","13","1#7000002#10|2#7000002#10|3#7000002#10","0"
"194","7","14","1#7000002#13|2#7000002#13|3#7000002#13","0"
"195","7","15","1#7000901#1","0"
"196","7","16","1#7000002#10|2#7000002#10|3#7000002#10","0"
"197","7","17","1#7000002#15|2#7000002#15|3#7000002#15","0"
"198","7","18","1#7000002#10|2#7000002#10|3#7000002#10","0"
"199","7","19","1#7000002#15|2#7000002#15|3#7000002#15","0"
"200","7","20","2#7000901#1","0"
"201","7","21","1#7000002#10|2#7000002#10|3#7000002#10","0"
"202","7","22","1#7000002#15|2#7000002#15|3#7000002#15","0"
"203","7","23","1#7000002#15|2#7000002#15|3#7000002#15","0"
"204","7","24","1#7000002#15|2#7000002#15|3#7000002#15","0"
"205","7","25","3#7000901#1","0"
"206","7","26","1#7000002#10|2#7000002#10|3#7000002#10","0"
"207","7","27","1#7000002#10|2#7000002#10|3#7000002#10","0"
"208","7","28","1#7000002#15|2#7000002#15|3#7000002#15","0"
"209","7","29","1#7000002#15|2#7000002#15|3#7000002#15","0"
"210","7","30","1#7000901#1","0"
"211","8","1","1#7000002#10|2#7000002#10|3#7000002#10","0"
"212","8","2","1#7000002#13|2#7000002#13|3#7000002#13","0"
"213","8","3","1#7000002#10|2#7000002#10|3#7000002#10","0"
"214","8","4","1#7000002#15|2#7000002#15|3#7000002#15","0"
"215","8","5","2#7000901#1","0"
"216","8","6","1#7000002#10|2#7000002#10|3#7000002#10","0"
"217","8","7","1#7000002#14|2#7000002#14|3#7000002#14","0"
"218","8","8","1#7000002#10|2#7000002#10|3#7000002#10","0"
"219","8","9","1#7000002#15|2#7000002#15|3#7000002#15","0"
"220","8","10","3#7000901#1","0"
"221","8","11","1#7000002#9|2#7000002#9|3#7000002#9","0"
"222","8","12","1#7000002#13|2#7000002#13|3#7000002#13","0"
"223","8","13","1#7000002#10|2#7000002#10|3#7000002#10","0"
"224","8","14","1#7000002#13|2#7000002#13|3#7000002#13","0"
"225","8","15","1#7000901#1","0"
"226","8","16","1#7000002#10|2#7000002#10|3#7000002#10","0"
"227","8","17","1#7000002#15|2#7000002#15|3#7000002#15","0"
"228","8","18","1#7000002#10|2#7000002#10|3#7000002#10","0"
"229","8","19","1#7000002#15|2#7000002#15|3#7000002#15","0"
"230","8","20","2#7000901#1","0"
"231","8","21","1#7000002#10|2#7000002#10|3#7000002#10","0"
"232","8","22","1#7000002#15|2#7000002#15|3#7000002#15","0"
"233","8","23","1#7000002#15|2#7000002#15|3#7000002#15","0"
"234","8","24","1#7000002#15|2#7000002#15|3#7000002#15","0"
"235","8","25","3#7000901#1","0"
"236","8","26","1#7000002#10|2#7000002#10|3#7000002#10","0"
"237","8","27","1#7000002#10|2#7000002#10|3#7000002#10","0"
"238","8","28","1#7000002#15|2#7000002#15|3#7000002#15","0"
"239","8","29","1#7000002#15|2#7000002#15|3#7000002#15","0"
"240","8","30","1#7000901#1","0"
"241","9","1","1#7000002#10|2#7000002#10|3#7000002#10","0"
"242","9","2","1#7000002#13|2#7000002#13|3#7000002#13","0"
"243","9","3","1#7000002#10|2#7000002#10|3#7000002#10","0"
"244","9","4","1#7000002#15|2#7000002#15|3#7000002#15","0"
"245","9","5","2#7000901#1","0"
"246","9","6","1#7000002#10|2#7000002#10|3#7000002#10","0"
"247","9","7","1#7000002#14|2#7000002#14|3#7000002#14","0"
"248","9","8","1#7000002#10|2#7000002#10|3#7000002#10","0"
"249","9","9","1#7000002#15|2#7000002#15|3#7000002#15","0"
"250","9","10","3#7000901#1","0"
"251","9","11","1#7000002#9|2#7000002#9|3#7000002#9","0"
"252","9","12","1#7000002#13|2#7000002#13|3#7000002#13","0"
"253","9","13","1#7000002#10|2#7000002#10|3#7000002#10","0"
"254","9","14","1#7000002#13|2#7000002#13|3#7000002#13","0"
"255","9","15","1#7000901#1","0"
"256","9","16","1#7000002#10|2#7000002#10|3#7000002#10","0"
"257","9","17","1#7000002#15|2#7000002#15|3#7000002#15","0"
"258","9","18","1#7000002#10|2#7000002#10|3#7000002#10","0"
"259","9","19","1#7000002#15|2#7000002#15|3#7000002#15","0"
"260","9","20","2#7000901#1","0"
"261","9","21","1#7000002#10|2#7000002#10|3#7000002#10","0"
"262","9","22","1#7000002#15|2#7000002#15|3#7000002#15","0"
"263","9","23","1#7000002#15|2#7000002#15|3#7000002#15","0"
"264","9","24","1#7000002#15|2#7000002#15|3#7000002#15","0"
"265","9","25","3#7000901#1","0"
"266","9","26","1#7000002#10|2#7000002#10|3#7000002#10","0"
"267","9","27","1#7000002#10|2#7000002#10|3#7000002#10","0"
"268","9","28","1#7000002#15|2#7000002#15|3#7000002#15","0"
"269","9","29","1#7000002#15|2#7000002#15|3#7000002#15","0"
"270","9","30","1#7000901#1","0"
"271","10","1","1#7000002#10|2#7000002#10|3#7000002#10","0"
"272","10","2","1#7000002#13|2#7000002#13|3#7000002#13","0"
"273","10","3","1#7000002#10|2#7000002#10|3#7000002#10","0"
"274","10","4","1#7000002#15|2#7000002#15|3#7000002#15","0"
"275","10","5","2#7000901#1","0"
"276","10","6","1#7000002#10|2#7000002#10|3#7000002#10","0"
"277","10","7","1#7000002#14|2#7000002#14|3#7000002#14","0"
"278","10","8","1#7000002#10|2#7000002#10|3#7000002#10","0"
"279","10","9","1#7000002#15|2#7000002#15|3#7000002#15","0"
"280","10","10","3#7000901#1","0"
"281","10","11","1#7000002#9|2#7000002#9|3#7000002#9","0"
"282","10","12","1#7000002#13|2#7000002#13|3#7000002#13","0"
"283","10","13","1#7000002#10|2#7000002#10|3#7000002#10","0"
"284","10","14","1#7000002#13|2#7000002#13|3#7000002#13","0"
"285","10","15","1#7000901#1","0"
"286","10","16","1#7000002#10|2#7000002#10|3#7000002#10","0"
"287","10","17","1#7000002#15|2#7000002#15|3#7000002#15","0"
"288","10","18","1#7000002#10|2#7000002#10|3#7000002#10","0"
"289","10","19","1#7000002#15|2#7000002#15|3#7000002#15","0"
"290","10","20","2#7000901#1","0"
"291","10","21","1#7000002#10|2#7000002#10|3#7000002#10","0"
"292","10","22","1#7000002#15|2#7000002#15|3#7000002#15","0"
"293","10","23","1#7000002#15|2#7000002#15|3#7000002#15","0"
"294","10","24","1#7000002#15|2#7000002#15|3#7000002#15","0"
"295","10","25","3#7000901#1","0"
"296","10","26","1#7000002#10|2#7000002#10|3#7000002#10","0"
"297","10","27","1#7000002#10|2#7000002#10|3#7000002#10","0"
"298","10","28","1#7000002#15|2#7000002#15|3#7000002#15","0"
"299","10","29","1#7000002#15|2#7000002#15|3#7000002#15","0"
"300","10","30","1#7000901#1","0"
"301","11","1","1#7000002#10|2#7000002#10|3#7000002#10","0"
"302","11","2","1#7000002#13|2#7000002#13|3#7000002#13","0"
"303","11","3","1#7000002#10|2#7000002#10|3#7000002#10","0"
"304","11","4","1#7000002#15|2#7000002#15|3#7000002#15","0"
"305","11","5","2#7000901#1","0"
"306","11","6","1#7000002#10|2#7000002#10|3#7000002#10","0"
"307","11","7","1#7000002#14|2#7000002#14|3#7000002#14","0"
"308","11","8","1#7000002#10|2#7000002#10|3#7000002#10","0"
"309","11","9","1#7000002#15|2#7000002#15|3#7000002#15","0"
"310","11","10","3#7000901#1","0"
"311","11","11","1#7000002#9|2#7000002#9|3#7000002#9","0"
"312","11","12","1#7000002#13|2#7000002#13|3#7000002#13","0"
"313","11","13","1#7000002#10|2#7000002#10|3#7000002#10","0"
"314","11","14","1#7000002#13|2#7000002#13|3#7000002#13","0"
"315","11","15","1#7000901#1","0"
"316","11","16","1#7000002#10|2#7000002#10|3#7000002#10","0"
"317","11","17","1#7000002#15|2#7000002#15|3#7000002#15","0"
"318","11","18","1#7000002#10|2#7000002#10|3#7000002#10","0"
"319","11","19","1#7000002#15|2#7000002#15|3#7000002#15","0"
"320","11","20","2#7000901#1","0"
"321","11","21","1#7000002#10|2#7000002#10|3#7000002#10","0"
"322","11","22","1#7000002#15|2#7000002#15|3#7000002#15","0"
"323","11","23","1#7000002#15|2#7000002#15|3#7000002#15","0"
"324","11","24","1#7000002#15|2#7000002#15|3#7000002#15","0"
"325","11","25","3#7000901#1","0"
"326","11","26","1#7000002#10|2#7000002#10|3#7000002#10","0"
"327","11","27","1#7000002#10|2#7000002#10|3#7000002#10","0"
"328","11","28","1#7000002#15|2#7000002#15|3#7000002#15","0"
"329","11","29","1#7000002#15|2#7000002#15|3#7000002#15","0"
"330","11","30","1#7000901#1","0"
"331","12","1","1#7000002#10|2#7000002#10|3#7000002#10","0"
"332","12","2","1#7000002#13|2#7000002#13|3#7000002#13","0"
"333","12","3","1#7000002#10|2#7000002#10|3#7000002#10","0"
"334","12","4","1#7000002#15|2#7000002#15|3#7000002#15","0"
"335","12","5","2#7000901#1","0"
"336","12","6","1#7000002#10|2#7000002#10|3#7000002#10","0"
"337","12","7","1#7000002#14|2#7000002#14|3#7000002#14","0"
"338","12","8","1#7000002#10|2#7000002#10|3#7000002#10","0"
"339","12","9","1#7000002#15|2#7000002#15|3#7000002#15","0"
"340","12","10","3#7000901#1","0"
"341","12","11","1#7000002#9|2#7000002#9|3#7000002#9","0"
"342","12","12","1#7000002#13|2#7000002#13|3#7000002#13","0"
"343","12","13","1#7000002#10|2#7000002#10|3#7000002#10","0"
"344","12","14","1#7000002#13|2#7000002#13|3#7000002#13","0"
"345","12","15","1#7000901#1","0"
"346","12","16","1#7000002#10|2#7000002#10|3#7000002#10","0"
"347","12","17","1#7000002#15|2#7000002#15|3#7000002#15","0"
"348","12","18","1#7000002#10|2#7000002#10|3#7000002#10","0"
"349","12","19","1#7000002#15|2#7000002#15|3#7000002#15","0"
"350","12","20","2#7000901#1","0"
"351","12","21","1#7000002#10|2#7000002#10|3#7000002#10","0"
"352","12","22","1#7000002#15|2#7000002#15|3#7000002#15","0"
"353","12","23","1#7000002#15|2#7000002#15|3#7000002#15","0"
"354","12","24","1#7000002#15|2#7000002#15|3#7000002#15","0"
"355","12","25","3#7000901#1","0"
"356","12","26","1#7000002#10|2#7000002#10|3#7000002#10","0"
"357","12","27","1#7000002#10|2#7000002#10|3#7000002#10","0"
"358","12","28","1#7000002#15|2#7000002#15|3#7000002#15","0"
"359","12","29","1#7000002#15|2#7000002#15|3#7000002#15","0"
"360","12","30","1#7000901#1","0"
