"#name SkillLevel","#unique id","#index skillId level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"id","skillId","name","skillType","level","dmgType","specialEffect","targetType","atkRange","actionId","selectType","rangeWay","targetLimit","nailAttr","passiveAttr","fixValue","skillFactor","actionTime","skillTime","cdTime","extraCd","cease","buffMoment","buffs","fighting","skillWarning"
"4405203","4405201","天诛","2","3","7","4405203#1#1#1","3","350","2","1","0","1","","","0","30000","1080","1130","-1","1#6","2","1","3010002#10000#-1#0","0","0"
"4405301","4405301","无垢华莲","2","1","4","","1","350","3","2","1#250","1","","","0","5000","2000","2050","20000","","2","1","5010003#10000#-1#0","0","0"
"4405302","4405301","无垢华莲","2","2","4","","1","350","3","2","1#250","1","","","0","5000","2000","2050","20000","","2","1","5010003#10000#-1#0|3010002#10000#-1#3#15","0","0"
"4405303","4405301","无垢华莲","2","3","4","","1","350","3","2","1#250","1","","","0","5000","2000","2050","15000","","2","1","5010003#10000#-1#0|3010002#10000#-1#3#15","0","0"
"4406101","4406101","普攻","1","1","1","","3","65","1","1","0","1","","","0","5000","600","650","350","","1","0","","0","0"
"4406201","4406201","血影斩","2","1","7","4406201#1#1#1","3","150","2","1","0","6","","","0","15000","670","720","-1","1#8","1","1","2030001#10000#-1#0","0","0"
"4406202","4406201","血影斩","2","2","7","4406201#2#3#1#30","3","150","2","1","0","7","","","0","20000","670","720","-1","1#8","1","1","2030001#10000#-1#0","0","0"
"4406203","4406201","血影斩","2","3","7","4406201#2#3#1#30","3","150","2","1","0","7","","","0","25000","670","720","-1","1#8","1","1","2030001#10000#-1#0","0","0"
"4406301","4406301","诛魔法身","2","1","2","","3","100","3","2","1#300","20","","","0","30000","2000","3050","20000","","1","0","","0","0"
"4406302","4406301","诛魔法身","2","2","2","","3","100","3","2","1#300","20","","","0","30000","2000","3050","20000","","1","0","","0","0"
"4406303","4406301","诛魔法身","2","3","2","","3","100","3","2","1#300","20","","","0","30000","2000","3050","20000","","1","0","","0","0"
"4407101","4407101","普攻","1","1","1","","3","65","1","1","0","1","","","0","10000","480","530","470","","1","0","","0","0"
"4407201","4407201","霜之战令","2","1","4","","1","200","2","2","1#200","1","","","0","10000","580","630","-1","1#10","1","1","1010408#10000#-1#0|3010001#10000#-1#3","0","0"
"4407202","4407201","霜之战令","2","2","4","","2","200","2","2","1#200","2","","","0","10000","580","630","-1","1#10","1","1","1010408#10000#-1#0|3010001#10000#-1#3","0","0"
"4407203","4407201","霜之战令","2","3","4","","2","200","2","2","1#200","3","","","0","10000","580","630","-1","1#10","1","1","1010408#10000#-1#0|3010001#10000#-1#3","0","0"
"4407301","4407301","霜之杀阵","2","1","4","","1","100","3","2","1#300","1","","","0","5000","1080","1130","22000","","1","1","3010003#10000#-1#0|5010009#10000#-1#0","0","0"
"4407302","4407301","霜之杀阵","2","2","4","","1","100","3","2","1#300","1","","","0","5000","1080","1130","16000","","1","1","3010003#10000#-1#0|5010009#10000#-1#0","0","0"
"4407303","4407301","霜之杀阵","2","3","4","","1","100","3","2","1#400","1","","","0","5000","1080","1130","16000","","1","1","3010003#10000#-1#0|5010010#10000#-1#0","0","0"
"4408101","4408101","普攻","1","1","7","4408101#1#1#2","3","350","1","1","0","1","","","0","10000","470","520","480","","1","0","","0","0"
"4408201","4408201","噬咬","2","1","2","","3","350","2","1","1#150","3","","","0","10000","1000","2250","-1","1#6","1","0","","0","0"
"4408202","4408201","噬咬","2","2","2","","3","350","2","1","1#150","3","","","0","15000","1000","2250","-1","1#6","1","0","","0","0"
"4408203","4408201","噬咬","2","3","2","","3","350","2","1","1#150","3","","","0","20000","1000","2250","-1","1#6","1","0","","0","0"
"4408301","4408301","耀龙契约","2","1","2","","3","600","3","2","3#120#600","6","","","0","10000","2250","2230","20000","","1","1","2020001#10000#-1#0","0","0"
"4408302","4408301","耀龙契约","2","2","2","","3","600","3","2","3#120#600","6","","","0","10000","2250","2230","20000","","1","1","2020001#10000#-1#0","0","0"
"4408303","4408301","耀龙契约","2","3","2","","3","600","3","2","3#120#600","6","","","0","10000","2250","2230","20000","","1","1","2020001#10000#-1#0","0","0"
"4409101","4409101","普攻","1","1","1","","3","65","1","1","0","1","","","0","10000","560","800","200","","1","0","","0","0"
"4409201","4409201","撕裂","2","1","2","","3","300","2","1","0","1","","","0","27000","1170","1220","-1","1#6","1","1","2030001#10000#-1#0","0","0"
"4409202","4409201","撕裂","2","2","2","","3","300","2","1","0","1","","","0","27000","1170","1220","-1","1#6","1","1","2030001#10000#-1#0","0","0"
"4409203","4409201","撕裂","2","3","2","","3","300","2","2","1#300","3","","","0","27000","1170","1220","-1","1#6","1","1","2030001#10000#-1#0","0","0"
"4409301","4409301","幻灵真身","2","1","4","","1","300","3","2","1#300","1","","","0","30000","750","800","20000","","2","1","5010004#10000#-1#0|1010501#10000#-1#1","0","0"
"4409302","4409301","幻灵真身","2","2","4","","1","300","3","2","1#300","1","","","0","30000","750","800","20000","","2","1","5010004#10000#-1#0|1010501#10000#-1#1|1010501#10000#-1#4#2","0","0"
"4409303","4409301","幻灵真身","2","3","4","","1","300","3","2","1#300","1","","","0","30000","750","800","20000","","2","1","5010004#10000#-1#0|1010502#10000#-1#1|1010502#10000#-1#4#2","0","0"
"4410101","4410101","普攻","1","1","7","4410101#1#1#1","3","350","1","1","0","1","","","0","10000","830","880","120","","1","0","","0","0"
"4410201","4410201","日冕","2","1","2","","3","350","2","3","1#250","10","","","0","10000","750","3700","30000","","1","1","1010101#10000#0#2","0","0"
"4410202","4410201","日冕","2","2","2","","3","350","2","3","1#250","10","","","0","10000","750","3700","25000","","1","1","1010101#10000#0#2","0","0"
"4410203","4410201","日冕","2","3","2","","3","350","2","3","1#250","10","","","0","10000","750","3700","20000","","1","1","1010101#10000#0#2","0","0"
"4410301","4410301","赤阳之琐","2","1","2","","3","500","3","2","1#500","10","","","0","10000","2170","4500","30000","","1","1","3030002#10000#0#3","0","0"
"4410302","4410301","赤阳之琐","2","2","2","","3","500","3","2","1#500","10","","","0","10000","2170","4500","30000","","1","1","3030002#10000#0#3","0","0"
"4410303","4410301","赤阳之琐","2","3","2","","3","500","3","2","1#500","10","","","0","10000","2170","4500","30000","","1","1","3030002#10000#0#3","0","0"
"4411101","4411101","普攻","1","1","7","4411101#1#1#1","3","350","1","1","0","1","","","0","10000","540","800","200","","2","0","","0","0"
"4411201","4411201","灵石冲击","2","1","7","4411201#1#1#1","3","350","2","1","0","10","","","0","5000","2920","3220","-1","1#8","2","0","","0","0"
"4411202","4411201","灵石冲击","2","2","7","4411201#1#1#1","3","350","2","1","0","10","","","0","5000","2920","3220","-1","1#8","2","1","3010001#10000#-1#0","0","0"
"4411203","4411201","灵石冲击","2","3","7","4411201#1#1#1","3","350","2","1","0","10","","","0","5000","2920","3220","-1","1#8","2","1","3010001#10000#-1#0","0","0"
"4411301","4411301","补天囚笼","2","1","2","","3","350","3","2","1#300","20","","","0","20000","3170","3250","22000","","1","0","","0","0"
"4411302","4411301","补天囚笼","2","2","2","","3","350","3","2","1#300","20","","","0","20000","3170","3250","22000","","1","1","3010001#10000#-1#0","0","0"
"4411303","4411301","补天囚笼","2","3","2","","3","350","3","2","1#300","20","","","0","20000","3170","3250","17000","","1","1","3010001#10000#-1#0","0","0"
"4412101","4412101","普攻","1","1","2","2","2","350","1","6","0","1","","","0","0","580","630","450","","2","0","","0","0"
"4412201","4412201","生莲","2","1","3","1","2","350","2","6","0","1","","","0","10000","580","630","450","","2","0","","0","0"
"4412202","4412201","生莲","2","2","3","1","2","350","2","6","0","1","","","0","10000","580","630","450","","2","0","","0","0"
"4412203","4412201","生莲","2","3","3","1","2","350","2","6","0","1","","","0","10000","580","630","450","","2","0","","0","0"
"4412301","4412301","瑶台甘霖","2","1","5","2","2","350","3","7","0","1","","","0","3000","1580","1630","30000","","2","0","","0","0"
"4412302","4412301","瑶台甘霖","2","2","5","2","2","350","3","7","0","2","","","0","3000","1580","1630","30000","","2","0","","0","0"
"4412303","4412301","瑶台甘霖","2","3","5","2","2","350","3","7","0","2","","","0","6000","1580","1630","30000","","2","0","","0","0"
"4413101","4413101","普攻","1","1","7","4411301#1#1#1","3","350","1","1","0","1","","","0","10000","580","630","370","","1","0","","0","0"
"4413201","4413201","复苏","2","1","4","","2","350","2","2","1#200","12","","","0","0","1170","1220","-1","1#10","2","1","4010006#10000#-1#0","0","0"
"4413202","4413201","复苏","2","2","4","","2","350","2","2","1#200","12","","","0","0","1170","1220","-1","1#10","2","1","4010007#10000#-1#0","0","0"
"4413203","4413201","复苏","2","3","4","","2","350","2","2","1#200","12","","","0","0","1170","1220","-1","1#10","2","1","4010008#10000#-1#0","0","0"
"4413301","4413301","玄女赐福","2","1","4","","2","350","3","2","1#400","1","","","0","0","1250","1300","25000","","2","1","4010009#10000#-1#0|3100001#10000#-1#0","0","0"
"4413302","4413301","玄女赐福","2","2","4","","2","350","3","2","1#400","2","","","0","0","1250","1300","25000","","2","1","4010010#10000#-1#0|3100001#10000#-1#0","0","0"
"4413303","4413301","玄女赐福","2","3","4","","2","350","3","2","1#400","2","","","0","0","1250","1300","20000","","2","1","4010010#10000#-1#0|3100001#10000#-1#0","0","0"
"4414101","4414101","普攻","1","1","7","4414101#1#1#1","3","350","1","1","0","1","","","0","10000","500","550","450","","2","0","","0","0"
"4414102","4414101","普攻","1","2","7","4414101#1#1#1","3","350","1","1","0","1","","","0","10000","500","550","450","","2","1","3010002#10000#-1#0","0","0"
"4414201","4414201","推掌","2","1","7","4414201#1#1#1","3","350","2","1","0","5","","","0","20000","1000","1050","-1","1#7","2","0","","0","0"
"4414202","4414201","推掌","2","2","7","4414201#1#1#1","3","350","2","1","0","5","","","0","20000","1000","1050","-1","1#7","2","0","","0","0"
"4414203","4414201","推掌","2","3","7","4414201#1#1#1","3","350","2","1","0","5","","","0","20000","1000","1050","-1","1#7","2","0","","0","0"
"4414301","4414301","降龙十八掌","2","1","7","4414301#1#1#1","3","350","3","1","2#100#300","10","","","0","20000","1830","1880","20000","","2","0","","0","0"
"4414302","4414301","降龙十八掌","2","2","7","4414301#1#1#1","3","350","3","1","2#100#300","10","","","0","30000","1830","1880","20000","","2","0","","0","0"
"4414303","4414301","降龙十八掌","2","3","7","4414301#1#1#1","3","350","3","1","2#100#300","10","","","0","40000","1830","1880","20000","","2","0","","0","0"
"4301101","4301101","普攻","1","1","1","","3","65","1","1","0","1","","","0","10000","600","650","350","","1","0","","0","0"
"4301201","4301201","耙击","2","1","2","","3","100","2","2","3#60#250","10","","","0","30000","960","1010","-1","1#6","1","0","","0","0"
"4301202","4301201","耙击","2","2","2","","3","100","2","2","3#60#250","10","","","0","30000","960","1010","-1","1#6","1","1","1010902#10000#-1#0","0","0"
"4301203","4301201","耙击","2","3","2","","3","100","2","2","3#60#250","10","","","0","30000","960","1010","-1","1#5","1","1","1010902#10000#-1#0","0","0"
"4301301","4301301","天蓬旋风","2","1","2","","3","100","3","2","1#175","10","","","0","5000","2920","2970","22000","","1","0","","0","0"
"4301302","4301301","天蓬旋风","2","2","2","","3","100","3","2","1#175","10","","","0","5000","2920","2970","22000","","1","1","1010403#10000#1#1","0","0"
"4301303","4301301","天蓬旋风","2","3","2","","3","100","3","2","1#175","10","","","0","5000","2920","2970","17000","","1","1","1010403#10000#1#1","0","0"
"4302101","4302101","普攻","1","1","1","","3","65","1","1","0","1","","","0","10000","670","720","280","","1","0","","0","0"
"4302201","4302201","震击","2","1","2","","3","100","2","2","1#150","5","","","0","10000","790","840","-1","2#10","1","1","3040001#10000#-1#0","0","0"
"4302202","4302201","震击","2","2","2","","3","100","2","2","1#150","5","","","0","10000","790","840","-1","2#7","1","1","3040001#10000#-1#0","0","0"
"4302203","4302201","震击","2","3","2","","3","100","2","2","1#150","5","","","0","10000","790","840","-1","2#7","1","1","3040002#10000#-1#0","0","0"
"4302301","4302301","回旋板斧","2","1","2","","3","100","3","2","1#175","10","","","0","6500","1460","1510","18000","","1","0","","0","0"
"4302302","4302301","回旋板斧","2","2","2","","3","100","3","2","1#175","10","","","0","6500","1460","1510","18000","","1","1","1010403#10000#1#1","0","0"
"4302303","4302301","回旋板斧","2","3","2","","3","100","3","2","1#175","10","","","0","6500","1460","1510","13000","","1","1","1010403#10000#1#1","0","0"
"4303101","4303101","普攻","1","1","7","4303101#1#1#1","3","350","1","1","0","1","","","0","10000","420","470","530","","2","0","","0","0"
"4303201","4303201","银针","2","1","7","4303201#2#3#1#15","3","350","2","2","3#60#250","1","","","0","3500","750","800","-1","1#5","2","0","","0","0"
"4303202","4303201","银针","2","2","7","4303201#2#4#1#15","3","350","2","2","3#60#250","1","","","0","3500","750","800","-1","1#5","2","0","","0","0"
"4303203","4303201","银针","2","3","7","4303201#2#4#1#15","3","350","2","2","3#60#250","2","","","0","3500","750","800","-1","1#5","2","0","","0","0"
"4303301","4303301","葵花心法","2","1","4","","1","350","3","1","0","1","","","0","10000","750","800","20000","","2","1","4011001#10000#-1#1","0","0"
"4303302","4303301","葵花心法","2","2","4","","1","350","3","1","0","1","","","0","10000","750","800","20000","","2","1","4011002#10000#-1#1","0","0"
"4303303","4303301","葵花心法","2","3","4","","1","350","3","1","0","1","","","0","10000","750","800","20000","","2","1","4011003#10000#-1#1","0","0"
"4304101","4306101","普攻","1","1","1","","3","100","1","1","0","1","","","0","10000","580","630","450","","1","0","","0","0"
"4304201","4306201","破风","2","1","2","","3","100","2","1","2#100#250","5","","","0","10000","500","550","14500","","1","0","","0","0"
"4304202","4306201","破风","2","2","2","","3","100","2","1","2#100#250","5","","","0","10000","500","550","9500","","1","0","","0","0"
"4304203","4306201","破风","2","3","2","","3","100","2","1","2#100#250","5","","","0","10000","500","550","9500","","1","1","3030001#10000#-1#0","0","0"
"4304301","4306301","三目移魂","2","1","4","","3","350","3","2","1#350","5","","","0","0","500","1500","25000","","1","1","3050001#10000#-1#0","0","0"
"4304302","4306301","三目移魂","2","2","4","","3","350","3","2","1#350","5","","","0","0","500","1500","25000","","1","1","3050001#10000#-1#0","0","0"
"4304303","4306301","三目移魂","2","3","4","","3","350","3","2","1#350","5","","","0","0","500","1500","25000","","1","1","3050001#10000#-1#0","0","0"
"4305101","4305101","普攻","1","1","1","","3","65","1","1","0","1","","","0","10000","560","610","390","","1","0","","0","0"
"4305201","4305201","剑意","2","1","7","4305201#1#1#1","3","200","2","1","0","5","","","0","10000","750","800","-1","1#5","1","0","","0","0"
"4305202","4305201","剑意","2","2","7","4305201#1#1#1","3","200","2","1","0","5","","","0","10000","750","800","-1","1#5","1","0","","0","0"
"4305203","4305201","剑意","2","3","7","4305201#1#1#1","3","200","2","1","0","5","","","0","12000","750","800","-1","1#5","1","0","","0","0"
"4305301","4305301","风雷决","2","1","2","","3","100","3","1","1#200","10","","","0","20000","1330","1380","18800","","1","0","","0","0"
"4305302","4305301","风雷决","2","2","2","","3","100","3","1","1#200","10","","","0","20000","1330","1380","18800","","1","1","3040001#10000#-1#0","0","0"
"4305303","4305301","风雷决","2","3","2","","3","100","3","1","1#200","10","","","0","20000","1330","1380","18800","","1","1","3040001#10000#-1#0","0","0"
"4306101","4304101","普攻","1","1","1","","3","65","1","1","0","1","","","0","10000","670","720","280","","1","0","","0","0"
"4306201","4304201","乱击","2","1","2","","3","100","2","1","0","1","","","0","8000","1540","1590","-1","1#7","1","1","2030001#10000#1#0","0","0"
"4306202","4304201","乱击","2","2","2","","3","100","2","1","0","1","","","0","12000","1540","1590","-1","1#7","1","1","2030001#10000#1#0","0","0"
"4306203","4304201","乱击","2","3","2","","3","100","2","1","0","1","","","0","15000","1540","1590","-1","1#7","1","1","2030001#10000#1#0","0","0"
"4306301","4304301","巨灵之力","2","1","4","","1","100","3","1","0","1","","","0","10000","1080","1130","12000","","1","1","1010101#10000#-1#0","0","0"
"4306302","4304301","巨灵之力","2","2","4","","1","100","3","1","0","1","","","0","10000","1080","1130","12000","","1","1","1010101#10000#-1#0","0","0"
"4306303","4304301","巨灵之力","2","3","4","","1","100","3","1","0","1","","","0","10000","1080","1130","12000","","1","1","1010102#10000#-1#0","0","0"
"4307101","4307101","普攻","1","1","7","4307101#1#1#1","3","350","1","1","0","1","","","0","10000","580","630","450","","2","0","","0","0"
"4307201","4307201","楚歌扇舞","2","1","2","","1","350","3","2","0","1","","","0","0","500","550","20000","","2","1","5010011#10000#-1#0","0","0"
"4307202","4307201","楚歌扇舞","2","2","2","","1","350","3","2","0","1","","","0","0","500","550","20000","","2","1","5010012#10000#-1#0","0","0"
"4307203","4307201","楚歌扇舞","2","3","2","","1","350","3","2","0","1","","","0","0","500","550","20000","","2","1","5010013#10000#-1#0","0","0"
"4307301","4307301","飞扇","2","1","7","4307201#1#1#1","3","350","2","1","0","3","","","0","20000","580","630","-1","1#8","1","0","","0","0"
"4307302","4307301","飞扇","2","2","7","4307201#1#1#1","3","350","2","1","0","4","","","0","20000","580","630","-1","1#8","1","0","","0","0"
"4307303","4307301","飞扇","2","3","7","4307201#1#1#1","3","350","2","1","0","5","","","0","20000","580","630","-1","1#5","1","0","","0","0"
"4308101","4308101","普攻","1","1","1","","3","100","1","1","0","1","","","0","10000","500","550","450","","1","0","","0","0"
"4308201","4308201","乾坤圈","2","1","2","","3","350","2","3","1#150","5","","","0","25000","1170","1580","15000","","1","1","2010001#10000#-1#0","0","0"
"4308202","4308201","乾坤圈","2","2","2","","3","350","2","3","1#150","5","","","0","25000","1170","1580","15000","","1","1","2010001#10000#-1#0|1010901#10000#-1#0","0","0"
"4308203","4308201","乾坤圈","2","3","2","","3","350","2","3","1#150","5","","","0","15000","1170","1580","10000","","1","1","2010001#10000#-1#0|1010901#10000#-1#0","0","0"
"4308301","4308301","炽焰冲击","2","1","2","","3","100","3","2","1#40","10","","","0","20000","750","2700","30000","","1","1","3040001#10000#-1#0","0","0"
"4308302","4308301","炽焰冲击","2","2","2","","3","100","3","2","1#40","10","","","0","30000","750","2700","30000","","1","1","3040001#10000#-1#0","0","0"
"4308303","4308301","炽焰冲击","2","3","2","","3","100","3","2","1#40","10","","","0","40000","750","2700","30000","","1","1","3040001#10000#-1#0","0","0"
"4309101","4309101","普攻","1","1","7","4309101#1#2#1","3","350","1","1","0","1","","","0","10000","870","920","450","","2","0","","0","0"
"4309201","4309201","炮击","2","1","7","4309201#1#2#1","3","350","2","1","0","3","","","0","10000","2000","2050","-1","1#99","1","0","","0","0"
"4309202","4309201","炮击","2","2","7","4309201#1#2#1","3","350","2","1","0","3","","","0","10000","2000","2050","-1","1#99","1","0","","0","0"
"4309203","4309201","炮击","2","3","7","4309201#1#2#1","3","350","2","1","0","3","","","0","10000","2000","2050","-1","1#99","1","0","","0","0"
"4309301","4309301","轰天裂地","2","1","2","","3","350","3","1","1#150","8","","","0","20000","1730","1780","16270","","1","1","2010001#10000#-1#0","0","0"
"4309302","4309301","轰天裂地","2","2","2","","3","350","3","1","1#150","8","","","0","32000","1730","1780","16270","","1","1","2010001#10000#-1#0","0","0"
"4309303","4309301","轰天裂地","2","3","2","","3","350","3","1","1#150","8","","","0","32000","1730","1780","16270","","1","1","2010001#10000#-1#0|3030001#10000#-1#0","0","0"
"4310101","4310101","普攻","1","1","1","","3","100","1","1","0","0","","","0","10000","600","650","450","","1","0","","0","0"
"4310201","4310201","劈砍","2","1","2","","3","100","2","2","3#45#150","5","","","0","10000","600","650","-1","1#5","1","0","","0","0"
"4310202","4310201","劈砍","2","2","2","","3","100","2","2","3#45#150","5","","","0","12000","600","650","-1","1#5","1","0","","0","0"
"4310203","4310201","劈砍","2","3","2","","3","100","2","2","3#45#150","5","","","0","12000","600","650","-1","1#5","1","0","","0","0"
"4310301","4310301","打狗决","2","1","2","","3","100","3","2","3#180#150","10","","","0","20000","1070","1120","18930","","1","1","3040001#10000#-1#0","0","0"
"4310302","4310301","打狗决","2","2","2","","3","100","3","2","3#180#150","10","","","0","24000","1070","1120","18930","","1","1","3040001#10000#-1#0","0","0"
"4310303","4310301","打狗决","2","3","2","","3","100","3","2","3#180#150","10","","","0","24000","1070","1120","13930","","1","1","3040001#10000#-1#0","0","0"
"4311101","4311101","普攻","1","1","1","","3","100","1","1","0","1","","","0","10000","600","650","450","","1","0","","0","0"
"4311201","4311201","破击","2","1","2","","3","100","2","2","2#100#150","5","","","0","10000","930","980","-1","1#5","1","0","","0","0"
"4311202","4311201","破击","2","2","2","","3","100","2","2","2#100#150","5","","","0","10000","930","980","-1","1#3","1","0","","0","0"
