"#name ItemRandomPack","#unique id","","#collector group",""
"id","group","weight","reward"
"68","402501","1","1200#5#38|600#5#56|300#5#112|1200#4#47|600#4#61|300#4#126|1200#6#33|600#6#47|300#6#98|2000#1#36|1100#1#57|600#1#84"
"69","402502","1","400#3003012#1|400#3003011#1|400#3003013#1|400#3003014#1|400#3003015#1|400#3003016#1"
"70","402503","1","2500#2000008#10"
"71","402504","1","2500#2001003#2|1000#2001003#3"
"72","402505","1","100#3003022#1|100#3003021#1|100#3003023#1|100#3003024#1|100#3003025#1|100#3003026#1"
"73","402506","1","1000#1#29|500#1#38|250#1#47"
"74","402507","1","400#3003012#1|400#3003011#1|400#3003013#1|400#3003014#1|400#3003015#1|400#3003016#1"
"75","403001","1","1200#5#40|600#5#60|300#5#120|1200#4#50|600#4#65|300#4#135|1200#6#35|600#6#50|300#6#105|2000#1#38|1100#1#60|600#1#90"
"76","403002","1","400#3003012#1|400#3003011#1|400#3003013#1|400#3003014#1|400#3003015#1|400#3003016#1"
"77","403003","1","2500#2000008#10"
"78","403004","1","2500#2001003#2|1000#2001003#3"
"79","403005","1","100#3003022#1|100#3003021#1|100#3003023#1|100#3003024#1|100#3003025#1|100#3003026#1"
"80","403006","1","1000#1#30|500#1#40|250#1#50"
"81","403007","1","400#3003012#1|400#3003011#1|400#3003013#1|400#3003014#1|400#3003015#1|400#3003016#1"
"82","403501","1","1200#5#42|600#5#64|300#5#128|1200#4#53|600#4#69|300#4#144|1200#6#37|600#6#53|300#6#112|2000#1#40|1100#1#63|600#1#96"
"83","403502","1","400#3004012#1|400#3004011#1|400#3004013#1|400#3004014#1|400#3004015#1|400#3004016#1"
"84","403503","1","2500#2000008#10"
"85","403504","1","2500#2001003#2|1000#2001003#4"
"86","403505","1","100#3004022#1|100#3004021#1|100#3004023#1|100#3004024#1|100#3004025#1|100#3004026#1"
"87","403506","1","1000#1#31|500#1#42|250#1#53"
"88","403507","1","400#3004012#1|400#3004011#1|400#3004013#1|400#3004014#1|400#3004015#1|400#3004016#1"
"89","404001","1","1200#5#44|600#5#68|300#5#136|1200#4#56|600#4#73|300#4#153|1200#6#39|600#6#56|300#6#119|2000#1#42|1100#1#66|600#1#102"
"90","404002","1","400#3004012#1|400#3004011#1|400#3004013#1|400#3004014#1|400#3004015#1|400#3004016#1"
"91","404003","1","2500#2000008#10"
"92","404004","1","2500#2001003#2|1000#2001003#4"
"93","404005","1","100#3004022#1|100#3004021#1|100#3004023#1|100#3004024#1|100#3004025#1|100#3004026#1"
"94","404006","1","1000#1#32|500#1#36|250#1#44"
"95","404007","1","400#3004012#1|400#3004011#1|400#3004013#1|400#3004014#1|400#3004015#1|400#3004016#1"
"96","404501","1","1200#5#46|600#5#72|300#5#144|1200#4#59|600#4#77|300#4#162|1200#6#41|600#6#59|300#6#126|2000#1#44|1100#1#69|600#1#108"
"97","404502","1","400#3005012#1|400#3005011#1|400#3005013#1|400#3005014#1|400#3005015#1|400#3005016#1"
"98","404503","1","2500#2000008#10"
"99","404504","1","2500#2001003#3|1000#2001003#4"
"100","404505","1","100#3005022#1|100#3005021#1|100#3005023#1|100#3005024#1|100#3005025#1|100#3005026#1"
"101","404506","1","1000#1#32|500#1#44|250#1#56"
"102","404507","1","400#3005012#1|400#3005011#1|400#3005013#1|400#3005014#1|400#3005015#1|400#3005016#1"
"103","405001","1","1200#5#48|600#5#76|300#5#152|1200#4#62|600#4#81|300#4#171|1200#6#43|600#6#62|300#6#133|2000#1#46|1100#1#72|600#1#114"
"104","405002","1","400#3005012#1|400#3005011#1|400#3005013#1|400#3005014#1|400#3005015#1|400#3005016#1"
"105","405003","1","2500#2000008#10"
"106","405004","1","2500#2001003#3|1000#2001003#4"
"107","405005","1","100#3005022#1|100#3005021#1|100#3005023#1|100#3005024#1|100#3005025#1|100#3005026#1"
"108","405006","1","1000#1#33|500#1#46|250#1#59"
"109","405007","1","400#3005012#1|400#3005011#1|400#3005013#1|400#3005014#1|400#3005015#1|400#3005016#1"
"110","405501","1","1200#5#50|600#5#80|300#5#160|1200#4#65|600#4#85|300#4#180|1200#6#45|600#6#65|300#6#140|2000#1#48|1100#1#75|600#1#120"
"111","405502","1","400#3006012#1|400#3006011#1|400#3006013#1|400#3006014#1|400#3006015#1|400#3006016#1"
"112","405503","1","2500#2000008#10"
"113","405504","1","2500#2001003#3|1000#2001003#5"
"114","405505","1","100#3006022#1|100#3006021#1|100#3006023#1|100#3006024#1|100#3006025#1|100#3006026#1"
"115","405506","1","1000#1#34|500#1#48|250#1#62"
"116","405507","1","400#3006012#1|400#3006011#1|400#3006013#1|400#3006014#1|400#3006015#1|400#3006016#1"
"117","406001","1","1200#5#52|600#5#84|300#5#168|1200#4#68|600#4#89|300#4#189|1200#6#47|600#6#68|300#6#147|2000#1#50|1100#1#78|600#1#126"
"118","406002","1","400#3006012#1|400#3006011#1|400#3006013#1|400#3006014#1|400#3006015#1|400#3006016#1"
"119","406003","1","2500#2000008#10"
"120","406004","1","2500#2001003#3|1000#2001003#5"
"121","406005","1","100#3006022#1|100#3006021#1|100#3006023#1|100#3006024#1|100#3006025#1|100#3006026#1"
"122","406006","1","1000#1#35|500#1#50|250#1#65"
"123","406007","1","400#3006012#1|400#3006011#1|400#3006013#1|400#3006014#1|400#3006015#1|400#3006016#1"
"124","406501","1","1200#5#54|600#5#88|300#5#176|1200#4#71|600#4#93|300#4#198|1200#6#49|600#6#71|300#6#154|2000#1#52|1100#1#81|600#1#132"
"125","406502","1","400#3007012#1|400#3007011#1|400#3007013#1|400#3007014#1|400#3007015#1|400#3007016#1"
"126","406503","1","2500#2000008#10"
"127","406504","1","2500#2001003#4|1000#2001003#5"
"128","406505","1","400#3007012#1|400#3007011#1|400#3007013#1|400#3007014#1|400#3007015#1|400#3007016#1"
"129","406506","1","1000#1#36|500#1#52|250#1#68"
"130","406507","1","400#3007012#1|400#3007011#1|400#3007013#1|400#3007014#1|400#3007015#1|400#3007016#1"
"131","407001","1","1200#5#56|600#5#92|300#5#184|1200#4#74|600#4#97|300#4#207|1200#6#51|600#6#74|300#6#161|2000#1#54|1100#1#84|600#1#138"
"132","407002","1","400#3007012#1|400#3007011#1|400#3007013#1|400#3007014#1|400#3007015#1|400#3007016#1"
"133","407003","1","2500#2000008#10"
"134","407004","1","2500#2001003#4|1000#2001003#5"
"135","407005","1","100#3007022#1|100#3007021#1|100#3007023#1|100#3007024#1|100#3007025#1|100#3007026#1"
"136","407006","1","1000#1#37|500#1#54|250#1#71"
"137","407007","1","400#3007012#1|400#3007011#1|400#3007013#1|400#3007014#1|400#3007015#1|400#3007016#1"
"138","407501","1","1200#5#58|600#5#96|300#5#192|1200#4#77|600#4#101|300#4#216|1200#6#53|600#6#77|300#6#168|2000#1#56|1100#1#87|600#1#144"
"139","407502","1","400#3008012#1|400#3008011#1|400#3008013#1|400#3008014#1|400#3008015#1|400#3008016#1"
"140","407503","1","2500#2000008#10"
"141","407504","1","2500#2001003#4|1000#2001003#6"
"142","407505","1","100#3008022#1|100#3008021#1|100#3008023#1|100#3008024#1|100#3008025#1|100#3008026#1"
"143","407506","1","1000#1#38|500#1#56|250#1#74"
"144","407507","1","400#3008012#1|400#3008011#1|400#3008013#1|400#3008014#1|400#3008015#1|400#3008016#1"
"145","408001","1","1200#5#60|600#5#100|300#5#200|1200#4#80|600#4#105|300#4#225|1200#6#55|600#6#80|300#6#175|2000#1#58|1100#1#90|600#1#150"
"146","408002","1","400#3008012#1|400#3008011#1|400#3008013#1|400#3008014#1|400#3008015#1|400#3008016#1"
"147","408003","1","2500#2000008#10"
"148","408004","1","2500#2001003#4|1000#2001003#6"
"149","408005","1","100#3008022#1|100#3008021#1|100#3008023#1|100#3008024#1|100#3008025#1|100#3008026#1"
"150","408006","1","1000#1#39|500#1#58|250#1#77"
"151","408007","1","400#3008012#1|400#3008011#1|400#3008013#1|400#3008014#1|400#3008015#1|400#3008016#1"
"152","408501","1","1200#5#62|600#5#104|300#5#208|1200#4#83|600#4#109|300#4#234|1200#6#57|600#6#83|300#6#182|2000#1#60|1100#1#93|600#1#156"
"153","408502","1","400#3009012#1|400#3009011#1|400#3009013#1|400#3009014#1|400#3009015#1|400#3009016#1"
"154","408503","1","2500#2000008#10"
"155","408504","1","2500#2001003#5|1000#2001003#6"
"156","408505","1","100#3009022#1|100#3009021#1|100#3009023#1|100#3009024#1|100#3009025#1|100#3009026#1"
"157","408506","1","1000#1#40|500#1#60|250#1#80"
"158","408507","1","400#3009012#1|400#3009011#1|400#3009013#1|400#3009014#1|400#3009015#1|400#3009016#1"
"159","409001","1","1200#5#64|600#5#108|300#5#216|1200#4#86|600#4#113|300#4#243|1200#6#59|600#6#86|300#6#189|2000#1#62|1100#1#96|600#1#162"
"160","409002","1","400#3009012#1|400#3009011#1|400#3009013#1|400#3009014#1|400#3009015#1|400#3009016#1"
"161","409003","1","2500#2000008#10"
"162","409004","1","2500#2001003#5|1000#2001003#6"
"163","409005","1","100#3009022#1|100#3009021#1|100#3009023#1|100#3009024#1|100#3009025#1|100#3009026#1"
"164","409006","1","1000#1#41|500#1#62|250#1#83"
"165","409007","1","400#3009012#1|400#3009011#1|400#3009013#1|400#3009014#1|400#3009015#1|400#3009016#1"
"166","409501","1","1200#5#66|600#5#112|300#5#224|1200#4#89|600#4#117|300#4#252|1200#6#61|600#6#89|300#6#196|2000#1#64|1100#1#99|600#1#168"
"167","409502","1","400#3010012#1|400#3010011#1|400#3010013#1|400#3010014#1|400#3010015#1|400#3010016#1"
"168","409503","1","2500#2000008#10"
"169","409504","1","2500#2001003#5|1000#2001003#7"
"170","409505","1","100#3010022#1|100#3010021#1|100#3010023#1|100#3010024#1|100#3010025#1|100#3010026#1"
"171","409506","1","1000#1#42|500#1#64|250#1#86"
"172","409507","1","400#3010012#1|400#3010011#1|400#3010013#1|400#3010014#1|400#3010015#1|400#3010016#1"
"173","410001","1","1200#5#68|600#5#116|300#5#232|1200#4#92|600#4#121|300#4#261|1200#6#63|600#6#92|300#6#203|2000#1#66|1100#1#102|600#1#174"
"174","410002","1","400#3010012#1|400#3010011#1|400#3010013#1|400#3010014#1|400#3010015#1|400#3010016#1"
"175","410003","1","2500#2000008#10"
"176","410004","1","2500#2001003#5|1000#2001003#7"
"177","410005","1","100#3010022#1|100#3010021#1|100#3010023#1|100#3010024#1|100#3010025#1|100#3010026#1"
"178","410006","1","1000#1#44|500#1#68|250#1#92"
"179","410007","1","400#3010012#1|400#3010011#1|400#3010013#1|400#3010014#1|400#3010015#1|400#3010016#1"
"180","500501","1","1200#5#30|600#5#40|300#5#80|1200#4#35|600#4#45|300#4#90|1200#6#25|600#6#35|300#6#70|2000#1#28|1100#1#45|600#1#60"
"181","500502","1","400#3001012#1|400#3001011#1|400#3001013#1|400#3001014#1|400#3001015#1|400#3001016#1"
"182","500503","1","2500#2000008#10"
"183","500504","1","2500#2001003#1|1000#2001003#1"
"184","500505","1","100#3001022#1|100#3001021#1|100#3001023#1|100#3001024#1|100#3001025#1|100#3001026#1"
"185","501001","1","1200#5#32|600#5#44|300#5#88|1200#4#38|600#4#49|300#4#99|1200#6#27|600#6#38|300#6#77|2000#1#30|1100#1#48|600#1#66"
"186","501002","1","400#3001012#1|400#3001011#1|400#3001013#1|400#3001014#1|400#3001015#1|400#3001016#1"
"187","501003","1","2500#2000008#10"
"188","501004","1","2500#2001003#1|1000#2001003#1"
"189","501005","1","100#3001022#1|100#3001021#1|100#3001023#1|100#3001024#1|100#3001025#1|100#3001026#1"
"190","501501","1","1200#5#34|600#5#48|300#5#96|1200#4#41|600#4#53|300#4#108|1200#6#29|600#6#41|300#6#84|2000#1#32|1100#1#51|600#1#72"
"191","501502","1","400#3002012#1|400#3002011#1|400#3002013#1|400#3002014#1|400#3002015#1|400#3002016#1"
"192","501503","1","2500#2000008#10"
"193","501504","1","2500#2001003#1|1000#2001003#1"
"194","501505","1","100#3002022#1|100#3002021#1|100#3002023#1|100#3002024#1|100#3002025#1|100#3002026#1"
"195","502001","1","1200#5#36|600#5#52|300#5#104|1200#4#44|600#4#57|300#4#117|1200#6#31|600#6#44|300#6#91|2000#1#34|1100#1#54|600#1#78"
"196","502002","1","400#3002012#1|400#3002011#1|400#3002013#1|400#3002014#1|400#3002015#1|400#3002016#1"
"197","502003","1","2500#2000008#10"
"198","502004","1","2500#2001003#1|1000#2001003#1"
"199","502005","1","100#3002022#1|100#3002021#1|100#3002023#1|100#3002024#1|100#3002025#1|100#3002026#1"
"200","502501","1","1200#5#38|600#5#56|300#5#112|1200#4#47|600#4#61|300#4#126|1200#6#33|600#6#47|300#6#98|2000#1#36|1100#1#57|600#1#84"
"201","502502","1","400#3003012#1|400#3003011#1|400#3003013#1|400#3003014#1|400#3003015#1|400#3003016#1"
"202","502503","1","2500#2000008#10"
"203","502504","1","2500#2001003#1|1000#2001003#1"
"204","502505","1","100#3003022#1|100#3003021#1|100#3003023#1|100#3003024#1|100#3003025#1|100#3003026#1"
"205","503001","1","1200#5#40|600#5#60|300#5#120|1200#4#50|600#4#65|300#4#135|1200#6#35|600#6#50|300#6#105|2000#1#38|1100#1#60|600#1#90"
"206","503002","1","400#3003012#1|400#3003011#1|400#3003013#1|400#3003014#1|400#3003015#1|400#3003016#1"
"207","503003","1","2500#2000008#10"
"208","503004","1","2500#2001003#1|1000#2001003#1"
"209","503005","1","100#3003022#1|100#3003021#1|100#3003023#1|100#3003024#1|100#3003025#1|100#3003026#1"
"210","503501","1","1200#5#42|600#5#64|300#5#128|1200#4#53|600#4#69|300#4#144|1200#6#37|600#6#53|300#6#112|2000#1#40|1100#1#63|600#1#96"
"211","503502","1","400#3004012#1|400#3004011#1|400#3004013#1|400#3004014#1|400#3004015#1|400#3004016#1"
"212","503503","1","2500#2000008#10"
"213","503504","1","2500#2001003#1|1000#2001003#1"
"214","503505","1","100#3004022#1|100#3004021#1|100#3004023#1|100#3004024#1|100#3004025#1|100#3004026#1"
"215","504001","1","1200#5#44|600#5#68|300#5#136|1200#4#56|600#4#73|300#4#153|1200#6#39|600#6#56|300#6#119|2000#1#42|1100#1#66|600#1#102"
"216","504002","1","400#3004012#1|400#3004011#1|400#3004013#1|400#3004014#1|400#3004015#1|400#3004016#1"
"217","504003","1","2500#2000008#10"
"218","504004","1","2500#2001003#1|1000#2001003#1"
"219","504005","1","100#3004022#1|100#3004021#1|100#3004023#1|100#3004024#1|100#3004025#1|100#3004026#1"
"220","504501","1","1200#5#46|600#5#72|300#5#144|1200#4#59|600#4#77|300#4#162|1200#6#41|600#6#59|300#6#126|2000#1#44|1100#1#69|600#1#108"
"221","504502","1","400#3005012#1|400#3005011#1|400#3005013#1|400#3005014#1|400#3005015#1|400#3005016#1"
"222","504503","1","2500#2000008#10"
"223","504504","1","2500#2001003#1|1000#2001003#1"
"224","504505","1","100#3005022#1|100#3005021#1|100#3005023#1|100#3005024#1|100#3005025#1|100#3005026#1"
"225","505001","1","1200#5#48|600#5#76|300#5#152|1200#4#62|600#4#81|300#4#171|1200#6#43|600#6#62|300#6#133|2000#1#46|1100#1#72|600#1#114"
"226","505002","1","400#3005012#1|400#3005011#1|400#3005013#1|400#3005014#1|400#3005015#1|400#3005016#1"
"227","505003","1","2500#2000008#10"
"228","505004","1","2500#2001003#1|1000#2001003#1"
"229","505005","1","100#3005022#1|100#3005021#1|100#3005023#1|100#3005024#1|100#3005025#1|100#3005026#1"
"230","505501","1","1200#5#50|600#5#80|300#5#160|1200#4#65|600#4#85|300#4#180|1200#6#45|600#6#65|300#6#140|2000#1#48|1100#1#75|600#1#120"
"231","505502","1","400#3006012#1|400#3006011#1|400#3006013#1|400#3006014#1|400#3006015#1|400#3006016#1"
"232","505503","1","2500#2000008#10"
"233","505504","1","2500#2001003#1|1000#2001003#1"
"234","505505","1","100#3006022#1|100#3006021#1|100#3006023#1|100#3006024#1|100#3006025#1|100#3006026#1"
"235","506001","1","1200#5#52|600#5#84|300#5#168|1200#4#68|600#4#89|300#4#189|1200#6#47|600#6#68|300#6#147|2000#1#50|1100#1#78|600#1#126"
"236","506002","1","400#3006012#1|400#3006011#1|400#3006013#1|400#3006014#1|400#3006015#1|400#3006016#1"
"237","506003","1","2500#2000008#10"
"238","506004","1","2500#2001003#1|1000#2001003#1"
"239","506005","1","100#3006022#1|100#3006021#1|100#3006023#1|100#3006024#1|100#3006025#1|100#3006026#1"
"240","506501","1","1200#5#54|600#5#88|300#5#176|1200#4#71|600#4#93|300#4#198|1200#6#49|600#6#71|300#6#154|2000#1#52|1100#1#81|600#1#132"
"241","506502","1","3000#5#52|1500#5#81|500#5#132"
"242","506503","1","2500#2000008#10"
"243","506504","1","2500#2001003#1|1000#2001003#1"
"244","506505","1","400#3007012#1|400#3007011#1|400#3007013#1|400#3007014#1|400#3007015#1|400#3007016#1"
"245","507001","1","1200#5#56|600#5#92|300#5#184|1200#4#74|600#4#97|300#4#207|1200#6#51|600#6#74|300#6#161|2000#1#54|1100#1#84|600#1#138"
"246","507002","1","100#3007022#1|100#3007021#1|100#3007023#1|100#3007024#1|100#3007025#1|100#3007026#1"
"247","507003","1","2500#2000008#10"
"248","507004","1","2500#2001003#1|1000#2001003#1"
"249","507005","1","400#3007012#1|400#3007011#1|400#3007013#1|400#3007014#1|400#3007015#1|400#3007016#1"
"250","507501","1","1200#5#58|600#5#96|300#5#192|1200#4#77|600#4#101|300#4#216|1200#6#53|600#6#77|300#6#168|2000#1#56|1100#1#87|600#1#144"
"251","507502","1","3000#5#56|1500#5#87|500#5#144"
"252","507503","1","2500#2000008#10"
"253","507504","1","2500#2001003#1|1000#2001003#1"
"254","507505","1","100#3007022#1|100#3007021#1|100#3007023#1|100#3007024#1|100#3007025#1|100#3007026#1"
"255","508001","1","1200#5#60|600#5#100|300#5#200|1200#4#80|600#4#105|300#4#225|1200#6#55|600#6#80|300#6#175|2000#1#58|1100#1#90|600#1#150"
"256","508002","1","400#3008012#1|400#3008011#1|400#3008013#1|400#3008014#1|400#3008015#1|400#3008016#1"
"257","508003","1","2500#2000008#10"
"258","508004","1","2500#2001003#1|1000#2001003#1"
"259","508005","1","100#3008022#1|100#3008021#1|100#3008023#1|100#3008024#1|100#3008025#1|100#3008026#1"
"260","508501","1","1200#5#62|600#5#104|300#5#208|1200#4#83|600#4#109|300#4#234|1200#6#57|600#6#83|300#6#182|2000#1#60|1100#1#93|600#1#156"
"261","508502","1","400#3009012#1|400#3009011#1|400#3009013#1|400#3009014#1|400#3009015#1|400#3009016#1"
"262","508503","1","2500#2000008#10"
"263","508504","1","2500#2001003#1|1000#2001003#1"
"264","508505","1","100#3009022#1|100#3009021#1|100#3009023#1|100#3009024#1|100#3009025#1|100#3009026#1"
"265","509001","1","1200#5#64|600#5#108|300#5#216|1200#4#86|600#4#113|300#4#243|1200#6#59|600#6#86|300#6#189|2000#1#62|1100#1#96|600#1#162"
"266","509002","1","400#3009012#1|400#3009011#1|400#3009013#1|400#3009014#1|400#3009015#1|400#3009016#1"
"267","509003","1","2500#2000008#10"
"268","509004","1","2500#2001003#1|1000#2001003#1"
"269","509005","1","100#3009022#1|100#3009021#1|100#3009023#1|100#3009024#1|100#3009025#1|100#3009026#1"
"270","509501","1","1200#5#66|600#5#112|300#5#224|1200#4#89|600#4#117|300#4#252|1200#6#61|600#6#89|300#6#196|2000#1#64|1100#1#99|600#1#168"
"271","509502","1","400#3010012#1|400#3010011#1|400#3010013#1|400#3010014#1|400#3010015#1|400#3010016#1"
"272","509503","1","2500#2000008#10"
"273","509504","1","2500#2001003#1|1000#2001003#1"
"274","509505","1","100#3010022#1|100#3010021#1|100#3010023#1|100#3010024#1|100#3010025#1|100#3010026#1"
"275","510001","1","1200#5#68|600#5#116|300#5#232|1200#4#92|600#4#121|300#4#261|1200#6#63|600#6#92|300#6#203|2000#1#66|1100#1#102|600#1#174"
"276","510002","1","400#3010012#1|400#3010011#1|400#3010013#1|400#3010014#1|400#3010015#1|400#3010016#1"
"277","510003","1","2500#2000008#10"
"278","510004","1","2500#2001003#1|1000#2001003#1"
"279","510005","1","100#3010022#1|100#3010021#1|100#3010023#1|100#3010024#1|100#3010025#1|100#3010026#1"
"280","601001","1","19#3001011#1|22#3001012#1|22#3001013#1|22#3001014#1|32#3001015#1|32#3001016#1|6#3001021#1|6#3001022#1|6#3001023#1|6#3001024#1|6#3001025#1|6#3001026#1"
"281","601002","1","2500#1#1"
"282","601101","1","14#3001011#1|17#3001012#1|17#3001013#1|17#3001014#1|24#3001015#1|24#3001016#1|11#3001021#1|11#3001022#1|11#3001023#1|11#3001024#1|11#3001025#1|11#3001026#1"
"283","601102","1","5000#1#1"
"284","602001","1","19#3002011#1|22#3002012#1|22#3002013#1|22#3002014#1|32#3002015#1|32#3002016#1|6#3002021#1|6#3002022#1|6#3002023#1|6#3002024#1|6#3002025#1|6#3002026#1"
"285","602002","1","2500#1#1"
"286","602101","1","14#3002011#1|17#3002012#1|17#3002013#1|17#3002014#1|24#3002015#1|24#3002016#1|11#3002021#1|11#3002022#1|11#3002023#1|11#3002024#1|11#3002025#1|11#3002026#1"
"287","602102","1","5000#1#1"
"288","603001","1","19#3003011#1|22#3003012#1|22#3003013#1|22#3003014#1|32#3003015#1|32#3003016#1|6#3003021#1|6#3003022#1|6#3003023#1|6#3003024#1|6#3003025#1|6#3003026#1"
"289","603002","1","2500#1#1"
"290","603101","1","14#3003011#1|17#3003012#1|17#3003013#1|17#3003014#1|24#3003015#1|24#3003016#1|11#3003021#1|11#3003022#1|11#3003023#1|11#3003024#1|11#3003025#1|11#3003026#1"
"291","603102","1","5000#1#1"
"292","604001","1","19#3004011#1|22#3004012#1|22#3004013#1|22#3004014#1|32#3004015#1|32#3004016#1|6#3004021#1|6#3004022#1|6#3004023#1|6#3004024#1|6#3004025#1|6#3004026#1"
"293","604002","1","2500#1#1"
"294","604101","1","14#3004011#1|17#3004012#1|17#3004013#1|17#3004014#1|24#3004015#1|24#3004016#1|11#3004021#1|11#3004022#1|11#3004023#1|11#3004024#1|11#3004025#1|11#3004026#1"
"295","604102","1","5000#1#1"
"296","605001","1","19#3005011#1|22#3005012#1|22#3005013#1|22#3005014#1|32#3005015#1|32#3005016#1|6#3005021#1|6#3005022#1|6#3005023#1|6#3005024#1|6#3005025#1|6#3005026#1"
"297","605002","1","2500#1#1"
"298","605101","1","14#3005031#1|17#3005032#1|17#3005033#1|17#3005034#1|24#3005035#1|24#3005036#1|11#3005021#1|11#3005022#1|11#3005023#1|11#3005024#1|11#3005025#1|11#3005026#1"
"299","605102","1","5000#1#1"
"300","606001","1","19#3005011#1|22#3005012#1|22#3005013#1|22#3005014#1|32#3005015#1|32#3005016#1|6#3005021#1|6#3005022#1|6#3005023#1|6#3005024#1|6#3005025#1|6#3005026#1"
"301","606002","1","2500#1#1"
"302","606101","1","14#3005011#1|17#3005012#1|17#3005013#1|17#3005014#1|24#3005015#1|24#3005016#1|11#3005021#1|11#3005022#1|11#3005023#1|11#3005024#1|11#3005025#1|11#3005026#1"
"303","606102","1","5000#1#1"
"304","601201","1","960#3001031#1|1120#3001032#1|1280#3001033#1|1440#3001034#1|1600#3001035#1|1600#3001036#1|240#3001041#1|280#3001042#1|320#3001043#1|360#3001044#1|400#3001045#1|400#3001046#1"
"305","601202","1","5000#2001004#1|3000#2001004#1|2000#2001004#1"
"306","601203","1","10000#1#50"
"307","601204","1","10000#2000008#10"
