"#name Equip","#unique equipId","","","","","","","","","","","",""
"equipId","bigType","type","name","quality","level","attrs","attrRep","appraise","score","smeltReward","suitId"
"3002055","1","5","风道服","5","20","202#254|203#0","102001","1","4530","1#1","0"
"3002056","1","6","锦步鞋","5","20","202#127|203#18","102001","1","5460","1#1","0"
"3003011","1","1","镇泉大剑","1","30","202#0|203#21","103001","0","2800","1#1","0"
"3003012","1","2","清泉链","1","30","202#48|203#14","103001","0","2540","1#1","0"
"3003013","1","3","凌波戒","1","30","202#48|203#14","103001","0","2540","1#1","0"
"3003014","1","4","流光小冠","1","30","202#96|203#0","103001","0","1270","1#1","0"
"3003015","1","5","虚渊服","1","30","202#143|203#0","103001","0","1910","1#1","0"
"3003016","1","6","云游履","1","30","202#72|203#11","103001","0","2360","1#1","0"
"3003017","1","7","水鹤披风","1","30","202#24|203#4","103002","0","820","1#1","0"
"3003018","1","8","玉渊佩","1","30","202#24|203#4","103002","0","820","1#1","0"
"3003019","1","9","太湖章","1","30","202#24|203#4","103002","0","820","1#1","0"
"3003021","1","1","镇泉大剑","2","30","202#0|203#28","103001","0","4300","1#1","0"
"3003022","1","2","清泉链","2","30","202#64|203#19","103001","0","3760","1#1","0"
"3003023","1","3","凌波戒","2","30","202#64|203#19","103001","0","3760","1#1","0"
"3003024","1","4","流光小冠","2","30","202#127|203#0","103001","0","1910","1#1","0"
"3003025","1","5","虚渊服","2","30","202#191|203#0","103001","0","2870","1#1","0"
"3003026","1","6","云游履","2","30","202#96|203#14","103001","0","3530","1#1","0"
"3003027","1","7","水鹤披风","2","30","202#32|203#5","103002","0","1180","1#1","0"
"3003028","1","8","玉渊佩","2","30","202#32|203#5","103002","0","1180","1#1","0"
"3003029","1","9","太湖章","2","30","202#32|203#5","103002","0","1180","1#1","0"
"3003031","1","1","镇泉大剑","3","30","202#0|203#35","103001","0","5700","1#1","0"
"3003032","1","2","清泉链","3","30","202#80|203#24","103001","0","5070","1#1","0"
"3003033","1","3","凌波戒","3","30","202#80|203#24","103001","0","5070","1#1","0"
"3003034","1","4","流光小冠","3","30","202#159|203#0","103001","0","2550","1#1","0"
"3003035","1","5","虚渊服","3","30","202#239|203#0","103001","0","3820","1#1","0"
"3003036","1","6","云游履","3","30","202#119|203#18","103001","0","4710","1#1","0"
"3003037","1","7","水鹤披风","3","30","202#40|203#6","103002","0","1540","1#1","0"
"3003038","1","8","玉渊佩","3","30","202#40|203#6","103002","0","1540","1#1","0"
"3003039","1","9","太湖章","3","30","202#40|203#6","103002","0","1540","1#1","0"
"3003041","1","1","镇泉大剑","4","30","202#0|203#43","103001","1","7100","1#1","0"
"3003042","1","2","清泉链","4","30","202#96|203#28","103001","1","6290","1#1","0"
"3003043","1","3","凌波戒","4","30","202#96|203#28","103001","1","6290","1#1","0"
"3003044","1","4","流光小冠","4","30","202#191|203#0","103001","1","3180","1#1","0"
"3003045","1","5","虚渊服","4","30","202#287|203#0","103001","1","4780","1#1","0"
"3003046","1","6","云游履","4","30","202#143|203#21","103001","1","5890","1#1","0"
"3003047","1","7","水鹤披风","4","30","202#48|203#7","103002","1","2000","1#1","0"
"3003048","1","8","玉渊佩","4","30","202#48|203#7","103002","1","2000","1#1","0"
"3003049","1","9","太湖章","4","30","202#48|203#7","103002","1","2000","1#1","0"
"3003051","1","1","镇泉大剑","5","30","202#0|203#50","103001","1","8900","1#1","0"
"3003052","1","2","清泉链","5","30","202#111|203#33","103001","1","7890","1#1","0"
"3003053","1","3","凌波戒","5","30","202#111|203#33","103001","1","7890","1#1","0"
"3003054","1","4","流光小冠","5","30","202#223|203#0","103001","1","3980","1#1","0"
"3003055","1","5","虚渊服","5","30","202#334|203#0","103001","1","5970","1#1","0"
"3003056","1","6","云游履","5","30","202#167|203#25","103001","1","7390","1#1","0"
"3003057","1","7","水鹤披风","5","30","202#56|203#8","103002","1","2500","1#1","0"
"3003058","1","8","玉渊佩","5","30","202#56|203#8","103002","1","2500","1#1","0"
"3003059","1","9","太湖章","5","30","202#56|203#8","103002","1","2500","1#1","0"
"3004011","1","1","灵月弯刀","1","40","202#0|203#29","104001","0","3900","1#1","0"
"3004012","1","2","广寒戒","1","40","202#63|203#20","104001","0","3450","1#1","0"
"3004013","1","3","冷月链","1","40","202#63|203#20","104001","0","3450","1#1","0"
"3004014","1","4","弦月发冠","1","40","202#127|203#0","104001","0","1690","1#1","0"
"3004015","1","5","焚月袍","1","40","202#190|203#0","104001","0","2540","1#1","0"
"3004016","1","6","净月靴","1","40","202#95|203#15","104001","0","3270","1#1","0"
"3004017","1","7","灵月斗篷","1","40","202#32|203#5","104002","0","1120","1#1","0"
"3004018","1","8","文月坠","1","40","202#32|203#5","104002","0","1120","1#1","0"
"3004019","1","9","日月章","1","40","202#32|203#5","104002","0","1120","1#1","0"
"3004021","1","1","灵月弯刀","2","40","202#0|203#39","104001","0","5900","1#1","0"
"3004022","1","2","广寒戒","2","40","202#85|203#26","104001","0","5170","1#1","0"
"3004023","1","3","冷月链","2","40","202#85|203#26","104001","0","5170","1#1","0"
"3004024","1","4","弦月发冠","2","40","202#169|203#0","104001","0","2540","1#1","0"
"3004025","1","5","焚月袍","2","40","202#254|203#0","104001","0","3800","1#1","0"
"3004026","1","6","净月靴","2","40","202#127|203#20","104001","0","4800","1#1","0"
"3004027","1","7","灵月斗篷","2","40","202#42|203#7","104002","0","1630","1#1","0"
"3004028","1","8","文月坠","2","40","202#42|203#7","104002","0","1630","1#1","0"
"3004029","1","9","日月章","2","40","202#42|203#7","104002","0","1630","1#1","0"
"3004031","1","1","灵月弯刀","3","40","202#0|203#49","104001","0","7800","1#1","0"
"3004032","1","2","广寒戒","3","40","202#106|203#33","104001","0","6890","1#1","0"
"3004033","1","3","冷月链","3","40","202#106|203#33","104001","0","6890","1#1","0"
"3004034","1","4","弦月发冠","3","40","202#211|203#0","104001","0","3380","1#1","0"
"3004035","1","5","焚月袍","3","40","202#317|203#0","104001","0","5070","1#1","0"
"3004036","1","6","净月靴","3","40","202#159|203#24","104001","0","6440","1#1","0"
"3004037","1","7","灵月斗篷","3","40","202#53|203#8","104002","0","2150","1#1","0"
"3004038","1","8","文月坠","3","40","202#53|203#8","104002","0","2150","1#1","0"
"3004039","1","9","日月章","3","40","202#53|203#8","104002","0","2150","1#1","0"
"3004041","1","1","灵月弯刀","4","40","202#0|203#59","104001","1","9800","1#1","0"
"3004042","1","2","广寒戒","4","40","202#127|203#39","104001","1","8610","1#1","0"
"3004043","1","3","冷月链","4","40","202#127|203#39","104001","1","8610","1#1","0"
"3004044","1","4","弦月发冠","4","40","202#254|203#0","104001","1","4230","1#1","0"
"3004045","1","5","焚月袍","4","40","202#380|203#0","104001","1","6340","1#1","0"
"3004046","1","6","净月靴","4","40","202#190|203#29","104001","1","8070","1#1","0"
"3004047","1","7","灵月斗篷","4","40","202#63|203#10","104002","1","2660","1#1","0"
"3004048","1","8","文月坠","4","40","202#63|203#10","104002","1","2660","1#1","0"
"3004049","1","9","日月章","4","40","202#63|203#10","104002","1","2660","1#1","0"
"3004051","1","1","灵月弯刀","5","40","202#0|203#68","104001","1","12200","1#1","0"
"3004052","1","2","广寒戒","5","40","202#148|203#46","104001","1","10840","1#1","0"
"3004053","1","3","冷月链","5","40","202#148|203#46","104001","1","10840","1#1","0"
"3004054","1","4","弦月发冠","5","40","202#296|203#0","104001","1","5280","1#1","0"
"3004055","1","5","焚月袍","5","40","202#444|203#0","104001","1","7920","1#1","0"
"3004056","1","6","净月靴","5","40","202#222|203#34","104001","1","10060","1#1","0"
"3004057","1","7","灵月斗篷","5","40","202#74|203#11","104002","1","3320","1#1","0"
"3004058","1","8","文月坠","5","40","202#74|203#11","104002","1","3320","1#1","0"
"3004059","1","9","日月章","5","40","202#74|203#11","104002","1","3320","1#1","0"
"3005011","1","1","圣龙大剑","1","50","202#0|203#36","105001","0","4800","1#1","0"
"3005012","1","2","缚龙戒","1","50","202#76|203#24","105001","0","4210","1#1","0"
"3005013","1","3","圣龙链","1","50","202#76|203#24","105001","0","4210","1#1","0"
"3005014","1","4","纹龙头冠","1","50","202#152|203#0","105001","0","2030","1#1","0"
"3005015","1","5","赤龙服","1","50","202#228|203#0","105001","0","3040","1#1","0"
"3005016","1","6","龙吟靴","1","50","202#114|203#18","105001","0","3920","1#1","0"
"3005017","1","7","龙纹披风","1","50","202#38|203#6","105002","0","1310","1#1","0"
"3005018","1","8","玄龙鉴","1","50","202#38|203#6","105002","0","1310","1#1","0"
"3005019","1","9","玄龙章","1","50","202#38|203#6","105002","0","1310","1#1","0"
"3005021","1","1","圣龙大剑","2","50","202#0|203#48","105001","0","7200","1#1","0"
"3005022","1","2","缚龙戒","2","50","202#101|203#32","105001","0","6320","1#1","0"
"3005023","1","3","圣龙链","2","50","202#101|203#32","105001","0","6320","1#1","0"
"3005024","1","4","纹龙头冠","2","50","202#203|203#0","105001","0","3040","1#1","0"
"3005025","1","5","赤龙服","2","50","202#304|203#0","105001","0","4560","1#1","0"
"3005026","1","6","龙吟靴","2","50","202#152|203#24","105001","0","5880","1#1","0"
"3005027","1","7","龙纹披风","2","50","202#51|203#8","105002","0","1960","1#1","0"
"3005028","1","8","玄龙鉴","2","50","202#51|203#8","105002","0","1960","1#1","0"
"3005029","1","9","玄龙章","2","50","202#51|203#8","105002","0","1960","1#1","0"
"3005031","1","1","圣龙大剑","3","50","202#0|203#60","105001","0","9500","1#1","0"
"3005032","1","2","缚龙戒","3","50","202#127|203#40","105001","0","8430","1#1","0"
"3005033","1","3","圣龙链","3","50","202#127|203#40","105001","0","8430","1#1","0"
"3005034","1","4","纹龙头冠","3","50","202#253|203#0","105001","0","4050","1#1","0"
"3005035","1","5","赤龙服","3","50","202#380|203#0","105001","0","6080","1#1","0"
"3005036","1","6","龙吟靴","3","50","202#190|203#30","105001","0","7840","1#1","0"
"3005037","1","7","龙纹披风","3","50","202#63|203#10","105002","0","2610","1#1","0"
"3005038","1","8","玄龙鉴","3","50","202#63|203#10","105002","0","2610","1#1","0"
"3005039","1","9","玄龙章","3","50","202#63|203#10","105002","0","2610","1#1","0"
"3005041","1","1","圣龙大剑","4","50","202#0|203#72","105001","1","11900","1#1","0"
"3005042","1","2","缚龙戒","4","50","202#152|203#48","105001","1","10530","1#1","0"
"3005043","1","3","圣龙链","4","50","202#152|203#48","105001","1","10530","1#1","0"
"3005044","1","4","纹龙头冠","4","50","202#304|203#0","105001","1","5070","1#1","0"
"3005045","1","5","赤龙服","4","50","202#456|203#0","105001","1","7600","1#1","0"
"3005046","1","6","龙吟靴","4","50","202#228|203#36","105001","1","9800","1#1","0"
"3005047","1","7","龙纹披风","4","50","202#76|203#12","105002","1","3270","1#1","0"
"3005048","1","8","玄龙鉴","4","50","202#76|203#12","105002","1","3270","1#1","0"
"3005049","1","9","玄龙章","4","50","202#76|203#12","105002","1","3270","1#1","0"
"3005051","1","1","圣龙大剑","5","50","202#0|203#84","105001","1","14900","1#1","0"
"3005052","1","2","缚龙戒","5","50","202#177|203#56","105001","1","13170","1#1","0"
"3005053","1","3","圣龙链","5","50","202#177|203#56","105001","1","13170","1#1","0"
"3005054","1","4","纹龙头冠","5","50","202#355|203#0","105001","1","6330","1#1","0"
"3005055","1","5","赤龙服","5","50","202#532|203#0","105001","1","9500","1#1","0"
"3005056","1","6","龙吟靴","5","50","202#266|203#42","105001","1","12250","1#1","0"
"3005057","1","7","龙纹披风","5","50","202#89|203#14","105002","1","4080","1#1","0"
"3005058","1","8","玄龙鉴","5","50","202#89|203#14","105002","1","4080","1#1","0"
"3005059","1","9","玄龙章","5","50","202#89|203#14","105002","1","4080","1#1","0"
"3005061","1","1","赤霄-夏禹神剑","5","50","202#0|203#84","105001","1","14900","1#1","1001"
"3005062","1","2","赤霄-创世神戒","5","50","202#177|203#56","105001","1","13170","1#1","1001"
"3005063","1","3","赤霄-天神链","5","50","202#177|203#56","105001","1","13170","1#1","1001"
"3005064","1","4","赤霄-天痕神盔","5","50","202#355|203#0","105001","1","6330","1#1","1001"
"3005065","1","5","赤霄-天神战衣","5","50","202#532|203#0","105001","1","9500","1#1","1001"
"3005066","1","6","赤霄-天神靴","5","50","202#266|203#42","105001","1","12250","1#1","1001"
"3005071","1","1","轩辕-夏禹神剑","5","50","202#0|203#84","105001","1","14900","1#1","1002"
"3005072","1","2","轩辕-创世神戒","5","50","202#177|203#56","105001","1","13170","1#1","1002"
"3005073","1","3","轩辕-天神链","5","50","202#177|203#56","105001","1","13170","1#1","1002"
"3005074","1","4","轩辕-天痕神盔","5","50","202#355|203#0","105001","1","6330","1#1","1002"
"3005075","1","5","轩辕-天神战衣","5","50","202#532|203#0","105001","1","9500","1#1","1002"
"3005076","1","6","轩辕-天神靴","5","50","202#266|203#42","105001","1","12250","1#1","1002"
"3005081","1","1","幻影-夏禹神剑","5","50","202#0|203#84","105001","1","14900","1#1","1003"
"3005082","1","2","幻影-创世神戒","5","50","202#177|203#56","105001","1","13170","1#1","1003"
"3005083","1","3","幻影-天神链","5","50","202#177|203#56","105001","1","13170","1#1","1003"
"3005084","1","4","幻影-天痕神盔","5","50","202#355|203#0","105001","1","6330","1#1","1003"
"3005085","1","5","幻影-天神战衣","5","50","202#532|203#0","105001","1","9500","1#1","1003"
"3005086","1","6","幻影-天神靴","5","50","202#266|203#42","105001","1","12250","1#1","1003"
"3005091","1","1","龙渊-夏禹神剑","5","50","202#0|203#84","105001","1","14900","1#1","1004"
"3005092","1","2","龙渊-创世神戒","5","50","202#177|203#56","105001","1","13170","1#1","1004"
"3005093","1","3","龙渊-天神链","5","50","202#177|203#56","105001","1","13170","1#1","1004"
"3005094","1","4","龙渊-天痕神盔","5","50","202#355|203#0","105001","1","6330","1#1","1004"
"3005095","1","5","龙渊-天神战衣","5","50","202#532|203#0","105001","1","9500","1#1","1004"
"3005096","1","6","龙渊-天神靴","5","50","202#266|203#42","105001","1","12250","1#1","1004"
"3006011","1","1","圣龙大剑","1","60","202#0|203#46","106001","0","6100","1#1","0"
"3006012","1","2","缚龙戒","1","60","202#95|203#30","106001","0","5260","1#1","0"
"3006013","1","3","圣龙链","1","60","202#95|203#30","106001","0","5260","1#1","0"
"3006014","1","4","纹龙头冠","1","60","202#190|203#0","106001","0","2530","1#1","0"
"3006015","1","5","赤龙服","1","60","202#284|203#0","106001","0","3790","1#1","0"
"3006016","1","6","龙吟靴","1","60","202#142|203#23","106001","0","4900","1#1","0"
"3006017","1","7","龙纹披风","1","60","202#47|203#8","106002","0","1630","1#1","0"
"3006018","1","8","玄龙鉴","1","60","202#47|203#8","106002","0","1630","1#1","0"
"3006019","1","9","玄龙章","1","60","202#47|203#8","106002","0","1630","1#1","0"
"3006021","1","1","圣龙大剑","2","60","202#0|203#61","106001","0","9100","1#1","0"
"3006022","1","2","缚龙戒","2","60","202#126|203#40","106001","0","8000","1#1","0"
"3006023","1","3","圣龙链","2","60","202#126|203#40","106001","0","8000","1#1","0"
"3006024","1","4","纹龙头冠","2","60","202#253|203#0","106001","0","3790","1#1","0"
"3006025","1","5","赤龙服","2","60","202#379|203#0","106001","0","5690","1#1","0"
"3006026","1","6","龙吟靴","2","60","202#190|203#30","106001","0","7340","1#1","0"
"3006027","1","7","龙纹披风","2","60","202#63|203#10","106002","0","2450","1#1","0"
"3006028","1","8","玄龙鉴","2","60","202#63|203#10","106002","0","2450","1#1","0"
"3006029","1","9","玄龙章","2","60","202#63|203#10","106002","0","2450","1#1","0"
"3006031","1","1","圣龙大剑","3","60","202#0|203#76","106001","0","12100","1#1","0"
"3006032","1","2","缚龙戒","3","60","202#158|203#51","106001","0","10630","1#1","0"
"3006033","1","3","圣龙链","3","60","202#158|203#51","106001","0","10630","1#1","0"
"3006034","1","4","纹龙头冠","3","60","202#316|203#0","106001","0","5060","1#1","0"
"3006035","1","5","赤龙服","3","60","202#474|203#0","106001","0","7580","1#1","0"
"3006036","1","6","龙吟靴","3","60","202#237|203#38","106001","0","9890","1#1","0"
"3006037","1","7","龙纹披风","3","60","202#79|203#13","106002","0","3260","1#1","0"
"3006038","1","8","玄龙鉴","3","60","202#79|203#13","106002","0","3260","1#1","0"
"3006039","1","9","玄龙章","3","60","202#79|203#13","106002","0","3260","1#1","0"
"3006041","1","1","圣龙大剑","4","60","202#0|203#91","106001","1","15200","1#1","0"
"3006042","1","2","缚龙戒","4","60","202#190|203#61","106001","1","13260","1#1","0"
"3006043","1","3","圣龙链","4","60","202#190|203#61","106001","1","13260","1#1","0"
"3006044","1","4","纹龙头冠","4","60","202#379|203#0","106001","1","6320","1#1","0"
"3006045","1","5","赤龙服","4","60","202#569|203#0","106001","1","9480","1#1","0"
"3006046","1","6","龙吟靴","4","60","202#284|203#45","106001","1","12340","1#1","0"
"3006047","1","7","龙纹披风","4","60","202#95|203#15","106002","1","4080","1#1","0"
"3006048","1","8","玄龙鉴","4","60","202#95|203#15","106002","1","4080","1#1","0"
"3006049","1","9","玄龙章","4","60","202#95|203#15","106002","1","4080","1#1","0"
"3006051","1","1","圣龙大剑","5","60","202#0|203#106","106001","1","18900","1#1","0"
"3006052","1","2","缚龙戒","5","60","202#221|203#71","106001","1","16550","1#1","0"
"3006053","1","3","圣龙链","5","60","202#221|203#71","106001","1","16550","1#1","0"
"3006054","1","4","纹龙头冠","5","60","202#442|203#0","106001","1","7900","1#1","0"
"3006055","1","5","赤龙服","5","60","202#664|203#0","106001","1","11850","1#1","0"
"3006056","1","6","龙吟靴","5","60","202#332|203#53","106001","1","15430","1#1","0"
"3006057","1","7","龙纹披风","5","60","202#111|203#18","106002","1","5180","1#1","0"
"3006058","1","8","玄龙鉴","5","60","202#111|203#18","106002","1","5180","1#1","0"
"3006059","1","9","玄龙章","5","60","202#111|203#18","106002","1","5180","1#1","0"
"3006061","1","1","赤霄-夏禹神剑","5","60","202#0|203#106","106001","1","18900","1#1","1005"
"3006062","1","2","赤霄-创世神戒","5","60","202#221|203#71","106001","1","16550","1#1","1005"
"3006063","1","3","赤霄-天神链","5","60","202#221|203#71","106001","1","16550","1#1","1005"
"3006064","1","4","赤霄-天痕神盔","5","60","202#442|203#0","106001","1","7900","1#1","1005"
"3006065","1","5","赤霄-天神战衣","5","60","202#664|203#0","106001","1","11850","1#1","1005"
"3006066","1","6","赤霄-天神靴","5","60","202#332|203#53","106001","1","15430","1#1","1005"
"3006071","1","1","轩辕-夏禹神剑","5","60","202#0|203#106","106001","1","18900","1#1","1006"
"3006072","1","2","轩辕-创世神戒","5","60","202#221|203#71","106001","1","16550","1#1","1006"
"3006073","1","3","轩辕-天神链","5","60","202#221|203#71","106001","1","16550","1#1","1006"
"3006074","1","4","轩辕-天痕神盔","5","60","202#442|203#0","106001","1","7900","1#1","1006"
"3006075","1","5","轩辕-天神战衣","5","60","202#664|203#0","106001","1","11850","1#1","1006"
"3006076","1","6","轩辕-天神靴","5","60","202#332|203#53","106001","1","15430","1#1","1006"
"3006081","1","1","幻影-夏禹神剑","5","60","202#0|203#106","106001","1","18900","1#1","1007"
"3006082","1","2","幻影-创世神戒","5","60","202#221|203#71","106001","1","16550","1#1","1007"
"3006083","1","3","幻影-天神链","5","60","202#221|203#71","106001","1","16550","1#1","1007"
"3006084","1","4","幻影-天痕神盔","5","60","202#442|203#0","106001","1","7900","1#1","1007"
"3006085","1","5","幻影-天神战衣","5","60","202#664|203#0","106001","1","11850","1#1","1007"
"3006086","1","6","幻影-天神靴","5","60","202#332|203#53","106001","1","15430","1#1","1007"
"3006091","1","1","龙渊-夏禹神剑","5","60","202#0|203#106","106001","1","18900","1#1","1008"
"3006092","1","2","龙渊-创世神戒","5","60","202#221|203#71","106001","1","16550","1#1","1008"
"3006093","1","3","龙渊-天神链","5","60","202#221|203#71","106001","1","16550","1#1","1008"
"3006094","1","4","龙渊-天痕神盔","5","60","202#442|203#0","106001","1","7900","1#1","1008"
"3006095","1","5","龙渊-天神战衣","5","60","202#664|203#0","106001","1","11850","1#1","1008"
"3006096","1","6","龙渊-天神靴","5","60","202#332|203#53","106001","1","15430","1#1","1008"
"3007011","1","1","圣龙大剑","1","70","202#0|203#56","107001","0","7500","1#1","0"
"3007012","1","2","缚龙戒","1","70","202#116|203#38","107001","0","6540","1#1","0"
"3007013","1","3","圣龙链","1","70","202#116|203#38","107001","0","6540","1#1","0"
"3007014","1","4","纹龙头冠","1","70","202#231|203#0","107001","0","3080","1#1","0"
"3007015","1","5","赤龙服","1","70","202#347|203#0","107001","0","4630","1#1","0"
"3007016","1","6","龙吟靴","1","70","202#174|203#28","107001","0","6110","1#1","0"
"3007017","1","7","龙纹披风","1","70","202#58|203#9","107002","0","2070","1#1","0"
"3007018","1","8","玄龙鉴","1","70","202#58|203#9","107002","0","2070","1#1","0"
"3007019","1","9","玄龙章","1","70","202#58|203#9","107002","0","2070","1#1","0"
"3007021","1","1","圣龙大剑","2","70","202#0|203#75","107001","0","11300","1#1","0"
"3007022","1","2","缚龙戒","2","70","202#154|203#50","107001","0","9810","1#1","0"
"3007023","1","3","圣龙链","2","70","202#154|203#50","107001","0","9810","1#1","0"
"3007024","1","4","纹龙头冠","2","70","202#308|203#0","107001","0","4630","1#1","0"
"3007025","1","5","赤龙服","2","70","202#463|203#0","107001","0","6940","1#1","0"
"3007026","1","6","龙吟靴","2","70","202#231|203#38","107001","0","9070","1#1","0"
"3007027","1","7","龙纹披风","2","70","202#77|203#13","107002","0","3060","1#1","0"
"3007028","1","8","玄龙鉴","2","70","202#77|203#13","107002","0","3060","1#1","0"
"3007029","1","9","玄龙章","2","70","202#77|203#13","107002","0","3060","1#1","0"
"3007031","1","1","圣龙大剑","3","70","202#0|203#94","107001","0","15000","1#1","0"
"3007032","1","2","缚龙戒","3","70","202#193|203#63","107001","0","13090","1#1","0"
"3007033","1","3","圣龙链","3","70","202#193|203#63","107001","0","13090","1#1","0"
"3007034","1","4","纹龙头冠","3","70","202#386|203#0","107001","0","6170","1#1","0"
"3007035","1","5","赤龙服","3","70","202#578|203#0","107001","0","9260","1#1","0"
"3007036","1","6","龙吟靴","3","70","202#289|203#47","107001","0","12130","1#1","0"
"3007037","1","7","龙纹披风","3","70","202#96|203#16","107002","0","4040","1#1","0"
"3007038","1","8","玄龙鉴","3","70","202#96|203#16","107002","0","4040","1#1","0"
"3007039","1","9","玄龙章","3","70","202#96|203#16","107002","0","4040","1#1","0"
"3007041","1","1","圣龙大剑","4","70","202#0|203#113","107001","1","18800","1#1","0"
"3007042","1","2","缚龙戒","4","70","202#231|203#75","107001","1","16360","1#1","0"
