"#name Item","#unique id","","","","","","","","","","","",""
"id","name","kind","subType","kindParam","quality","useType","useData"
"2005046","图鉴46","200","1","0","2","0",""
"2005047","图鉴47","200","1","0","2","0",""
"2005048","图鉴48","200","1","0","2","0",""
"2005049","图鉴49","200","1","0","2","0",""
"2005050","图鉴50","200","1","0","2","0",""
"2005051","图鉴51","200","1","0","2","0",""
"2005052","图鉴52","200","1","0","3","0",""
"2005053","图鉴53","200","1","0","3","0",""
"2005054","图鉴54","200","1","0","3","0",""
"2003001","20级橙装随机包","500","0","411","4","0",""
"2003002","30级橙装随机包","500","0","412","4","0",""
"2003003","40级橙装随机包","500","0","413","4","0",""
"2003004","50级橙装随机包","500","0","414","4","0",""
"2003005","60级套装武器","500","0","415","5","0",""
"2003006","60级套装项链","500","0","416","5","0",""
"2003007","60级套装戒指","500","0","417","5","0",""
"2003008","60级套装头盔","500","0","418","5","0",""
"2003009","60级套装衣服","500","0","419","5","0",""
"2003010","60级套装靴子","500","0","420","5","0",""
"2003011","秘境挑战券(稀有)","200","0","0","4","1","20041"
"2003012","60级套装(自选)","200","0","0","5","2","10020"
"2003016","随机紫品伙伴","500","0","20037","3","0",""
"2003017","随机绿品伙伴","500","0","20034","1","0",""
"2003018","随机蓝品伙伴","500","0","20035","2","0",""
"2003019","秘境挑战券(普通)","200","0","0","3","1","20036"
"2003020","30级蓝装","500","0","20001","2","0",""
"2003021","30级紫装","500","0","20002","3","0",""
"2003022","30级橙装","500","0","20003","4","0",""
"2003026","40级蓝装","500","0","20007","2","0",""
"2003027","40级紫装","500","0","20008","3","0",""
"2003028","40级橙装","500","0","20009","4","0",""
"2003029","50级蓝装","500","0","20010","2","0",""
"2003030","50级紫装","500","0","20011","3","0",""
"2003031","50级橙装","500","0","20012","4","0",""
"2003032","60级套装(随机)","500","0","20013","5","0",""
"2003033","10级绿装","500","0","20029","1","0",""
"2003034","10级蓝装","500","0","20030","2","0",""
"2003035","10级紫装","500","0","20031","3","0",""
"2003036","20级蓝装","500","0","20032","2","0",""
"2003037","20级紫装","500","0","20033","3","0",""
"2003038","10级绿色装备分解","500","0","20014","2","0",""
"2003039","10级蓝色装备分解","500","0","20015","2","0",""
"2003040","10级紫色装备分解","500","0","20016","2","0",""
"2003041","20级绿色装备分解","500","0","20017","2","0",""
"2003042","20级蓝色装备分解","500","0","20018","2","0",""
"2003043","20级紫色装备分解","500","0","20019","2","0",""
"2003044","30级绿色装备分解","500","0","20020","2","0",""
"2003045","30级蓝色装备分解","500","0","20021","2","0",""
"2003046","30级紫色装备分解","500","0","20022","2","0",""
"2003047","40级绿色装备分解","500","0","20023","2","0",""
"2003048","40级蓝色装备分解","500","0","20024","2","0",""
"2003049","40级紫色装备分解","500","0","20025","2","0",""
"2003050","50级绿色装备分解","500","0","20026","2","0",""
"2003051","50级蓝色装备分解","500","0","20027","2","0",""
"2003052","50级紫色装备分解","500","0","20028","2","0",""
"2003053","60级赤霄套装自选","200","0","0","5","2","10022"
"2003054","60级轩辕套装自选","200","0","0","5","2","10023"
"2003055","60级幻影套装自选","200","0","0","5","2","10024"
"2003056","60级龙渊套装自选","200","0","0","5","2","10025"
"3001011","玄铁短剑","300","0","0","1","0",""
"3001012","玄铁戒","300","0","0","1","0",""
"3001013","平安链","300","0","0","1","0",""
"3001014","草木斗笠","300","0","0","1","0",""
"3001015","短布袍","300","0","0","1","0",""
"3001016","行者靴","300","0","0","1","0",""
"3001021","玄铁短剑","300","0","0","2","0",""
"3001022","玄铁戒","300","0","0","2","0",""
"3001023","平安链","300","0","0","2","0",""
"3001024","草木斗笠","300","0","0","2","0",""
"3001025","短布袍","300","0","0","2","0",""
"3001026","行者靴","300","0","0","2","0",""
"3001031","玄铁短剑","300","0","0","3","0",""
"3001032","玄铁戒","300","0","0","3","0",""
"3001033","平安链","300","0","0","3","0",""
"3001034","草木斗笠","300","0","0","3","0",""
"3001035","短布袍","300","0","0","3","0",""
"3001036","行者靴","300","0","0","3","0",""
"3001041","玄铁短剑","300","0","0","4","0",""
"3001042","玄铁戒","300","0","0","4","0",""
"3001043","平安链","300","0","0","4","0",""
"3001044","草木斗笠","300","0","0","4","0",""
"3001045","短布袍","300","0","0","4","0",""
"3001046","行者靴","300","0","0","4","0",""
"3001051","玄铁短剑","300","0","0","5","0",""
"3001052","玄铁戒","300","0","0","5","0",""
"3001053","平安链","300","0","0","5","0",""
"3001054","草木斗笠","300","0","0","5","0",""
"3001055","短布袍","300","0","0","5","0",""
"3001056","行者靴","300","0","0","5","0",""
"3002011","碧风长剑","300","0","0","1","0",""
"3002012","清风戒","300","0","0","1","0",""
"3002013","碧空链","300","0","0","1","0",""
"3002014","飞羽小冠","300","0","0","1","0",""
"3002015","风道服","300","0","0","1","0",""
"3002016","锦步鞋","300","0","0","1","0",""
"3002021","碧风长剑","300","0","0","2","0",""
"3002022","清风戒","300","0","0","2","0",""
"3002023","碧空链","300","0","0","2","0",""
"3002024","飞羽小冠","300","0","0","2","0",""
"3002025","风道服","300","0","0","2","0",""
"3002026","锦步鞋","300","0","0","2","0",""
"3002031","碧风长剑","300","0","0","3","0",""
"3002032","清风戒","300","0","0","3","0",""
"3002033","碧空链","300","0","0","3","0",""
"3002034","飞羽小冠","300","0","0","3","0",""
"3002035","风道服","300","0","0","3","0",""
"3002036","锦步鞋","300","0","0","3","0",""
"3002041","碧风长剑","300","0","0","4","0",""
"3002042","清风戒","300","0","0","4","0",""
"3002043","碧空链","300","0","0","4","0",""
"3002044","飞羽小冠","300","0","0","4","0",""
"3002045","风道服","300","0","0","4","0",""
"3002046","锦步鞋","300","0","0","4","0",""
"3002051","碧风长剑","300","0","0","5","0",""
"3002052","清风戒","300","0","0","5","0",""
"3002053","碧空链","300","0","0","5","0",""
"3002054","飞羽小冠","300","0","0","5","0",""
"3002055","风道服","300","0","0","5","0",""
"3002056","锦步鞋","300","0","0","5","0",""
"3003011","镇泉大剑","300","0","0","1","0",""
"3003012","清泉链","300","0","0","1","0",""
"3003013","凌波戒","300","0","0","1","0",""
"3003014","流光小冠","300","0","0","1","0",""
"3003015","虚渊服","300","0","0","1","0",""
"3003016","云游履","300","0","0","1","0",""
"3003017","水鹤披风","300","0","0","1","0",""
"3003018","玉渊佩","300","0","0","1","0",""
"3003019","太湖章","300","0","0","1","0",""
"3003021","镇泉大剑","300","0","0","2","0",""
"3003022","清泉链","300","0","0","2","0",""
"3003023","凌波戒","300","0","0","2","0",""
"3003024","流光小冠","300","0","0","2","0",""
"3003025","虚渊服","300","0","0","2","0",""
"3003026","云游履","300","0","0","2","0",""
"3003027","水鹤披风","300","0","0","2","0",""
"3003028","玉渊佩","300","0","0","2","0",""
"3003029","太湖章","300","0","0","2","0",""
"3003031","镇泉大剑","300","0","0","3","0",""
"3003032","清泉链","300","0","0","3","0",""
"3003033","凌波戒","300","0","0","3","0",""
"3003034","流光小冠","300","0","0","3","0",""
"3003035","虚渊服","300","0","0","3","0",""
"3003036","云游履","300","0","0","3","0",""
"3003037","水鹤披风","300","0","0","3","0",""
"3003038","玉渊佩","300","0","0","3","0",""
"3003039","太湖章","300","0","0","3","0",""
"3003041","镇泉大剑","300","0","0","4","0",""
"3003042","清泉链","300","0","0","4","0",""
"3003043","凌波戒","300","0","0","4","0",""
"3003044","流光小冠","300","0","0","4","0",""
"3003045","虚渊服","300","0","0","4","0",""
"3003046","云游履","300","0","0","4","0",""
"3003047","水鹤披风","300","0","0","4","0",""
"3003048","玉渊佩","300","0","0","4","0",""
"3003049","太湖章","300","0","0","4","0",""
"3003051","镇泉大剑","300","0","0","5","0",""
"3003052","清泉链","300","0","0","5","0",""
"3003053","凌波戒","300","0","0","5","0",""
"3003054","流光小冠","300","0","0","5","0",""
"3003055","虚渊服","300","0","0","5","0",""
"3003056","云游履","300","0","0","5","0",""
"3003057","水鹤披风","300","0","0","5","0",""
"3003058","玉渊佩","300","0","0","5","0",""
"3003059","太湖章","300","0","0","5","0",""
"3004011","灵月弯刀","300","0","0","1","0",""
"3004012","广寒戒","300","0","0","1","0",""
"3004013","冷月链","300","0","0","1","0",""
"3004014","弦月发冠","300","0","0","1","0",""
"3004015","焚月袍","300","0","0","1","0",""
"3004016","净月靴","300","0","0","1","0",""
"3004017","灵月斗篷","300","0","0","1","0",""
"3004018","文月坠","300","0","0","1","0",""
"3004019","日月章","300","0","0","1","0",""
"3004021","灵月弯刀","300","0","0","2","0",""
"3004022","广寒戒","300","0","0","2","0",""
"3004023","冷月链","300","0","0","2","0",""
"3004024","弦月发冠","300","0","0","2","0",""
"3004025","焚月袍","300","0","0","2","0",""
"3004026","净月靴","300","0","0","2","0",""
"3004027","灵月斗篷","300","0","0","2","0",""
"3004028","文月坠","300","0","0","2","0",""
"3004029","日月章","300","0","0","2","0",""
"3004031","灵月弯刀","300","0","0","3","0",""
"3004032","广寒戒","300","0","0","3","0",""
"3004033","冷月链","300","0","0","3","0",""
"3004034","弦月发冠","300","0","0","3","0",""
"3004035","焚月袍","300","0","0","3","0",""
"3004036","净月靴","300","0","0","3","0",""
"3004037","灵月斗篷","300","0","0","3","0",""
"3004038","文月坠","300","0","0","3","0",""
"3004039","日月章","300","0","0","3","0",""
"3004041","灵月弯刀","300","0","0","4","0",""
"3004042","广寒戒","300","0","0","4","0",""
"3004043","冷月链","300","0","0","4","0",""
"3004044","弦月发冠","300","0","0","4","0",""
"3004045","焚月袍","300","0","0","4","0",""
"3004046","净月靴","300","0","0","4","0",""
"3004047","灵月斗篷","300","0","0","4","0",""
"3004048","文月坠","300","0","0","4","0",""
"3004049","日月章","300","0","0","4","0",""
"3004051","灵月弯刀","300","0","0","5","0",""
"3004052","广寒戒","300","0","0","5","0",""
"3004053","冷月链","300","0","0","5","0",""
"3004054","弦月发冠","300","0","0","5","0",""
"3004055","焚月袍","300","0","0","5","0",""
"3004056","净月靴","300","0","0","5","0",""
"3004057","灵月斗篷","300","0","0","5","0",""
"3004058","文月坠","300","0","0","5","0",""
"3004059","日月章","300","0","0","5","0",""
"3005011","圣龙大剑","300","0","0","1","0",""
"3005012","缚龙戒","300","0","0","1","0",""
"3005013","圣龙链","300","0","0","1","0",""
"3005014","纹龙头冠","300","0","0","1","0",""
"3005015","赤龙服","300","0","0","1","0",""
"3005016","龙吟靴","300","0","0","1","0",""
"3005017","龙纹披风","300","0","0","1","0",""
"3005018","玄龙鉴","300","0","0","1","0",""
"3005019","玄龙章","300","0","0","1","0",""
"3005021","圣龙大剑","300","0","0","2","0",""
"3005022","缚龙戒","300","0","0","2","0",""
"3005023","圣龙链","300","0","0","2","0",""
"3005024","纹龙头冠","300","0","0","2","0",""
"3005025","赤龙服","300","0","0","2","0",""
"3005026","龙吟靴","300","0","0","2","0",""
"3005027","龙纹披风","300","0","0","2","0",""
"3005028","玄龙鉴","300","0","0","2","0",""
"3005029","玄龙章","300","0","0","2","0",""
"3005031","圣龙大剑","300","0","0","3","0",""
"3005032","缚龙戒","300","0","0","3","0",""
"3005033","圣龙链","300","0","0","3","0",""
"3005034","纹龙头冠","300","0","0","3","0",""
"3005035","赤龙服","300","0","0","3","0",""
"3005036","龙吟靴","300","0","0","3","0",""
"3005037","龙纹披风","300","0","0","3","0",""
"3005038","玄龙鉴","300","0","0","3","0",""
"3005039","玄龙章","300","0","0","3","0",""
"3005041","圣龙大剑","300","0","0","4","0",""
"3005042","缚龙戒","300","0","0","4","0",""
"3005043","圣龙链","300","0","0","4","0",""
"3005044","纹龙头冠","300","0","0","4","0",""
"3005045","赤龙服","300","0","0","4","0",""
"3005046","龙吟靴","300","0","0","4","0",""
"3005047","龙纹披风","300","0","0","4","0",""
"3005048","玄龙鉴","300","0","0","4","0",""
"3005049","玄龙章","300","0","0","4","0",""
"3005051","圣龙大剑","300","0","0","5","0",""
"3005052","缚龙戒","300","0","0","5","0",""
"3005053","圣龙链","300","0","0","5","0",""
"3005054","纹龙头冠","300","0","0","5","0",""
"3005055","赤龙服","300","0","0","5","0",""
"3005056","龙吟靴","300","0","0","5","0",""
"3005057","龙纹披风","300","0","0","5","0",""
"3005058","玄龙鉴","300","0","0","5","0",""
"3005059","玄龙章","300","0","0","5","0",""
"3005061","赤霄-夏禹神剑","300","0","0","5","0",""
"3005062","赤霄-创世神戒","300","0","0","5","0",""
"3005063","赤霄-天神链","300","0","0","5","0",""
"3005064","赤霄-天痕神盔","300","0","0","5","0",""
"3005065","赤霄-天神战衣","300","0","0","5","0",""
"3005066","赤霄-天神靴","300","0","0","5","0",""
"3005071","轩辕-夏禹神剑","300","0","0","5","0",""
"3005072","轩辕-创世神戒","300","0","0","5","0",""
"3005073","轩辕-天神链","300","0","0","5","0",""
"3005074","轩辕-天痕神盔","300","0","0","5","0",""
"3005075","轩辕-天神战衣","300","0","0","5","0",""
"3005076","轩辕-天神靴","300","0","0","5","0",""
"3005081","幻影-夏禹神剑","300","0","0","5","0",""
"3005082","幻影-创世神戒","300","0","0","5","0",""
"3005083","幻影-天神链","300","0","0","5","0",""
"3005084","幻影-天痕神盔","300","0","0","5","0",""
"3005085","幻影-天神战衣","300","0","0","5","0",""
"3005086","幻影-天神靴","300","0","0","5","0",""
"3005091","龙渊-夏禹神剑","300","0","0","5","0",""
"3005092","龙渊-创世神戒","300","0","0","5","0",""
"3005093","龙渊-天神链","300","0","0","5","0",""
"3005094","龙渊-天痕神盔","300","0","0","5","0",""
"3005095","龙渊-天神战衣","300","0","0","5","0",""
"3005096","龙渊-天神靴","300","0","0","5","0",""
"3006011","圣龙大剑","300","0","0","1","0",""
"3006012","缚龙戒","300","0","0","1","0",""
"3006013","圣龙链","300","0","0","1","0",""
"3006014","纹龙头冠","300","0","0","1","0",""
"3006015","赤龙服","300","0","0","1","0",""
"3006016","龙吟靴","300","0","0","1","0",""
"3006017","龙纹披风","300","0","0","1","0",""
"3006018","玄龙鉴","300","0","0","1","0",""
"3006019","玄龙章","300","0","0","1","0",""
"3006021","圣龙大剑","300","0","0","2","0",""
"3006022","缚龙戒","300","0","0","2","0",""
"3006023","圣龙链","300","0","0","2","0",""
"3006024","纹龙头冠","300","0","0","2","0",""
"3006025","赤龙服","300","0","0","2","0",""
"3006026","龙吟靴","300","0","0","2","0",""
"3006027","龙纹披风","300","0","0","2","0",""
"3006028","玄龙鉴","300","0","0","2","0",""
"3006029","玄龙章","300","0","0","2","0",""
"3006031","圣龙大剑","300","0","0","3","0",""
"3006032","缚龙戒","300","0","0","3","0",""
"3006033","圣龙链","300","0","0","3","0",""
"3006034","纹龙头冠","300","0","0","3","0",""
"3006035","赤龙服","300","0","0","3","0",""
"3006036","龙吟靴","300","0","0","3","0",""
"3006037","龙纹披风","300","0","0","3","0",""
"3006038","玄龙鉴","300","0","0","3","0",""
"3006039","玄龙章","300","0","0","3","0",""
"3006041","圣龙大剑","300","0","0","4","0",""
"3006042","缚龙戒","300","0","0","4","0",""
"3006043","圣龙链","300","0","0","4","0",""
"3006044","纹龙头冠","300","0","0","4","0",""
"3006045","赤龙服","300","0","0","4","0",""
"3006046","龙吟靴","300","0","0","4","0",""
"3006047","龙纹披风","300","0","0","4","0",""
"3006048","玄龙鉴","300","0","0","4","0",""
"3006049","玄龙章","300","0","0","4","0",""
"3006051","圣龙大剑","300","0","0","5","0",""
"3006052","缚龙戒","300","0","0","5","0",""
"3006053","圣龙链","300","0","0","5","0",""
"3006054","纹龙头冠","300","0","0","5","0",""
"3006055","赤龙服","300","0","0","5","0",""
"3006056","龙吟靴","300","0","0","5","0",""
"3006057","龙纹披风","300","0","0","5","0",""
"3006058","玄龙鉴","300","0","0","5","0",""
"3006059","玄龙章","300","0","0","5","0",""
"3006061","赤霄-夏禹神剑","300","0","0","5","0",""
"3006062","赤霄-创世神戒","300","0","0","5","0",""
"3006063","赤霄-天神链","300","0","0","5","0",""
"3006064","赤霄-天痕神盔","300","0","0","5","0",""
"3006065","赤霄-天神战衣","300","0","0","5","0",""
"3006066","赤霄-天神靴","300","0","0","5","0",""
"3006071","轩辕-夏禹神剑","300","0","0","5","0",""
"3006072","轩辕-创世神戒","300","0","0","5","0",""
"3006073","轩辕-天神链","300","0","0","5","0",""
"3006074","轩辕-天痕神盔","300","0","0","5","0",""
"3006075","轩辕-天神战衣","300","0","0","5","0",""
"3006076","轩辕-天神靴","300","0","0","5","0",""
"3006081","幻影-夏禹神剑","300","0","0","5","0",""
"3006082","幻影-创世神戒","300","0","0","5","0",""
"3006083","幻影-天神链","300","0","0","5","0",""
"3006084","幻影-天痕神盔","300","0","0","5","0",""
"3006085","幻影-天神战衣","300","0","0","5","0",""
"3006086","幻影-天神靴","300","0","0","5","0",""
"3006091","龙渊-夏禹神剑","300","0","0","5","0",""
"3006092","龙渊-创世神戒","300","0","0","5","0",""
"3006093","龙渊-天神链","300","0","0","5","0",""
"3006094","龙渊-天痕神盔","300","0","0","5","0",""
"3006095","龙渊-天神战衣","300","0","0","5","0",""
"3006096","龙渊-天神靴","300","0","0","5","0",""
"3007011","圣龙大剑","300","0","0","1","0",""
"3007012","缚龙戒","300","0","0","1","0",""
"3007013","圣龙链","300","0","0","1","0",""
"3007014","纹龙头冠","300","0","0","1","0",""
"3007015","赤龙服","300","0","0","1","0",""
"3007016","龙吟靴","300","0","0","1","0",""
"3007017","龙纹披风","300","0","0","1","0",""
"3007018","玄龙鉴","300","0","0","1","0",""
"3007019","玄龙章","300","0","0","1","0",""
"3007021","圣龙大剑","300","0","0","2","0",""
"3007022","缚龙戒","300","0","0","2","0",""
"3007023","圣龙链","300","0","0","2","0",""
"3007024","纹龙头冠","300","0","0","2","0",""
"3007025","赤龙服","300","0","0","2","0",""
"3007026","龙吟靴","300","0","0","2","0",""
"3007027","龙纹披风","300","0","0","2","0",""
"3007028","玄龙鉴","300","0","0","2","0",""
"3007029","玄龙章","300","0","0","2","0",""
"3007031","圣龙大剑","300","0","0","3","0",""
"3007032","缚龙戒","300","0","0","3","0",""
"3007033","圣龙链","300","0","0","3","0",""
"3007034","纹龙头冠","300","0","0","3","0",""
"3007035","赤龙服","300","0","0","3","0",""
"3007036","龙吟靴","300","0","0","3","0",""
"3007037","龙纹披风","300","0","0","3","0",""
"3007038","玄龙鉴","300","0","0","3","0",""
"3007039","玄龙章","300","0","0","3","0",""
"3007041","圣龙大剑","300","0","0","4","0",""
"3007042","缚龙戒","300","0","0","4","0",""
"3007043","圣龙链","300","0","0","4","0",""
"3007044","纹龙头冠","300","0","0","4","0",""
"3007045","赤龙服","300","0","0","4","0",""
"3007046","龙吟靴","300","0","0","4","0",""
"3007047","龙纹披风","300","0","0","4","0",""
"3007048","玄龙鉴","300","0","0","4","0",""
"3007049","玄龙章","300","0","0","4","0",""
"3007051","圣龙大剑","300","0","0","5","0",""
"3007052","缚龙戒","300","0","0","5","0",""
"3007053","圣龙链","300","0","0","5","0",""
"3007054","纹龙头冠","300","0","0","5","0",""
"3007055","赤龙服","300","0","0","5","0",""
"3007056","龙吟靴","300","0","0","5","0",""
"3007057","龙纹披风","300","0","0","5","0",""
"3007058","玄龙鉴","300","0","0","5","0",""
"3007059","玄龙章","300","0","0","5","0",""
"3007061","赤霄-夏禹神剑","300","0","0","5","0",""
"3007062","赤霄-创世神戒","300","0","0","5","0",""
"3007063","赤霄-天神链","300","0","0","5","0",""
"3007064","赤霄-天痕神盔","300","0","0","5","0",""
"3007065","赤霄-天神战衣","300","0","0","5","0",""
"3007066","赤霄-天神靴","300","0","0","5","0",""
"3007071","轩辕-夏禹神剑","300","0","0","5","0",""
"3007072","轩辕-创世神戒","300","0","0","5","0",""
"3007073","轩辕-天神链","300","0","0","5","0",""
"3007074","轩辕-天痕神盔","300","0","0","5","0",""
"3007075","轩辕-天神战衣","300","0","0","5","0",""
"3007076","轩辕-天神靴","300","0","0","5","0",""
"3007081","幻影-夏禹神剑","300","0","0","5","0",""
"3007082","幻影-创世神戒","300","0","0","5","0",""
"3007083","幻影-天神链","300","0","0","5","0",""
"3007084","幻影-天痕神盔","300","0","0","5","0",""
"3007085","幻影-天神战衣","300","0","0","5","0",""
"3007086","幻影-天神靴","300","0","0","5","0",""
"3007091","龙渊-夏禹神剑","300","0","0","5","0",""
"3007092","龙渊-创世神戒","300","0","0","5","0",""
"3007093","龙渊-天神链","300","0","0","5","0",""
"3007094","龙渊-天痕神盔","300","0","0","5","0",""
"3007095","龙渊-天神战衣","300","0","0","5","0",""
"3007096","龙渊-天神靴","300","0","0","5","0",""
"3008011","圣龙大剑","300","0","0","1","0",""
"3008012","缚龙戒","300","0","0","1","0",""
"3008013","圣龙链","300","0","0","1","0",""
"3008014","纹龙头冠","300","0","0","1","0",""
"3008015","赤龙服","300","0","0","1","0",""
"3008016","龙吟靴","300","0","0","1","0",""
"3008017","龙纹披风","300","0","0","1","0",""
"3008018","玄龙鉴","300","0","0","1","0",""
"3008019","玄龙章","300","0","0","1","0",""
