"#name Monster","#unique id","","","","","","","","","","","","","","","","","","","","","","","",""
"id","name","identity","scale","level","type","attribute","maxHurt","refreshTime","huntingRange","chaseRange","outOfRange","revitalize","produce","randomProduce","skills","superArmor","fighting"
"7000020","黄弓狼","7000016","85","11","1","202#139|203#39|217#250|211#1200|243#1200|209#1200|210#1200","0","60","450","450","1200","","3#41","3","4001016#1","","749"
"7000023","黄枪狼","7000017","85","12","1","202#200|203#23|217#250|211#1240|243#1240|209#1240|210#1240","0","60","450","450","1200","","3#38","3","4001017#1","","1009"
"7000025","黄豺狼","7000018","85","13","1","202#151|203#26|217#250|211#1280|243#1280|209#1280|210#1280","0","60","450","450","1200","","3#41","3","4001018#1","","1129"
"7000026","蓝弓狼","7000021","85","14","1","202#236|203#56|217#250|211#1320|243#1320|209#1320|210#1320","0","60","450","450","1200","","3#55","3","4001021#1","","1269"
"7000027","植物怪","7000012","85","15","1","202#204|203#35|217#250|211#1360|243#1360|209#1360|210#1360","0","60","450","450","1200","","3#25","3","4001012#1","","529"
"7000028","蓝枪狼","7000022","85","16","1","202#317|203#36|217#250|211#1400|243#1400|209#1400|210#1400","0","60","450","450","1200","","3#38","3","4001022#1","","1009"
"7000029","蓝豺狼","7000023","85","17","1","202#263|203#40|217#250|211#1440|243#1440|209#1440|210#1440","0","60","450","450","1200","","3#41","3","4001023#1","","1129"
"7000034","灰弓狼","7000025","85","18","1","202#362|203#78|217#250|211#1480|243#1480|209#1480|210#1480","0","60","450","450","1200","","3#55","3","4001025#1","","1729"
"7000035","巡山妖","7000014","85","19","1","202#398|203#46|217#250|211#1520|243#1520|209#1520|210#1520","0","60","450","450","1200","","3#55","3","4001014#1","","1729"
"7000036","野猪","7000006","90","20","1","202#492|203#60|217#250|211#1560|243#1560|209#1560|210#1560","0","60","450","450","1200","","3#58","3","4001006#1","","1909"
"7000037","灰豺狼","7000027","85","21","1","202#421|203#68|217#250|211#1600|243#1600|209#1600|210#1600","0","60","450","450","1200","","3#58","3","4001027#1","","1909"
"7000038","变异青蛇","7000101","85","22","1","202#462|203#70|217#250|211#1640|243#1640|209#1640|210#1640","0","60","450","450","1200","","3#58","3","4001009#1","","1909"
"7000039","变异鱼妖","7000102","85","22","1","202#491|203#70|217#250|211#1640|243#1640|209#1640|210#1640","0","60","450","450","1200","","3#61","3","4001011#1","","2089"
"7000041","植物怪","7000012","85","23","1","202#593|203#72|217#250|211#1680|243#1680|209#1680|210#1680","0","60","450","450","1200","","3#61","3","4001012#1","","2089"
"7000042","紫花妖","7000020","75","23","1","202#534|203#126|217#250|211#1680|243#1680|209#1680|210#1680","0","60","450","450","1200","","3#65","3","4001020#1","","2269"
"7000043","蛙妖","7000010","85","24","1","202#670|203#82|217#250|211#1720|243#1720|209#1720|210#1720","0","60","450","450","1200","","3#65","3","4001010#1","","2269"
"7000044","虾兵","7000008","85","25","1","202#593|203#91|217#250|211#1760|243#1760|209#1760|210#1760","0","60","450","450","1200","","3#65","3","4001008#1","","2269"
"7000045","野猪","7000006","90","25","1","202#750|203#91|217#250|211#1760|243#1760|209#1760|210#1760","0","60","450","450","1200","","3#68","3","4001006#1","","2449"
"7000046","蓝弓狼","7000021","85","26","1","202#640|203#156|217#250|211#1800|243#1800|209#1800|210#1800","0","60","450","450","1200","","3#68","3","4001021#1","","2449"
"7000047","灰豺狼","7000027","85","27","1","202#984|203#120|217#250|211#1840|243#1840|209#1840|210#1840","0","60","450","450","1200","","3#68","3","4001027#1","","2449"
"7000048","灰枪狼","7000026","85","28","1","202#705|203#135|217#250|211#1880|243#1880|209#1880|210#1880","0","60","450","450","1200","","3#72","3","4001026#1","","2529"
"7000049","植物怪","7000012","85","29","1","202#1134|203#138|217#250|211#1920|243#1920|209#1920|210#1920","0","60","450","450","1200","","3#72","3","4001012#1","","2529"
"7000050","灰弓狼","7000025","85","30","1","202#937|203#216|217#250|211#1960|243#1960|209#1960|210#1960","0","60","450","450","1200","","3#72","3","4001025#1","","2529"
"7000051","蓝豺狼","7000023","85","31","1","202#1339|203#192|217#250|211#2000|243#2000|209#2000|210#2000","0","60","450","450","1200","","3#75","3","4001023#1","","2609"
"7000052","花妖","7000001","85","31","1","202#956|203#231|217#250|211#2000|243#2000|209#2000|210#2000","0","60","450","450","1200","","3#75","3","4001001#1","","2609"
"7000053","蓝枪狼","7000022","85","32","1","202#1484|203#212|217#250|211#2040|243#2040|209#2040|210#2040","0","60","450","450","1200","","3#75","3","4001022#1","","2609"
"7000054","蓝刀狼","7000024","75","33","1","202#1553|203#244|217#250|211#2080|243#2080|209#2080|210#2080","0","60","450","450","1200","","3#79","3","4001024#1","","2669"
"7000055","巡山妖","7000014","85","34","1","202#1584|203#225|217#250|211#2120|243#2120|209#2120|210#2120","0","60","450","450","1200","","3#79","3","4001014#1","","2669"
"7000056","灰弓狼","7000025","85","34","1","202#1015|203#254|217#250|211#2120|243#2120|209#2120|210#2120","0","60","450","450","1200","","3#79","3","4001025#1","","2669"
"7000057","犀牛","7000015","85","35","1","202#1656|203#235|217#250|211#2160|243#2160|209#2160|210#2160","0","60","450","450","1200","","3#82","3","4001015#1","","2749"
"7000058","蓝弓狼","7000021","85","36","1","202#1265|203#269|217#250|211#2200|243#2200|209#2200|210#2200","0","60","450","450","1200","","3#82","3","4001021#1","","2749"
"7000059","枪魂","7000003","85","37","1","202#1761|203#249|217#250|211#2240|243#2240|209#2240|210#2240","0","60","450","450","1200","","3#82","3","4001003#1","","2749"
"7000060","紫花妖","7000020","85","38","1","202#1313|203#283|217#250|211#2280|243#2280|209#2280|210#2280","0","60","450","450","1200","","3#85","3","4001020#1","","2809"
"7000061","刀魂","7000004","85","39","1","202#1870|203#263|217#250|211#2320|243#2320|209#2320|210#2320","0","60","450","450","1200","","3#85","3","4001004#1","","2809"
"7000062","黄弓狼","7000016","85","40","1","202#2092|203#348|217#250|211#2360|243#2360|209#2360|210#2360","0","60","450","450","1200","","3#85","3","4001016#1","","2809"
"7000063","变异青蛇","7000101","85","43","1","202#2248|203#339|217#250|211#2480|243#2480|209#2480|210#2480","0","60","450","450","1200","","3#58","3","4001009#1","","1909"
"7000064","变异鱼妖","7000102","85","42","1","202#1544|203#357|217#250|211#2440|243#2440|209#2440|210#2440","0","60","450","450","1200","","3#61","3","4001011#1","","2089"
"7000065","植物怪","7000012","85","44","1","202#2336|203#336|217#250|211#2520|243#2520|209#2520|210#2520","0","60","450","450","1200","","3#61","3","4001012#1","","2089"
"7000066","紫花妖","7000020","75","45","1","202#2372|203#380|217#250|211#2560|243#2560|209#2560|210#2560","0","60","450","450","1200","","3#65","3","4001020#1","","2269"
"7000067","蛙妖","7000010","85","48","1","202#2537|203#369|217#250|211#2680|243#2680|209#2680|210#2680","0","60","450","450","1200","","3#65","3","4001010#1","","2269"
"7000068","虾兵","7000008","85","47","1","202#1667|203#389|217#250|211#2640|243#2640|209#2640|210#2640","0","60","450","450","1200","","3#65","3","4001008#1","","2269"
"7000069","野猪","7000006","90","49","1","202#2631|203#366|217#250|211#2720|243#2720|209#2720|210#2720","0","60","450","450","1200","","3#68","3","4001006#1","","2449"
"7000070","蓝弓狼","7000021","85","50","1","202#2784|203#444|217#250|211#2760|243#2760|209#2760|210#2760","0","60","450","450","1200","","3#68","3","4001021#1","","2449"
"7000071","灰豺狼","7000027","85","53","1","202#2961|203#431|217#250|211#2880|243#2880|209#2880|210#2880","0","60","450","450","1200","","3#68","3","4001027#1","","2449"
"7000072","灰枪狼","7000026","85","52","1","202#1865|203#454|217#250|211#2840|243#2840|209#2840|210#2840","0","60","450","450","1200","","3#72","3","4001026#1","","2529"
"7000073","植物怪","7000012","85","54","1","202#3063|203#426|217#250|211#2920|243#2920|209#2920|210#2920","0","60","450","450","1200","","3#72","3","4001012#1","","2529"
"7000074","灰弓狼","7000025","85","55","1","202#3102|203#479|217#250|211#2960|243#2960|209#2960|210#2960","0","60","450","450","1200","","3#72","3","4001025#1","","2529"
"7000075","蓝豺狼","7000023","85","58","1","202#3287|203#464|217#250|211#3080|243#3080|209#3080|210#3080","0","60","450","450","1200","","3#75","3","4001023#1","","2609"
"7000076","花妖","7000001","85","57","1","202#1988|203#489|217#250|211#3040|243#3040|209#3040|210#3040","0","60","450","450","1200","","3#75","3","4001001#1","","2609"
"7000077","蓝枪狼","7000022","85","59","1","202#3396|203#459|217#250|211#3120|243#3120|209#3120|210#3120","0","60","450","450","1200","","3#75","3","4001022#1","","2609"
"7000078","蓝刀狼","7000024","75","60","1","202#3728|203#581|217#250|211#3160|243#3160|209#3160|210#3160","0","60","450","450","1200","","3#79","3","4001024#1","","2669"
"7000079","巡山妖","7000014","85","63","1","202#3933|203#563|217#250|211#3280|243#3280|209#3280|210#3280","0","60","450","450","1200","","3#79","3","4001014#1","","2669"
"7000080","灰弓狼","7000025","85","62","1","202#2288|203#593|217#250|211#3240|243#3240|209#3240|210#3240","0","60","450","450","1200","","3#79","3","4001025#1","","2669"
"7000081","犀牛","7000015","85","64","1","202#4055|203#556|217#250|211#3320|243#3320|209#3320|210#3320","0","60","450","450","1200","","3#82","3","4001015#1","","2749"
"7000082","蓝弓狼","7000021","85","65","1","202#4099|203#627|217#250|211#3360|243#3360|209#3360|210#3360","0","60","450","450","1200","","3#82","3","4001021#1","","2749"
"7000083","枪魂","7000003","85","68","1","202#4314|203#607|217#250|211#3480|243#3480|209#3480|210#3480","0","60","450","450","1200","","3#82","3","4001003#1","","2749"
"7000084","紫花妖","7000020","85","67","1","202#2416|203#638|217#250|211#3440|243#3440|209#3440|210#3440","0","60","450","450","1200","","3#85","3","4001020#1","","2809"
"7000085","刀魂","7000004","85","69","1","202#4442|203#599|217#250|211#3520|243#3520|209#3520|210#3520","0","60","450","450","1200","","3#85","3","4001004#1","","2809"
"7000086","黄弓狼","7000016","85","70","1","202#4844|203#741|217#250|211#3560|243#3560|209#3560|210#3560","0","60","450","450","1200","","3#85","3","4001016#1","","2809"
"7000087","变异青蛇","7000101","85","71","1","202#4982|203#705|217#250|211#3600|243#3600|209#3600|210#3600","0","60","450","450","1200","","3#58","3","4001009#1","","1909"
"7000088","变异鱼妖","7000102","85","72","1","202#2744|203#753|217#250|211#3640|243#3640|209#3640|210#3640","0","60","450","450","1200","","3#61","3","4001011#1","","2089"
"7000089","植物怪","7000012","85","71","1","202#5073|203#690|217#250|211#3600|243#3600|209#3600|210#3600","0","60","450","450","1200","","3#61","3","4001012#1","","2089"
"7000090","紫花妖","7000020","75","73","1","202#5173|203#773|217#250|211#3680|243#3680|209#3680|210#3680","0","60","450","450","1200","","3#65","3","4001020#1","","2269"
"7000091","蛙妖","7000010","85","74","1","202#5316|203#736|217#250|211#3720|243#3720|209#3720|210#3720","0","60","450","450","1200","","3#65","3","4001010#1","","2269"
"7000092","虾兵","7000008","85","75","1","202#2825|203#792|217#250|211#3760|243#3760|209#3760|210#3760","0","60","450","450","1200","","3#65","3","4001008#1","","2269"
"7000093","野猪","7000006","90","74","1","202#5409|203#722|217#250|211#3720|243#3720|209#3720|210#3720","0","60","450","450","1200","","3#68","3","4001006#1","","2449"
"7000094","蓝弓狼","7000021","85","76","1","202#5512|203#813|217#250|211#3800|243#3800|209#3800|210#3800","0","60","450","450","1200","","3#68","3","4001021#1","","2449"
"7000095","灰豺狼","7000027","85","77","1","202#5660|203#774|217#250|211#3840|243#3840|209#3840|210#3840","0","60","450","450","1200","","3#68","3","4001027#1","","2449"
"7000096","灰枪狼","7000026","85","78","1","202#2905|203#826|217#250|211#3880|243#3880|209#3880|210#3880","0","60","450","450","1200","","3#72","3","4001026#1","","2529"
"7000097","植物怪","7000012","85","77","1","202#5756|203#759|217#250|211#3840|243#3840|209#3840|210#3840","0","60","450","450","1200","","3#72","3","4001012#1","","2529"
"7000098","灰弓狼","7000025","85","79","1","202#5863|203#847|217#250|211#3920|243#3920|209#3920|210#3920","0","60","450","450","1200","","3#72","3","4001025#1","","2529"
"7000099","蓝豺狼","7000023","85","80","1","202#6464|203#889|217#250|211#3960|243#3960|209#3960|210#3960","0","60","450","450","1200","","3#75","3","4001023#1","","2609"
"7000100","花妖","7000001","85","81","1","202#3207|203#946|217#250|211#4000|243#4000|209#4000|210#4000","0","60","450","450","1200","","3#75","3","4001001#1","","2609"
"7000101","蓝枪狼","7000022","85","80","1","202#6570|203#872|217#250|211#3960|243#3960|209#3960|210#3960","0","60","450","450","1200","","3#75","3","4001022#1","","2609"
"7000102","蓝刀狼","7000024","75","82","1","202#6685|203#970|217#250|211#4040|243#4040|209#4040|210#4040","0","60","450","450","1200","","3#79","3","4001024#1","","2669"
"7000103","巡山妖","7000014","85","83","1","202#6851|203#925|217#250|211#4080|243#4080|209#4080|210#4080","0","60","450","450","1200","","3#79","3","4001014#1","","2669"
"7000104","灰弓狼","7000025","85","84","1","202#3290|203#983|217#250|211#4120|243#4120|209#4120|210#4120","0","60","450","450","1200","","3#79","3","4001025#1","","2669"
"7000105","犀牛","7000015","85","83","1","202#6959|203#908|217#250|211#4080|243#4080|209#4080|210#4080","0","60","450","450","1200","","3#82","3","4001015#1","","2749"
"7000106","蓝弓狼","7000021","85","85","1","202#7078|203#1015|217#250|211#4160|243#4160|209#4160|210#4160","0","60","450","450","1200","","3#82","3","4001021#1","","2749"
"7000107","枪魂","7000003","85","86","1","202#7249|203#969|217#250|211#4200|243#4200|209#4200|210#4200","0","60","450","450","1200","","3#82","3","4001003#1","","2749"
"7000108","紫花妖","7000020","85","87","1","202#3373|203#1029|217#250|211#4240|243#4240|209#4240|210#4240","0","60","450","450","1200","","3#85","3","4001020#1","","2809"
"7000109","刀魂","7000004","85","86","1","202#7360|203#951|217#250|211#4200|243#4200|209#4200|210#4200","0","60","450","450","1200","","3#85","3","4001004#1","","2809"
"7000110","黄弓狼","7000016","85","88","1","202#7482|203#1054|217#250|211#4280|243#4280|209#4280|210#4280","0","60","450","450","1200","","3#85","3","4001016#1","","2809"
"7000501","黄刀狼","7000019","130","12","2","202#1814|203#103|217#250|211#1240|243#1240|209#1240|210#1240","0","90","450","450","1200","","3#48","702101#702102#702103#702104","4001019#1","","1728"
"7000502","蓝刀狼","7000024","130","17","2","202#2189|203#126|217#250|211#1440|243#1440|209#1440|210#1440","0","90","450","450","1200","","3#55","702101#702102#702103#702104","4001024#1","","2322"
"7000503","灰刀狼","7000028","130","20","2","202#2731|203#166|217#250|211#1560|243#1560|209#1560|210#1560","0","90","450","450","1200","","3#58","702201#702202#702203#702204","4001028#1","","2565"
"7000504","黄刀狼","7000019","130","23","2","202#2966|203#181|217#250|211#1680|243#1680|209#1680|210#1680","0","90","450","450","1200","","3#61","702201#702202#702203#702204","4001019#1","","2781"
"7000505","蓝刀狼","7000024","130","27","2","202#3280|203#200|217#250|211#1840|243#1840|209#1840|210#1840","0","90","450","450","1200","","3#65","702201#702202#702203#702204","4001024#1","","3051"
"7000506","灰刀狼","7000028","130","31","2","202#3825|203#275|217#250|211#2000|243#2000|209#2000|210#2000","0","90","450","450","1200","","3#68","702201#702202#702203#702204","4001028#1","","3294"
"7000507","黄刀狼","7000019","130","34","2","202#4061|203#289|217#250|211#2120|243#2120|209#2120|210#2120","0","90","450","450","1200","","3#48","702101#702102#702103#702104","4001019#1","","1728"
"7000508","蓝刀狼","7000024","130","37","2","202#4296|203#304|217#250|211#2240|243#2240|209#2240|210#2240","0","90","450","450","1200","","3#55","702101#702102#702103#702104","4001024#1","","2322"
"7000509","灰刀狼","7000028","130","40","2","202#4981|203#370|217#250|211#2360|243#2360|209#2360|210#2360","0","90","450","450","1200","","3#58","702201#702202#702203#702204","4001028#1","","2565"
"7000510","黄刀狼","7000019","130","45","2","202#5391|203#396|217#250|211#2560|243#2560|209#2560|210#2560","0","90","450","450","1200","","3#61","702201#702202#702203#702204","4001019#1","","2781"
"7000511","蓝刀狼","7000024","130","50","2","202#6053|203#453|217#250|211#2760|243#2760|209#2760|210#2760","0","90","450","450","1200","","3#65","702201#702202#702203#702204","4001024#1","","3051"
"7000512","灰刀狼","7000028","130","55","2","202#6463|203#479|217#250|211#2960|243#2960|209#2960|210#2960","0","90","450","450","1200","","3#68","702201#702202#702203#702204","4001028#1","","3294"
"7000901","虎王","7000500","100","5","3","202#2500|203#20|217#250|211#1100|243#880|209#1100|210#880","0","600","800","800","1200","1000#20","3#80","3","4001501#1|4001502#1","","2764"
"7000902","犀牛角","7000510","100","8","3","202#4000|203#39|217#250|211#1150|243#920|209#1150|210#920","0","600","800","800","1200","1000#20","3#150","3","4001531#1|4001532#1","","4300"
"7000903","树精","7000504","100","10","3","202#12260|203#80|217#250|211#1450|243#1160|209#1450|210#1160","0","600","800","800","1200","1000#20","3#410","3","4001513#1|4001514#1","","12416"
"7000904","百花妖","7000501","75","13","3","202#26292|203#120|217#250|211#1600|243#1280|209#1600|210#1280","0","600","800","800","1200","1000#20","3#550","3","4001504#1|4001505#1","","23528"
"7000905","黑熊精","7000508","100","17","3","202#38085|203#195|217#250|211#1800|243#1440|209#1800|210#1440","0","600","800","800","1200","1000#20","3#610","3","4001525#1|4001526#1","","33839"
"7000906","银角大王","7000507","100","20","3","202#41184|203#221|217#250|211#1950|243#1560|209#1950|210#1560","0","600","800","800","1200","1000#20","3#720","3","4001522#1|4001523#1","","36831"
"7000907","巨灵神","7000511","200","23","3","202#95650|203#387|217#250|211#2100|243#1680|209#2100|210#1680","0","600","800","800","1200","1000#20","3#820","3","4001534#1|4001535#1|4001536#1","","75594"
"7000908","狮子精","7000505","100","26","3","202#103275|203#464|217#250|211#2250|243#1800|209#2250|210#1800","0","600","800","800","1200","1000#20","3#890","3","4001516#1|4001517#1","","81610"
"7000909","轩辕","7000512","200","30","3","202#145020|203#613|217#250|211#2450|243#1960|209#2450|210#1960","0","600","800","800","1200","1000#20","3#1060","3","4001537#1|4001538#1|4001539#1","","114566"
"7000910","幽冥王","7000506","100","33","3","202#197890|203#757|217#250|211#2600|243#2080|209#2600|210#2080","0","600","800","800","1200","1000#20","3#1160","3","4001519#1|4001520#1","","141642"
"7000911","帝释天","7000514","200","36","3","202#239600|203#835|217#250|211#2750|243#2200|209#2750|210#2200","0","600","800","800","1200","1000#20","3#1260","3","4001543#1|4001544#1|4001545#1","","171108"
"7000912","雷震子","7000513","200","40","3","202#318285|203#1060|217#250|211#2950|243#2360|209#2950|210#2360","0","600","800","800","1200","1000#20","3#1400","3","4001540#1|4001541#1|4001542#1","","401440"
"7000913","夜叉王","7000502","100","45","3","202#269550|203#1068|217#250|211#2560|243#2560|209#2560|210#2560","0","600","800","800","1200","1000#20","3#1500","3","4001507#1|4001508#1","","272714"
"7000914","女娲","7000515","200","50","3","202#332915|203#1268|217#250|211#2760|243#2760|209#2760|210#2760","0","600","800","800","1200","1000#20","3#1600","3","4001546#1|4001547#1|4001548#1","","336539"
"7000915","巡海蛟","7000503","100","55","3","202#387780|203#1388|217#250|211#2960|243#2960|209#2960|210#2960","0","600","800","800","1200","1000#20","3#1700","3","4001510#1|4001511#1","","391608"
"7000916","银角大王","7000507","75","60","3","202#484640|203#1710|217#250|211#3160|243#3160|209#3160|210#3160","0","600","800","800","1200","1000#20","3#1800","3","4001522#1|4001523#1","","489200"
"7000917","百花妖","7000501","100","65","3","202#551810|203#1868|217#250|211#3360|243#3360|209#3360|210#3360","0","600","800","800","1200","1000#20","3#1900","3","4001504#1|4001505#1","","556630"
"7000918","日神羲和","7000516","200","70","3","202#897000|203#3495|217#250|211#3560|243#3560|209#3560|210#3560","0","600","800","800","1200","1000#20","3#2000","3","4001549#1|4001550#1|4001551#1","","902592"
"7000919","轩辕","7000512","200","73","3","202#692775|203#2291|217#250|211#3680|243#3680|209#3680|210#3680","0","600","800","800","1200","1000#20","3#2100","3","4001537#1|4001538#1|4001539#1","","698503"
"7000920","幽冥王","7000506","100","76","3","202#760320|203#2439|217#250|211#3800|243#3800|209#3800|210#3800","0","600","800","800","1200","1000#20","3#2200","3","4001519#1|4001520#1","","766232"
"7000921","帝释天","7000514","200","79","3","202#830535|203#2570|217#250|211#3920|243#3920|209#3920|210#3920","0","600","800","800","1200","1000#20","3#2300","3","4001543#1|4001544#1|4001545#1","","836583"
"7000922","雷震子","7000513","200","82","3","202#970380|203#2977|217#250|211#4040|243#4040|209#4040|210#4040","0","600","800","800","1200","1000#20","3#2400","3","4001540#1|4001541#1|4001542#1","","977184"
"7000923","夜叉王","7000502","100","85","3","202#1050605|203#3150|217#250|211#4160|243#4160|209#4160|210#4160","0","600","800","800","1200","1000#20","3#2500","3","4001507#1|4001508#1","","1057605"
"7000924","女娲","7000515","200","88","3","202#1700550|203#5358|217#250|211#4280|243#4280|209#4280|210#4280","0","600","800","800","1200","1000#20","3#2600","3","4001546#1|4001547#1|4001548#1","","1707694"
"7001001","日常洛水-普通野猪","7000006","90","7","1","202#497|203#42|217#250|211#1300|243#1040|209#1300|210#1040","0","-1","800","800","1500","","","","4001006#1","","1377"
"7001002","日常洛水-普通竹子怪","7000013","85","7","1","202#497|203#42|217#250|211#1300|243#1040|209#1300|210#1040","0","-1","800","800","1500","","","","4001013#1","","1377"
"7001003","日常洛水-普通狼弓手","7000016","85","7","1","202#497|203#42|217#250|211#1300|243#1040|209#1300|210#1040","0","-1","800","800","1500","","","","4001016#1","","1377"
"7001010","日常洛水-普通虎王","7000500","100","7","3","202#9940|203#105|217#250|211#1300|243#1040|209#1300|210#1040","0","-1","800","800","1500","","","","4001501#1|4001502#1","","2910"
"7001011","日常洛水-稀有野猪","7000006","90","9","1","202#574|203#50|217#250|211#1400|243#1120|209#1400|210#1120","0","-1","800","800","1500","","","","4001006#1","","1701"
"7001012","日常洛水-稀有竹子怪","7000013","85","9","1","202#574|203#50|217#250|211#1400|243#1120|209#1400|210#1120","0","-1","800","800","1500","","","","4001013#1","","1701"
"7001013","日常洛水-稀有狼弓手","7000016","85","9","1","202#574|203#50|217#250|211#1400|243#1120|209#1400|210#1120","0","-1","800","800","1500","","","","4001016#1","","1701"
"7001020","日常洛水-稀有虎王","7000500","100","9","3","202#17220|203#124|217#250|211#1400|243#1120|209#1400|210#1120","0","-1","800","800","1500","","","","4001501#1|4001502#1","","7566"
"7001021","日常荒芜-普通蛙妖","7000010","85","12","1","202#1052|203#92|217#250|211#1550|243#1240|209#1550|210#1240","0","-1","800","800","1500","","","","4001010#1","","2187"
"7001022","日常荒芜-普通虾兵","7000008","85","12","1","202#1052|203#92|217#250|211#1550|243#1240|209#1550|210#1240","0","-1","800","800","1500","","","","4001008#1","","2187"
"7001023","日常荒芜-普通鲤鱼精","7000011","85","12","1","202#1052|203#92|217#250|211#1550|243#1240|209#1550|210#1240","0","-1","800","800","1500","","","","4001011#1","","2187"
"7001030","日常荒芜-普通巡海蛟","7000503","100","12","3","202#42080|203#229|217#250|211#1550|243#1240|209#1550|210#1240","0","-1","800","800","1500","","","","4001510#1|4001511#1","","18624"
"7001031","日常荒芜-稀有蛙妖","7000010","85","18","1","202#1313|203#116|217#250|211#1850|243#1480|209#1850|210#1480","0","-1","800","800","1500","","","","4001010#1","","2673"
"7001032","日常荒芜-稀有虾兵","7000008","85","18","1","202#1313|203#116|217#250|211#1850|243#1480|209#1850|210#1480","0","-1","800","800","1500","","","","4001008#1","","2673"
"7001033","日常荒芜-稀有鲤鱼精","7000011","85","18","1","202#1313|203#116|217#250|211#1850|243#1480|209#1850|210#1480","0","-1","800","800","1500","","","","4001011#1","","2673"
"7001040","日常荒芜-稀有巡海蛟","7000503","100","18","3","202#65650|203#289|217#250|211#1850|243#1480|209#1850|210#1480","0","-1","800","800","1500","","","","4001510#1|4001511#1","","32883"
"7001041","日常枯木-普通仙人球","7000012","85","22","1","202#1863|203#168|217#250|211#2050|243#1640|209#2050|210#1640","0","-1","800","800","1500","","","","4001012#1","","2997"
"7001042","日常枯木-普通竹子怪","7000013","85","22","1","202#1863|203#168|217#250|211#2050|243#1640|209#2050|210#1640","0","-1","800","800","1500","","","","4001013#1","","2997"
"7001043","日常枯木-普通蛇妖","7000009","75","22","1","202#1863|203#168|217#250|211#2050|243#1640|209#2050|210#1640","0","-1","800","800","1500","","","","4001009#1","","2997"
"7001050","日常枯木-普通树精","7000504","100","22","3","202#111780|203#419|217#250|211#2050|243#1640|209#2050|210#1640","0","-1","800","800","1500","","","","4001513#1|4001514#1","","38703"
"7001051","日常枯木-稀有仙人球","7000012","85","27","1","202#2116|203#190|217#250|211#2300|243#1840|209#2300|210#1840","0","-1","800","800","1500","","","","4001012#1","","3321"
"7001052","日常枯木-稀有竹子怪","7000013","85","27","1","202#2116|203#190|217#250|211#2300|243#1840|209#2300|210#1840","0","-1","800","800","1500","","","","4001013#1","","3321"
"7001053","日常枯木-稀有蛇妖","7000009","75","27","1","202#2116|203#190|217#250|211#2300|243#1840|209#2300|210#1840","0","-1","800","800","1500","","","","4001009#1","","3321"
"7001060","日常枯木-稀有树精","7000504","100","27","3","202#148085|203#476|217#250|211#2300|243#1840|209#2300|210#1840","0","-1","800","800","1500","","","","4001513#1|4001514#1","","43068"
"7001061","日常忘川-普通蛇妖","7000009","75","32","1","202#2772|203#248|217#250|211#2550|243#2040|209#2550|210#2040","0","-1","800","800","1500","","","","4001009#1","","3807"
"7001062","日常忘川-普通蛙妖","7000010","85","32","1","202#2772|203#248|217#250|211#2550|243#2040|209#2550|210#2040","0","-1","800","800","1500","","","","4001010#1","","3807"
