"#name LanguageAuto","#unique id","#index langId"
"id","langId","cn","en"
"181","Item_Name_2003035","10级紫装",""
"182","Item_Name_2003036","20级蓝装",""
"183","Item_Name_2003037","20级紫装",""
"184","Item_Name_2003038","10级绿色装备分解",""
"185","Item_Name_2003039","10级蓝色装备分解",""
"186","Item_Name_2003040","10级紫色装备分解",""
"187","Item_Name_2003041","20级绿色装备分解",""
"188","Item_Name_2003042","20级蓝色装备分解",""
"189","Item_Name_2003043","20级紫色装备分解",""
"190","Item_Name_2003044","30级绿色装备分解",""
"191","Item_Name_2003045","30级蓝色装备分解",""
"192","Item_Name_2003046","30级紫色装备分解",""
"193","Item_Name_2003047","40级绿色装备分解",""
"194","Item_Name_2003048","40级蓝色装备分解",""
"195","Item_Name_2003049","40级紫色装备分解",""
"196","Item_Name_2003050","50级绿色装备分解",""
"197","Item_Name_2003051","50级蓝色装备分解",""
"198","Item_Name_2003052","50级紫色装备分解",""
"199","Item_Name_2003053","60级赤霄套装自选",""
"200","Item_Name_2003054","60级轩辕套装自选",""
"201","Item_Name_2003055","60级幻影套装自选",""
"202","Item_Name_2003056","60级龙渊套装自选",""
"203","Item_Name_3001011","玄铁短剑",""
"204","Item_Name_3001012","玄铁戒",""
"205","Item_Name_3001013","平安链",""
"206","Item_Name_3001014","草木斗笠",""
"207","Item_Name_3001015","短布袍",""
"208","Item_Name_3001016","行者靴",""
"209","Item_Name_3001021","玄铁短剑",""
"210","Item_Name_3001022","玄铁戒",""
"211","Item_Name_3001023","平安链",""
"212","Item_Name_3001024","草木斗笠",""
"213","Item_Name_3001025","短布袍",""
"214","Item_Name_3001026","行者靴",""
"215","Item_Name_3001031","玄铁短剑",""
"216","Item_Name_3001032","玄铁戒",""
"217","Item_Name_3001033","平安链",""
"218","Item_Name_3001034","草木斗笠",""
"219","Item_Name_3001035","短布袍",""
"220","Item_Name_3001036","行者靴",""
"221","Item_Name_3001041","玄铁短剑",""
"222","Item_Name_3001042","玄铁戒",""
"223","Item_Name_3001043","平安链",""
"224","Item_Name_3001044","草木斗笠",""
"225","Item_Name_3001045","短布袍",""
"226","Item_Name_3001046","行者靴",""
"227","Item_Name_3001051","玄铁短剑",""
"228","Item_Name_3001052","玄铁戒",""
"229","Item_Name_3001053","平安链",""
"230","Item_Name_3001054","草木斗笠",""
"231","Item_Name_3001055","短布袍",""
"232","Item_Name_3001056","行者靴",""
"233","Item_Name_3002011","碧风长剑",""
"234","Item_Name_3002012","清风戒",""
"235","Item_Name_3002013","碧空链",""
"236","Item_Name_3002014","飞羽小冠",""
"237","Item_Name_3002015","风道服",""
"238","Item_Name_3002016","锦步鞋",""
"239","Item_Name_3002021","碧风长剑",""
"240","Item_Name_3002022","清风戒",""
"241","Item_Name_3002023","碧空链",""
"242","Item_Name_3002024","飞羽小冠",""
"243","Item_Name_3002025","风道服",""
"244","Item_Name_3002026","锦步鞋",""
"245","Item_Name_3002031","碧风长剑",""
"246","Item_Name_3002032","清风戒",""
"247","Item_Name_3002033","碧空链",""
"248","Item_Name_3002034","飞羽小冠",""
"249","Item_Name_3002035","风道服",""
"250","Item_Name_3002036","锦步鞋",""
"251","Item_Name_3002041","碧风长剑",""
"252","Item_Name_3002042","清风戒",""
"253","Item_Name_3002043","碧空链",""
"254","Item_Name_3002044","飞羽小冠",""
"255","Item_Name_3002045","风道服",""
"256","Item_Name_3002046","锦步鞋",""
"257","Item_Name_3002051","碧风长剑",""
"258","Item_Name_3002052","清风戒",""
"259","Item_Name_3002053","碧空链",""
"260","Item_Name_3002054","飞羽小冠",""
"261","Item_Name_3002055","风道服",""
"262","Item_Name_3002056","锦步鞋",""
"263","Item_Name_3003011","镇泉大剑",""
"264","Item_Name_3003012","清泉链",""
"265","Item_Name_3003013","凌波戒",""
"266","Item_Name_3003014","流光小冠",""
"267","Item_Name_3003015","虚渊服",""
"268","Item_Name_3003016","云游履",""
"269","Item_Name_3003017","水鹤披风",""
"270","Item_Name_3003018","玉渊佩",""
"271","Item_Name_3003019","太湖章",""
"272","Item_Name_3003021","镇泉大剑",""
"273","Item_Name_3003022","清泉链",""
"274","Item_Name_3003023","凌波戒",""
"275","Item_Name_3003024","流光小冠",""
"276","Item_Name_3003025","虚渊服",""
"277","Item_Name_3003026","云游履",""
"278","Item_Name_3003027","水鹤披风",""
"279","Item_Name_3003028","玉渊佩",""
"280","Item_Name_3003029","太湖章",""
"281","Item_Name_3003031","镇泉大剑",""
"282","Item_Name_3003032","清泉链",""
"283","Item_Name_3003033","凌波戒",""
"284","Item_Name_3003034","流光小冠",""
"285","Item_Name_3003035","虚渊服",""
"286","Item_Name_3003036","云游履",""
"287","Item_Name_3003037","水鹤披风",""
"288","Item_Name_3003038","玉渊佩",""
"289","Item_Name_3003039","太湖章",""
"290","Item_Name_3003041","镇泉大剑",""
"291","Item_Name_3003042","清泉链",""
"292","Item_Name_3003043","凌波戒",""
"293","Item_Name_3003044","流光小冠",""
"294","Item_Name_3003045","虚渊服",""
"295","Item_Name_3003046","云游履",""
"296","Item_Name_3003047","水鹤披风",""
"297","Item_Name_3003048","玉渊佩",""
"298","Item_Name_3003049","太湖章",""
"299","Item_Name_3003051","镇泉大剑",""
"300","Item_Name_3003052","清泉链",""
"301","Item_Name_3003053","凌波戒",""
"302","Item_Name_3003054","流光小冠",""
"303","Item_Name_3003055","虚渊服",""
"304","Item_Name_3003056","云游履",""
"305","Item_Name_3003057","水鹤披风",""
"306","Item_Name_3003058","玉渊佩",""
"307","Item_Name_3003059","太湖章",""
"308","Item_Name_3004011","灵月弯刀",""
"309","Item_Name_3004012","广寒戒",""
"310","Item_Name_3004013","冷月链",""
"311","Item_Name_3004014","弦月发冠",""
"312","Item_Name_3004015","焚月袍",""
"313","Item_Name_3004016","净月靴",""
"314","Item_Name_3004017","灵月斗篷",""
"315","Item_Name_3004018","文月坠",""
"316","Item_Name_3004019","日月章",""
"317","Item_Name_3004021","灵月弯刀",""
"318","Item_Name_3004022","广寒戒",""
"319","Item_Name_3004023","冷月链",""
"320","Item_Name_3004024","弦月发冠",""
"321","Item_Name_3004025","焚月袍",""
"322","Item_Name_3004026","净月靴",""
"323","Item_Name_3004027","灵月斗篷",""
"324","Item_Name_3004028","文月坠",""
"325","Item_Name_3004029","日月章",""
"326","Item_Name_3004031","灵月弯刀",""
"327","Item_Name_3004032","广寒戒",""
"328","Item_Name_3004033","冷月链",""
"329","Item_Name_3004034","弦月发冠",""
"330","Item_Name_3004035","焚月袍",""
"331","Item_Name_3004036","净月靴",""
"332","Item_Name_3004037","灵月斗篷",""
"333","Item_Name_3004038","文月坠",""
"334","Item_Name_3004039","日月章",""
"335","Item_Name_3004041","灵月弯刀",""
"336","Item_Name_3004042","广寒戒",""
"337","Item_Name_3004043","冷月链",""
"338","Item_Name_3004044","弦月发冠",""
"339","Item_Name_3004045","焚月袍",""
"340","Item_Name_3004046","净月靴",""
"341","Item_Name_3004047","灵月斗篷",""
"342","Item_Name_3004048","文月坠",""
"343","Item_Name_3004049","日月章",""
"344","Item_Name_3004051","灵月弯刀",""
"345","Item_Name_3004052","广寒戒",""
"346","Item_Name_3004053","冷月链",""
"347","Item_Name_3004054","弦月发冠",""
"348","Item_Name_3004055","焚月袍",""
"349","Item_Name_3004056","净月靴",""
"350","Item_Name_3004057","灵月斗篷",""
"351","Item_Name_3004058","文月坠",""
"352","Item_Name_3004059","日月章",""
"353","Item_Name_3005011","圣龙大剑",""
"354","Item_Name_3005012","缚龙戒",""
"355","Item_Name_3005013","圣龙链",""
"356","Item_Name_3005014","纹龙头冠",""
"357","Item_Name_3005015","赤龙服",""
"358","Item_Name_3005016","龙吟靴",""
"359","Item_Name_3005017","龙纹披风",""
"360","Item_Name_3005018","玄龙鉴",""
"361","Item_Name_3005019","玄龙章",""
"362","Item_Name_3005021","圣龙大剑",""
"363","Item_Name_3005022","缚龙戒",""
"364","Item_Name_3005023","圣龙链",""
"365","Item_Name_3005024","纹龙头冠",""
"366","Item_Name_3005025","赤龙服",""
"367","Item_Name_3005026","龙吟靴",""
"368","Item_Name_3005027","龙纹披风",""
"369","Item_Name_3005028","玄龙鉴",""
"370","Item_Name_3005029","玄龙章",""
"371","Item_Name_3005031","圣龙大剑",""
"372","Item_Name_3005032","缚龙戒",""
"373","Item_Name_3005033","圣龙链",""
"374","Item_Name_3005034","纹龙头冠",""
"375","Item_Name_3005035","赤龙服",""
"376","Item_Name_3005036","龙吟靴",""
"377","Item_Name_3005037","龙纹披风",""
"378","Item_Name_3005038","玄龙鉴",""
"379","Item_Name_3005039","玄龙章",""
"380","Item_Name_3005041","圣龙大剑",""
"381","Item_Name_3005042","缚龙戒",""
"382","Item_Name_3005043","圣龙链",""
"383","Item_Name_3005044","纹龙头冠",""
"384","Item_Name_3005045","赤龙服",""
"385","Item_Name_3005046","龙吟靴",""
"386","Item_Name_3005047","龙纹披风",""
"387","Item_Name_3005048","玄龙鉴",""
"388","Item_Name_3005049","玄龙章",""
"389","Item_Name_3005051","圣龙大剑",""
"390","Item_Name_3005052","缚龙戒",""
"391","Item_Name_3005053","圣龙链",""
"392","Item_Name_3005054","纹龙头冠",""
"393","Item_Name_3005055","赤龙服",""
"394","Item_Name_3005056","龙吟靴",""
"395","Item_Name_3005057","龙纹披风",""
"396","Item_Name_3005058","玄龙鉴",""
"397","Item_Name_3005059","玄龙章",""
"398","Item_Name_3005061","赤霄-夏禹神剑",""
"399","Item_Name_3005062","赤霄-创世神戒",""
"400","Item_Name_3005063","赤霄-天神链",""
"401","Item_Name_3005064","赤霄-天痕神盔",""
"402","Item_Name_3005065","赤霄-天神战衣",""
"403","Item_Name_3005066","赤霄-天神靴",""
"404","Item_Name_3005071","轩辕-夏禹神剑",""
"405","Item_Name_3005072","轩辕-创世神戒",""
"406","Item_Name_3005073","轩辕-天神链",""
"407","Item_Name_3005074","轩辕-天痕神盔",""
"408","Item_Name_3005075","轩辕-天神战衣",""
"409","Item_Name_3005076","轩辕-天神靴",""
"410","Item_Name_3005081","幻影-夏禹神剑",""
"411","Item_Name_3005082","幻影-创世神戒",""
"412","Item_Name_3005083","幻影-天神链",""
"413","Item_Name_3005084","幻影-天痕神盔",""
"414","Item_Name_3005085","幻影-天神战衣",""
"415","Item_Name_3005086","幻影-天神靴",""
"416","Item_Name_3005091","龙渊-夏禹神剑",""
"417","Item_Name_3005092","龙渊-创世神戒",""
"418","Item_Name_3005093","龙渊-天神链",""
"419","Item_Name_3005094","龙渊-天痕神盔",""
"420","Item_Name_3005095","龙渊-天神战衣",""
"421","Item_Name_3005096","龙渊-天神靴",""
"422","Item_Name_3006011","圣龙大剑",""
"423","Item_Name_3006012","缚龙戒",""
"424","Item_Name_3006013","圣龙链",""
"425","Item_Name_3006014","纹龙头冠",""
"426","Item_Name_3006015","赤龙服",""
"427","Item_Name_3006016","龙吟靴",""
"428","Item_Name_3006017","龙纹披风",""
"429","Item_Name_3006018","玄龙鉴",""
"430","Item_Name_3006019","玄龙章",""
"431","Item_Name_3006021","圣龙大剑",""
"432","Item_Name_3006022","缚龙戒",""
"433","Item_Name_3006023","圣龙链",""
"434","Item_Name_3006024","纹龙头冠",""
"435","Item_Name_3006025","赤龙服",""
"436","Item_Name_3006026","龙吟靴",""
"437","Item_Name_3006027","龙纹披风",""
"438","Item_Name_3006028","玄龙鉴",""
"439","Item_Name_3006029","玄龙章",""
"440","Item_Name_3006031","圣龙大剑",""
"441","Item_Name_3006032","缚龙戒",""
"442","Item_Name_3006033","圣龙链",""
"443","Item_Name_3006034","纹龙头冠",""
"444","Item_Name_3006035","赤龙服",""
"445","Item_Name_3006036","龙吟靴",""
"446","Item_Name_3006037","龙纹披风",""
"447","Item_Name_3006038","玄龙鉴",""
"448","Item_Name_3006039","玄龙章",""
"449","Item_Name_3006041","圣龙大剑",""
"450","Item_Name_3006042","缚龙戒",""
"451","Item_Name_3006043","圣龙链",""
"452","Item_Name_3006044","纹龙头冠",""
"453","Item_Name_3006045","赤龙服",""
"454","Item_Name_3006046","龙吟靴",""
"455","Item_Name_3006047","龙纹披风",""
"456","Item_Name_3006048","玄龙鉴",""
"457","Item_Name_3006049","玄龙章",""
"458","Item_Name_3006051","圣龙大剑",""
"459","Item_Name_3006052","缚龙戒",""
"460","Item_Name_3006053","圣龙链",""
"461","Item_Name_3006054","纹龙头冠",""
"462","Item_Name_3006055","赤龙服",""
"463","Item_Name_3006056","龙吟靴",""
"464","Item_Name_3006057","龙纹披风",""
"465","Item_Name_3006058","玄龙鉴",""
"466","Item_Name_3006059","玄龙章",""
"467","Item_Name_3006061","赤霄-夏禹神剑",""
"468","Item_Name_3006062","赤霄-创世神戒",""
"469","Item_Name_3006063","赤霄-天神链",""
"470","Item_Name_3006064","赤霄-天痕神盔",""
"471","Item_Name_3006065","赤霄-天神战衣",""
"472","Item_Name_3006066","赤霄-天神靴",""
"473","Item_Name_3006071","轩辕-夏禹神剑",""
"474","Item_Name_3006072","轩辕-创世神戒",""
"475","Item_Name_3006073","轩辕-天神链",""
"476","Item_Name_3006074","轩辕-天痕神盔",""
"477","Item_Name_3006075","轩辕-天神战衣",""
"478","Item_Name_3006076","轩辕-天神靴",""
"479","Item_Name_3006081","幻影-夏禹神剑",""
"480","Item_Name_3006082","幻影-创世神戒",""
"481","Item_Name_3006083","幻影-天神链",""
"482","Item_Name_3006084","幻影-天痕神盔",""
"483","Item_Name_3006085","幻影-天神战衣",""
"484","Item_Name_3006086","幻影-天神靴",""
"485","Item_Name_3006091","龙渊-夏禹神剑",""
"486","Item_Name_3006092","龙渊-创世神戒",""
"487","Item_Name_3006093","龙渊-天神链",""
"488","Item_Name_3006094","龙渊-天痕神盔",""
"489","Item_Name_3006095","龙渊-天神战衣",""
"490","Item_Name_3006096","龙渊-天神靴",""
"491","Item_Name_3007011","圣龙大剑",""
"492","Item_Name_3007012","缚龙戒",""
"493","Item_Name_3007013","圣龙链",""
"494","Item_Name_3007014","纹龙头冠",""
"495","Item_Name_3007015","赤龙服",""
"496","Item_Name_3007016","龙吟靴",""
"497","Item_Name_3007017","龙纹披风",""
"498","Item_Name_3007018","玄龙鉴",""
"499","Item_Name_3007019","玄龙章",""
"500","Item_Name_3007021","圣龙大剑",""
"501","Item_Name_3007022","缚龙戒",""
"502","Item_Name_3007023","圣龙链",""
"503","Item_Name_3007024","纹龙头冠",""
"504","Item_Name_3007025","赤龙服",""
"505","Item_Name_3007026","龙吟靴",""
"506","Item_Name_3007027","龙纹披风",""
"507","Item_Name_3007028","玄龙鉴",""
"508","Item_Name_3007029","玄龙章",""
"509","Item_Name_3007031","圣龙大剑",""
"510","Item_Name_3007032","缚龙戒",""
"511","Item_Name_3007033","圣龙链",""
"512","Item_Name_3007034","纹龙头冠",""
"513","Item_Name_3007035","赤龙服",""
"514","Item_Name_3007036","龙吟靴",""
"515","Item_Name_3007037","龙纹披风",""
"516","Item_Name_3007038","玄龙鉴",""
"517","Item_Name_3007039","玄龙章",""
"518","Item_Name_3007041","圣龙大剑",""
"519","Item_Name_3007042","缚龙戒",""
"520","Item_Name_3007043","圣龙链",""
"521","Item_Name_3007044","纹龙头冠",""
"522","Item_Name_3007045","赤龙服",""
"523","Item_Name_3007046","龙吟靴",""
"524","Item_Name_3007047","龙纹披风",""
"525","Item_Name_3007048","玄龙鉴",""
"526","Item_Name_3007049","玄龙章",""
"527","Item_Name_3007051","圣龙大剑",""
"528","Item_Name_3007052","缚龙戒",""
"529","Item_Name_3007053","圣龙链",""
"530","Item_Name_3007054","纹龙头冠",""
"531","Item_Name_3007055","赤龙服",""
"532","Item_Name_3007056","龙吟靴",""
"533","Item_Name_3007057","龙纹披风",""
"534","Item_Name_3007058","玄龙鉴",""
"535","Item_Name_3007059","玄龙章",""
"536","Item_Name_3007061","赤霄-夏禹神剑",""
"537","Item_Name_3007062","赤霄-创世神戒",""
"538","Item_Name_3007063","赤霄-天神链",""
"539","Item_Name_3007064","赤霄-天痕神盔",""
"540","Item_Name_3007065","赤霄-天神战衣",""
"541","Item_Name_3007066","赤霄-天神靴",""
"542","Item_Name_3007071","轩辕-夏禹神剑",""
"543","Item_Name_3007072","轩辕-创世神戒",""
"544","Item_Name_3007073","轩辕-天神链",""
"545","Item_Name_3007074","轩辕-天痕神盔",""
"546","Item_Name_3007075","轩辕-天神战衣",""
"547","Item_Name_3007076","轩辕-天神靴",""
"548","Item_Name_3007081","幻影-夏禹神剑",""
"549","Item_Name_3007082","幻影-创世神戒",""
"550","Item_Name_3007083","幻影-天神链",""
"551","Item_Name_3007084","幻影-天痕神盔",""
"552","Item_Name_3007085","幻影-天神战衣",""
"553","Item_Name_3007086","幻影-天神靴",""
"554","Item_Name_3007091","龙渊-夏禹神剑",""
"555","Item_Name_3007092","龙渊-创世神戒",""
"556","Item_Name_3007093","龙渊-天神链",""
"557","Item_Name_3007094","龙渊-天痕神盔",""
"558","Item_Name_3007095","龙渊-天神战衣",""
"559","Item_Name_3007096","龙渊-天神靴",""
"560","Item_Name_3008011","圣龙大剑",""
"561","Item_Name_3008012","缚龙戒",""
"562","Item_Name_3008013","圣龙链",""
"563","Item_Name_3008014","纹龙头冠",""
"564","Item_Name_3008015","赤龙服",""
"565","Item_Name_3008016","龙吟靴",""
"566","Item_Name_3008017","龙纹披风",""
"567","Item_Name_3008018","玄龙鉴",""
"568","Item_Name_3008019","玄龙章",""
"569","Item_Name_3008021","圣龙大剑",""
"570","Item_Name_3008022","缚龙戒",""
"571","Item_Name_3008023","圣龙链",""
"572","Item_Name_3008024","纹龙头冠",""
"573","Item_Name_3008025","赤龙服",""
"574","Item_Name_3008026","龙吟靴",""
"575","Item_Name_3008027","龙纹披风",""
"576","Item_Name_3008028","玄龙鉴",""
"577","Item_Name_3008029","玄龙章",""
"578","Item_Name_3008031","圣龙大剑",""
"579","Item_Name_3008032","缚龙戒",""
"580","Item_Name_3008033","圣龙链",""
"581","Item_Name_3008034","纹龙头冠",""
"582","Item_Name_3008035","赤龙服",""
"583","Item_Name_3008036","龙吟靴",""
"584","Item_Name_3008037","龙纹披风",""
"585","Item_Name_3008038","玄龙鉴",""
"586","Item_Name_3008039","玄龙章",""
"587","Item_Name_3008041","圣龙大剑",""
"588","Item_Name_3008042","缚龙戒",""
"589","Item_Name_3008043","圣龙链",""
"590","Item_Name_3008044","纹龙头冠",""
"591","Item_Name_3008045","赤龙服",""
"592","Item_Name_3008046","龙吟靴",""
"593","Item_Name_3008047","龙纹披风",""
"594","Item_Name_3008048","玄龙鉴",""
"595","Item_Name_3008049","玄龙章",""
"596","Item_Name_3008051","圣龙大剑",""
"597","Item_Name_3008052","缚龙戒",""
"598","Item_Name_3008053","圣龙链",""
"599","Item_Name_3008054","纹龙头冠",""
"600","Item_Name_3008055","赤龙服",""
"601","Item_Name_3008056","龙吟靴",""
"602","Item_Name_3008057","龙纹披风",""
"603","Item_Name_3008058","玄龙鉴",""
"604","Item_Name_3008059","玄龙章",""
"605","Item_Name_3008061","赤霄-夏禹神剑",""
"606","Item_Name_3008062","赤霄-创世神戒",""
"607","Item_Name_3008063","赤霄-天神链",""
"608","Item_Name_3008064","赤霄-天痕神盔",""
"609","Item_Name_3008065","赤霄-天神战衣",""
"610","Item_Name_3008066","赤霄-天神靴",""
"611","Item_Name_3008071","轩辕-夏禹神剑",""
"612","Item_Name_3008072","轩辕-创世神戒",""
"613","Item_Name_3008073","轩辕-天神链",""
"614","Item_Name_3008074","轩辕-天痕神盔",""
"615","Item_Name_3008075","轩辕-天神战衣",""
"616","Item_Name_3008076","轩辕-天神靴",""
"617","Item_Name_3008081","幻影-夏禹神剑",""
"618","Item_Name_3008082","幻影-创世神戒",""
"619","Item_Name_3008083","幻影-天神链",""
"620","Item_Name_3008084","幻影-天痕神盔",""
"621","Item_Name_3008085","幻影-天神战衣",""
"622","Item_Name_3008086","幻影-天神靴",""
"623","Item_Name_3008091","龙渊-夏禹神剑",""
