"#name GiftGroup","#unique id","#collector type groupId","","","","",""
"id","type","groupId","level","fixationReward","randomReward","optionReward"
"72","1","20041","60","2001014#1","",""
"73","2","10007","1","","","2000006#2|2000001#2|2000008#50|1#400|2003019#1"
"74","2","10008","1","","","5#600|4#400|6#200"
"75","2","10009","1","","","5#1200|4#800|6#400"
"76","2","10010","1","","","1040002#1|1040003#1|1040007#1|1040009#1|1040011#1|1040014#1|1030002#1|1030018#1"
"77","2","10011","1","","","1040004#1|1040007#1|1040010#1|1040014#1"
"78","2","10012","1","","","1040006#1|1040008#1|1040009#1|1040011#1"
"79","2","10013","1","","","1040001#1|1040003#1|1040005#1|1040012#1"
"80","2","10014","1","","","1030001#1|1030003#1|1030005#1|1030007#1|1030012#1|1030017#1|1030020#1"
"81","2","10015","1","","","1030002#1|1030003#1|1030005#1|1030010#1|1030013#1|1030014#1|1030016#1|1030018#1"
"82","2","10016","1","","","1030001#1|1030006#1|1030009#1|1030017#1|1030019#1|1030021#1"
"83","2","10017","1","","","1030004#1|1030007#1|1030008#1|1030011#1|1030012#1|1030015#1|1030020#1"
"84","2","10018","1","","","1020001#1|1020002#1|1020003#1|1020004#1|1020005#1|1020006#1|1020007#1"
"85","2","10019","1","","","1010001#1|1010002#1|1010003#1|1010004#1|1010005#1"
"87","2","10021","1","","","1040001#1|1040004#1|1040005#1|1040006#1|1040012#1|1040013#1"
"88","2","10020","1","","","2003053#1|2003054#1|2003055#1|2003056#1"
"89","2","10021","1","","","1040001#1|1040004#1|1040005#1|1040006#1|1040012#1"
"90","2","10022","1","","","3006062#1|3006061#1|3006063#1|3006064#1|3006065#1|3006066#1"
"91","2","10023","1","","","3006072#1|3006071#1|3006073#1|3006074#1|3006075#1|3006076#1"
"92","2","10024","1","","","3006082#1|3006081#1|3006083#1|3006084#1|3006085#1|3006086#1"
"93","2","10025","1","","","3006092#1|3006091#1|3006093#1|3006094#1|3006095#1|3006096#1"
"94","1","110101","1","","1666#3001012#1|1666#3001011#1|1667#3001013#1|1667#3001014#1|1667#3001015#1|1667#3001016#1",""
"95","1","110102","1","","1666#3001022#1|1666#3001021#1|1667#3001023#1|1667#3001024#1|1667#3001025#1|1667#3001026#1",""
"96","1","110103","1","","1666#3001032#1|1666#3001031#1|1667#3001033#1|1667#3001034#1|1667#3001035#1|1667#3001036#1",""
"97","1","110104","1","","1666#3001042#1|1666#3001041#1|1667#3001043#1|1667#3001044#1|1667#3001045#1|1667#3001046#1",""
"98","1","110105","1","","1666#3001052#1|1666#3001051#1|1667#3001053#1|1667#3001054#1|1667#3001055#1|1667#3001056#1",""
"99","1","120101","1","","1666#3002012#1|1666#3002011#1|1667#3002013#1|1667#3002014#1|1667#3002015#1|1667#3002016#1",""
"100","1","120102","1","","1666#3002022#1|1666#3002021#1|1667#3002023#1|1667#3002024#1|1667#3002025#1|1667#3002026#1",""
"101","1","120103","1","","1666#3002032#1|1666#3002031#1|1667#3002033#1|1667#3002034#1|1667#3002035#1|1667#3002036#1",""
"102","1","120104","1","","1666#3002042#1|1666#3002041#1|1667#3002043#1|1667#3002044#1|1667#3002045#1|1667#3002046#1",""
"103","1","120105","1","","1666#3002052#1|1666#3002051#1|1667#3002053#1|1667#3002054#1|1667#3002055#1|1667#3002056#1",""
"104","1","130101","1","","1666#3003012#1|1666#3003011#1|1667#3003013#1|1667#3003014#1|1667#3003015#1|1667#3003016#1",""
"105","1","130102","1","","1666#3003022#1|1666#3003021#1|1667#3003023#1|1667#3003024#1|1667#3003025#1|1667#3003026#1",""
"106","1","130103","1","","1666#3003032#1|1666#3003031#1|1667#3003033#1|1667#3003034#1|1667#3003035#1|1667#3003036#1",""
"107","1","130104","1","","1666#3003042#1|1666#3003041#1|1667#3003043#1|1667#3003044#1|1667#3003045#1|1667#3003046#1",""
"108","1","130105","1","","1666#3003052#1|1666#3003051#1|1667#3003053#1|1667#3003054#1|1667#3003055#1|1667#3003056#1",""
"109","1","130206","1","","3334#3003018#1|3333#3003017#1|3333#3003019#1",""
"110","1","130207","1","","3334#3003028#1|3333#3003027#1|3333#3003029#1",""
"111","1","130208","1","","3334#3003038#1|3333#3003037#1|3333#3003039#1",""
"112","1","130209","1","","3334#3003048#1|3333#3003047#1|3333#3003049#1",""
"113","1","130210","1","","3334#3003058#1|3333#3003057#1|3333#3003059#1",""
"114","1","140101","1","","1666#3004012#1|1666#3004011#1|1667#3004013#1|1667#3004014#1|1667#3004015#1|1667#3004016#1",""
"115","1","140102","1","","1666#3004022#1|1666#3004021#1|1667#3004023#1|1667#3004024#1|1667#3004025#1|1667#3004026#1",""
"116","1","140103","1","","1666#3004032#1|1666#3004031#1|1667#3004033#1|1667#3004034#1|1667#3004035#1|1667#3004036#1",""
"117","1","140104","1","","1666#3004042#1|1666#3004041#1|1667#3004043#1|1667#3004044#1|1667#3004045#1|1667#3004046#1",""
"118","1","140105","1","","1666#3004052#1|1666#3004051#1|1667#3004053#1|1667#3004054#1|1667#3004055#1|1667#3004056#1",""
"119","1","140206","1","","3334#3004018#1|3333#3004017#1|3333#3004019#1",""
"120","1","140207","1","","3334#3004028#1|3333#3004027#1|3333#3004029#1",""
"121","1","140208","1","","3334#3004038#1|3333#3004037#1|3333#3004039#1",""
"122","1","140209","1","","3334#3004048#1|3333#3004047#1|3333#3004049#1",""
"123","1","140210","1","","3334#3004058#1|3333#3004057#1|3333#3004059#1",""
"124","1","150101","1","","1666#3005012#1|1666#3005011#1|1667#3005013#1|1667#3005014#1|1667#3005015#1|1667#3005016#1",""
"125","1","150102","1","","1666#3005022#1|1666#3005021#1|1667#3005023#1|1667#3005024#1|1667#3005025#1|1667#3005026#1",""
"126","1","150103","1","","1666#3005032#1|1666#3005031#1|1667#3005033#1|1667#3005034#1|1667#3005035#1|1667#3005036#1",""
"127","1","150104","1","","1666#3005042#1|1666#3005041#1|1667#3005043#1|1667#3005044#1|1667#3005045#1|1667#3005046#1",""
"128","1","150105","1","","1666#3005052#1|1666#3005051#1|1667#3005053#1|1667#3005054#1|1667#3005055#1|1667#3005056#1",""
"129","1","150206","1","","3334#3005018#1|3333#3005017#1|3333#3005019#1",""
"130","1","150207","1","","3334#3005028#1|3333#3005027#1|3333#3005029#1",""
"131","1","150208","1","","3334#3005038#1|3333#3005037#1|3333#3005039#1",""
"132","1","150209","1","","3334#3005048#1|3333#3005047#1|3333#3005049#1",""
"133","1","150210","1","","3334#3005058#1|3333#3005057#1|3333#3005059#1",""
"134","1","150311","1","","1666#3005062#1|1666#3005061#1|1667#3005063#1|1667#3005064#1|1667#3005065#1|1667#3005066#1",""
"135","1","150312","1","","1666#3005072#1|1666#3005071#1|1667#3005073#1|1667#3005074#1|1667#3005075#1|1667#3005076#1",""
"136","1","150313","1","","1666#3005082#1|1666#3005081#1|1667#3005083#1|1667#3005084#1|1667#3005085#1|1667#3005086#1",""
"137","1","150314","1","","1666#3005092#1|1666#3005091#1|1667#3005093#1|1667#3005094#1|1667#3005095#1|1667#3005096#1",""
"138","1","160101","1","","1666#3006012#1|1666#3006011#1|1667#3006013#1|1667#3006014#1|1667#3006015#1|1667#3006016#1",""
"139","1","160102","1","","1666#3006022#1|1666#3006021#1|1667#3006023#1|1667#3006024#1|1667#3006025#1|1667#3006026#1",""
"140","1","160103","1","","1666#3006032#1|1666#3006031#1|1667#3006033#1|1667#3006034#1|1667#3006035#1|1667#3006036#1",""
"141","1","160104","1","","1666#3006042#1|1666#3006041#1|1667#3006043#1|1667#3006044#1|1667#3006045#1|1667#3006046#1",""
"142","1","160105","1","","1666#3006052#1|1666#3006051#1|1667#3006053#1|1667#3006054#1|1667#3006055#1|1667#3006056#1",""
"143","1","160206","1","","3334#3006018#1|3333#3006017#1|3333#3006019#1",""
"144","1","160207","1","","3334#3006028#1|3333#3006027#1|3333#3006029#1",""
"145","1","160208","1","","3334#3006038#1|3333#3006037#1|3333#3006039#1",""
"146","1","160209","1","","3334#3006048#1|3333#3006047#1|3333#3006049#1",""
"147","1","160210","1","","3334#3006058#1|3333#3006057#1|3333#3006059#1",""
"148","1","160311","1","","1666#3006062#1|1666#3006061#1|1667#3006063#1|1667#3006064#1|1667#3006065#1|1667#3006066#1",""
"149","1","160312","1","","1666#3006072#1|1666#3006071#1|1667#3006073#1|1667#3006074#1|1667#3006075#1|1667#3006076#1",""
"150","1","160313","1","","1666#3006082#1|1666#3006081#1|1667#3006083#1|1667#3006084#1|1667#3006085#1|1667#3006086#1",""
"151","1","160314","1","","1666#3006092#1|1666#3006091#1|1667#3006093#1|1667#3006094#1|1667#3006095#1|1667#3006096#1",""
"152","1","170101","1","","1666#3007012#1|1666#3007011#1|1667#3007013#1|1667#3007014#1|1667#3007015#1|1667#3007016#1",""
"153","1","170102","1","","1666#3007022#1|1666#3007021#1|1667#3007023#1|1667#3007024#1|1667#3007025#1|1667#3007026#1",""
"154","1","170103","1","","1666#3007032#1|1666#3007031#1|1667#3007033#1|1667#3007034#1|1667#3007035#1|1667#3007036#1",""
"155","1","170104","1","","1666#3007042#1|1666#3007041#1|1667#3007043#1|1667#3007044#1|1667#3007045#1|1667#3007046#1",""
"156","1","170105","1","","1666#3007052#1|1666#3007051#1|1667#3007053#1|1667#3007054#1|1667#3007055#1|1667#3007056#1",""
"157","1","170206","1","","3334#3007018#1|3333#3007017#1|3333#3007019#1",""
"158","1","170207","1","","3334#3007028#1|3333#3007027#1|3333#3007029#1",""
"159","1","170208","1","","3334#3007038#1|3333#3007037#1|3333#3007039#1",""
"160","1","170209","1","","3334#3007048#1|3333#3007047#1|3333#3007049#1",""
"161","1","170210","1","","3334#3007058#1|3333#3007057#1|3333#3007059#1",""
"162","1","170311","1","","1666#3007062#1|1666#3007061#1|1667#3007063#1|1667#3007064#1|1667#3007065#1|1667#3007066#1",""
"163","1","170312","1","","1666#3007072#1|1666#3007071#1|1667#3007073#1|1667#3007074#1|1667#3007075#1|1667#3007076#1",""
"164","1","170313","1","","1666#3007082#1|1666#3007081#1|1667#3007083#1|1667#3007084#1|1667#3007085#1|1667#3007086#1",""
"165","1","170314","1","","1666#3007092#1|1666#3007091#1|1667#3007093#1|1667#3007094#1|1667#3007095#1|1667#3007096#1",""
"166","1","180101","1","","1666#3008012#1|1666#3008011#1|1667#3008013#1|1667#3008014#1|1667#3008015#1|1667#3008016#1",""
"167","1","180102","1","","1666#3008022#1|1666#3008021#1|1667#3008023#1|1667#3008024#1|1667#3008025#1|1667#3008026#1",""
"168","1","180103","1","","1666#3008032#1|1666#3008031#1|1667#3008033#1|1667#3008034#1|1667#3008035#1|1667#3008036#1",""
"169","1","180104","1","","1666#3008042#1|1666#3008041#1|1667#3008043#1|1667#3008044#1|1667#3008045#1|1667#3008046#1",""
"170","1","180105","1","","1666#3008052#1|1666#3008051#1|1667#3008053#1|1667#3008054#1|1667#3008055#1|1667#3008056#1",""
"171","1","180206","1","","3334#3008018#1|3333#3008017#1|3333#3008019#1",""
"172","1","180207","1","","3334#3008028#1|3333#3008027#1|3333#3008029#1",""
"173","1","180208","1","","3334#3008038#1|3333#3008037#1|3333#3008039#1",""
"174","1","180209","1","","3334#3008048#1|3333#3008047#1|3333#3008049#1",""
"175","1","180210","1","","3334#3008058#1|3333#3008057#1|3333#3008059#1",""
"176","1","180311","1","","1666#3008062#1|1666#3008061#1|1667#3008063#1|1667#3008064#1|1667#3008065#1|1667#3008066#1",""
"177","1","180312","1","","1666#3008072#1|1666#3008071#1|1667#3008073#1|1667#3008074#1|1667#3008075#1|1667#3008076#1",""
"178","1","180313","1","","1666#3008082#1|1666#3008081#1|1667#3008083#1|1667#3008084#1|1667#3008085#1|1667#3008086#1",""
"179","1","180314","1","","1666#3008092#1|1666#3008091#1|1667#3008093#1|1667#3008094#1|1667#3008095#1|1667#3008096#1",""
"180","1","190101","1","","1666#3009012#1|1666#3009011#1|1667#3009013#1|1667#3009014#1|1667#3009015#1|1667#3009016#1",""
"181","1","190102","1","","1666#3009022#1|1666#3009021#1|1667#3009023#1|1667#3009024#1|1667#3009025#1|1667#3009026#1",""
"182","1","190103","1","","1666#3009032#1|1666#3009031#1|1667#3009033#1|1667#3009034#1|1667#3009035#1|1667#3009036#1",""
"183","1","190104","1","","1666#3009042#1|1666#3009041#1|1667#3009043#1|1667#3009044#1|1667#3009045#1|1667#3009046#1",""
"184","1","190105","1","","1666#3009052#1|1666#3009051#1|1667#3009053#1|1667#3009054#1|1667#3009055#1|1667#3009056#1",""
"185","1","190206","1","","3334#3009018#1|3333#3009017#1|3333#3009019#1",""
"186","1","190207","1","","3334#3009028#1|3333#3009027#1|3333#3009029#1",""
"187","1","190208","1","","3334#3009038#1|3333#3009037#1|3333#3009039#1",""
"188","1","190209","1","","3334#3009048#1|3333#3009047#1|3333#3009049#1",""
"189","1","190210","1","","3334#3009058#1|3333#3009057#1|3333#3009059#1",""
"190","1","190311","1","","1666#3009062#1|1666#3009061#1|1667#3009063#1|1667#3009064#1|1667#3009065#1|1667#3009066#1",""
"191","1","190312","1","","1666#3009072#1|1666#3009071#1|1667#3009073#1|1667#3009074#1|1667#3009075#1|1667#3009076#1",""
"192","1","190313","1","","1666#3009082#1|1666#3009081#1|1667#3009083#1|1667#3009084#1|1667#3009085#1|1667#3009086#1",""
"193","1","190314","1","","1666#3009092#1|1666#3009091#1|1667#3009093#1|1667#3009094#1|1667#3009095#1|1667#3009096#1",""
"194","1","200101","1","","1666#3010012#1|1666#3010011#1|1667#3010013#1|1667#3010014#1|1667#3010015#1|1667#3010016#1",""
"195","1","200102","1","","1666#3010022#1|1666#3010021#1|1667#3010023#1|1667#3010024#1|1667#3010025#1|1667#3010026#1",""
"196","1","200103","1","","1666#3010032#1|1666#3010031#1|1667#3010033#1|1667#3010034#1|1667#3010035#1|1667#3010036#1",""
"197","1","200104","1","","1666#3010042#1|1666#3010041#1|1667#3010043#1|1667#3010044#1|1667#3010045#1|1667#3010046#1",""
"198","1","200105","1","","1666#3010052#1|1666#3010051#1|1667#3010053#1|1667#3010054#1|1667#3010055#1|1667#3010056#1",""
"199","1","200206","1","","3334#3010018#1|3333#3010017#1|3333#3010019#1",""
"200","1","200207","1","","3334#3010028#1|3333#3010027#1|3333#3010029#1",""
"201","1","200208","1","","3334#3010038#1|3333#3010037#1|3333#3010039#1",""
"202","1","200209","1","","3334#3010048#1|3333#3010047#1|3333#3010049#1",""
"203","1","200210","1","","3334#3010058#1|3333#3010057#1|3333#3010059#1",""
"204","1","200311","1","","1666#3010062#1|1666#3010061#1|1667#3010063#1|1667#3010064#1|1667#3010065#1|1667#3010066#1",""
"205","1","200312","1","","1666#3010072#1|1666#3010071#1|1667#3010073#1|1667#3010074#1|1667#3010075#1|1667#3010076#1",""
"206","1","200313","1","","1666#3010082#1|1666#3010081#1|1667#3010083#1|1667#3010084#1|1667#3010085#1|1667#3010086#1",""
"207","1","200314","1","","1666#3010092#1|1666#3010091#1|1667#3010093#1|1667#3010094#1|1667#3010095#1|1667#3010096#1",""
