"#name AchievementTask","#unique id","#index preTask","#collector taskType","","",""
"id","preTask","taskType","taskParams","taskTargetNum","rewards"
"1303","1302","ROLE_LEVEL","","6","101#10|1#100"
"1304","1303","ROLE_LEVEL","","8","101#10|1#100"
"1305","1304","ROLE_LEVEL","","10","101#10|1#100"
"1306","1305","ROLE_LEVEL","","15","101#10|1#100"
"1307","1306","ROLE_LEVEL","","20","101#10|1#100"
"1308","1307","ROLE_LEVEL","","25","101#10|1#100"
"1309","1308","ROLE_LEVEL","","30","101#10|1#100"
"1310","1309","ROLE_LEVEL","","35","101#10|1#100"
"1311","1310","ROLE_LEVEL","","40","101#10|1#100"
"1312","1311","ROLE_LEVEL","","45","101#10|1#100"
"1313","1312","ROLE_LEVEL","","50","101#10|1#100"
"1401","0","ROLE_LEVEL","","1","101#10|2#20"
"1402","1401","ROLE_LEVEL","","3","101#10|2#20"
"1403","1402","ROLE_LEVEL","","5","101#10|2#20"
"1404","1403","ROLE_LEVEL","","7","101#10|2#20"
"1405","1404","ROLE_LEVEL","","10","101#10|2#20"
"1406","1405","ROLE_LEVEL","","15","101#10|2#20"
"1407","1406","ROLE_LEVEL","","20","101#10|2#20"
"1408","1407","ROLE_LEVEL","","25","101#10|2#20"
"1409","1408","ROLE_LEVEL","","30","101#10|2#20"
"1410","1409","ROLE_LEVEL","","35","101#10|2#20"
"1411","1410","ROLE_LEVEL","","40","101#10|2#20"
"1501","0","FIGHTING_NUM","","5000","101#10|1#100"
"1502","1501","FIGHTING_NUM","","8000","101#10|1#100"
"1503","1502","FIGHTING_NUM","","10000","101#10|1#100"
"1504","1503","FIGHTING_NUM","","15000","101#10|1#100"
"1505","1504","FIGHTING_NUM","","20000","101#10|1#100"
"1506","1505","FIGHTING_NUM","","30000","101#10|1#100"
"1507","1506","FIGHTING_NUM","","50000","101#10|1#100"
"1508","1507","FIGHTING_NUM","","80000","101#10|1#100"
"1509","1508","FIGHTING_NUM","","100000","101#10|1#100"
"1510","1509","FIGHTING_NUM","","130000","101#10|1#100"
"1511","1510","FIGHTING_NUM","","150000","101#10|1#100"
"1512","1511","FIGHTING_NUM","","200000","101#10|1#100"
"1513","1512","FIGHTING_NUM","","250000","101#10|1#100"
"1514","1513","FIGHTING_NUM","","300000","101#10|1#100"
"1515","1514","FIGHTING_NUM","","450000","101#10|1#100"
"1516","1515","FIGHTING_NUM","","600000","101#10|1#100"
"1517","1516","FIGHTING_NUM","","800000","101#10|1#100"
"1518","1517","FIGHTING_NUM","","1000000","101#10|1#100"
"1519","1518","FIGHTING_NUM","","1200000","101#10|1#100"
"1520","1519","FIGHTING_NUM","","1500000","101#10|1#100"
"1521","1520","FIGHTING_NUM","","1800000","101#10|1#100"
"1522","1521","FIGHTING_NUM","","2100000","101#10|1#100"
"1523","1522","FIGHTING_NUM","","2500000","101#10|1#100"
"1524","1523","FIGHTING_NUM","","3000000","101#10|1#100"
"1601","0","FIGHTING_NUM","","100","101#10|2#10"
"1602","1601","FIGHTING_NUM","","300","101#10|2#10"
"1603","1602","FIGHTING_NUM","","500","101#10|2#10"
"1604","1603","FIGHTING_NUM","","700","101#10|2#10"
"1605","1604","FIGHTING_NUM","","1000","101#10|2#10"
"1606","1605","FIGHTING_NUM","","1500","101#10|2#10"
"1607","1606","FIGHTING_NUM","","2000","101#10|2#10"
"1608","1607","FIGHTING_NUM","","3000","101#10|2#10"
"1609","1608","FIGHTING_NUM","","5000","101#10|2#10"
"1610","1609","FIGHTING_NUM","","8000","101#10|2#10"
"1611","1610","FIGHTING_NUM","","10000","101#10|2#10"
"1612","1611","FIGHTING_NUM","","15000","101#10|2#10"
"1613","1612","FIGHTING_NUM","","20000","101#10|2#10"
"1614","1613","FIGHTING_NUM","","30000","101#10|2#10"
"1615","1614","FIGHTING_NUM","","50000","101#10|2#10"
"1616","1615","FIGHTING_NUM","","80000","101#10|2#10"
"1617","1616","FIGHTING_NUM","","100000","101#10|2#10"
"1618","1617","FIGHTING_NUM","","150000","101#10|2#10"
"1619","1618","FIGHTING_NUM","","200000","101#10|2#10"
"1620","1619","FIGHTING_NUM","","300000","101#10|2#10"
"1621","1620","FIGHTING_NUM","","500000","101#10|2#10"
"1622","1621","FIGHTING_NUM","","800000","101#10|2#10"
"1623","1622","FIGHTING_NUM","","1000000","101#10|2#10"
"1701","0","FIGHTING_NUM","","3000","101#10|1#1"
"1702","1701","FIGHTING_NUM","","5000","101#10|1#1"
"1703","1702","FIGHTING_NUM","","8000","101#10|1#1"
"1704","1703","FIGHTING_NUM","","10000","101#10|1#1"
"1705","1704","FIGHTING_NUM","","13000","101#10|1#1"
"1706","1705","FIGHTING_NUM","","15000","101#10|1#1"
"1707","1706","FIGHTING_NUM","","18000","101#10|1#1"
"1708","1707","FIGHTING_NUM","","20000","101#10|1#1"
"1709","1708","FIGHTING_NUM","","25000","101#10|1#1"
"1710","1709","FIGHTING_NUM","","30000","101#10|1#1"
"1711","1710","FIGHTING_NUM","","40000","101#10|1#1"
"1712","1711","FIGHTING_NUM","","50000","101#10|1#1"
"1713","1712","FIGHTING_NUM","","80000","101#10|1#1"
"1714","1713","FIGHTING_NUM","","100000","101#10|1#1"
"1801","0","KILL_TYPE_MONSTER","1","1000","101#10|5#400"
"1802","1801","KILL_TYPE_MONSTER","1","3000","101#10|5#400"
"1803","1802","KILL_TYPE_MONSTER","1","5000","101#10|5#400"
"1804","1803","KILL_TYPE_MONSTER","1","8000","101#10|5#400"
"1805","1804","KILL_TYPE_MONSTER","1","10000","101#10|5#400"
"1806","1805","KILL_TYPE_MONSTER","1","15000","101#10|5#400"
"1807","1806","KILL_TYPE_MONSTER","1","20000","101#10|5#400"
"1808","1807","KILL_TYPE_MONSTER","1","30000","101#10|5#400"
"1809","1808","KILL_TYPE_MONSTER","1","50000","101#10|5#400"
"1810","1809","KILL_TYPE_MONSTER","1","80000","101#10|5#400"
"1811","1810","KILL_TYPE_MONSTER","1","100000","101#10|5#400"
"1812","1811","KILL_TYPE_MONSTER","1","150000","101#10|5#400"
"1813","1812","KILL_TYPE_MONSTER","1","200000","101#10|5#400"
"1814","1813","KILL_TYPE_MONSTER","1","300000","101#10|5#400"
"1815","1814","KILL_TYPE_MONSTER","1","500000","101#10|5#400"
"1816","1815","KILL_TYPE_MONSTER","1","800000","101#10|5#400"
"1817","1816","KILL_TYPE_MONSTER","1","1000000","101#10|5#400"
"1818","1817","KILL_TYPE_MONSTER","1","1500000","101#10|5#400"
"1819","1818","KILL_TYPE_MONSTER","1","2000000","101#10|5#400"
"1820","1819","KILL_TYPE_MONSTER","1","3000000","101#10|5#400"
"1821","1820","KILL_TYPE_MONSTER","1","5000000","101#10|5#400"
"1822","1821","KILL_TYPE_MONSTER","1","8000000","101#10|5#400"
"1823","1822","KILL_TYPE_MONSTER","1","10000000","101#10|5#400"
"1901","0","COMPLETE_DUPLICATE","9","5","101#10|2001003#5"
"1902","1901","COMPLETE_DUPLICATE","9","10","101#10|2001003#5"
"1903","1902","COMPLETE_DUPLICATE","9","15","101#10|2001003#5"
"1904","1903","COMPLETE_DUPLICATE","9","20","101#10|2001003#5"
"1905","1904","COMPLETE_DUPLICATE","9","30","101#10|2001003#5"
"1906","1905","COMPLETE_DUPLICATE","9","50","101#10|2001003#5"
"1907","1906","COMPLETE_DUPLICATE","9","80","101#10|2001003#5"
"1908","1907","COMPLETE_DUPLICATE","9","100","101#10|2001003#5"
"1909","1908","COMPLETE_DUPLICATE","9","150","101#10|2001003#5"
"1910","1909","COMPLETE_DUPLICATE","9","200","101#10|2001003#5"
"1911","1910","COMPLETE_DUPLICATE","9","300","101#10|2001003#5"
"1912","1911","COMPLETE_DUPLICATE","9","500","101#10|2001003#5"
"1913","1912","COMPLETE_DUPLICATE","9","800","101#10|2001003#5"
"1914","1913","COMPLETE_DUPLICATE","9","1000","101#10|2001003#5"
"1915","1914","COMPLETE_DUPLICATE","9","1500","101#10|2001003#5"
"1916","1915","COMPLETE_DUPLICATE","9","2000","101#10|2001003#5"
"1917","1916","COMPLETE_DUPLICATE","9","3000","101#10|2001003#5"
"1918","1917","COMPLETE_DUPLICATE","9","5000","101#10|2001003#5"
"1919","1918","COMPLETE_DUPLICATE","9","8000","101#10|2001003#5"
"1920","1919","COMPLETE_DUPLICATE","9","10000","101#10|2001003#5"
"2001","0","HAVE_MINE","","50","101#5|6#25"
"2002","2001","HAVE_MINE","","100","101#5|6#25"
"2003","2002","HAVE_MINE","","200","101#5|6#25"
"2004","2003","HAVE_MINE","","300","101#5|6#25"
"2005","2004","HAVE_MINE","","500","101#5|6#25"
"2006","2005","HAVE_MINE","","800","101#5|6#25"
"2007","2006","HAVE_MINE","","1000","101#5|6#25"
"2008","2007","HAVE_MINE","","1500","101#5|6#25"
"2009","2008","HAVE_MINE","","2000","101#5|6#25"
"2010","2009","HAVE_MINE","","3000","101#5|6#25"
"2011","2010","HAVE_MINE","","5000","101#5|6#25"
"2012","2011","HAVE_MINE","","8000","101#5|6#25"
"2013","2012","HAVE_MINE","","10000","101#5|6#25"
"2014","2013","HAVE_MINE","","15000","101#5|6#25"
"2015","2014","HAVE_MINE","","20000","101#5|6#25"
"2016","2015","HAVE_MINE","","30000","101#5|6#25"
"2017","2016","HAVE_MINE","","50000","101#5|6#25"
"2018","2017","HAVE_MINE","","80000","101#5|6#25"
"2019","2018","HAVE_MINE","","100000","101#5|6#25"
"2020","2019","HAVE_MINE","","150000","101#5|6#25"
"2021","2020","HAVE_MINE","","200000","101#5|6#25"
"2022","2021","HAVE_MINE","","300000","101#5|6#25"
"2023","2022","HAVE_MINE","","500000","101#5|6#25"
"2024","2023","HAVE_MINE","","800000","101#5|6#25"
"2025","2024","HAVE_MINE","","1000000","101#5|6#25"
"2101","0","TREASURE_BOX_OPEN","","5","101#5|5#50"
"2102","2101","TREASURE_BOX_OPEN","","10","101#5|5#50"
"2103","2102","TREASURE_BOX_OPEN","","15","101#5|5#50"
"2104","2103","TREASURE_BOX_OPEN","","20","101#5|5#50"
"2105","2104","TREASURE_BOX_OPEN","","30","101#5|5#50"
"2106","2105","TREASURE_BOX_OPEN","","50","101#5|5#50"
"2107","2106","TREASURE_BOX_OPEN","","80","101#5|5#50"
"2108","2107","TREASURE_BOX_OPEN","","100","101#5|5#50"
"2109","2108","TREASURE_BOX_OPEN","","150","101#5|5#50"
"2110","2109","TREASURE_BOX_OPEN","","200","101#5|5#50"
"2111","2110","TREASURE_BOX_OPEN","","300","101#5|5#50"
"2112","2111","TREASURE_BOX_OPEN","","500","101#5|5#50"
"2113","2112","TREASURE_BOX_OPEN","","800","101#5|5#50"
"2114","2113","TREASURE_BOX_OPEN","","1000","101#5|5#50"
"2115","2114","TREASURE_BOX_OPEN","","1500","101#5|5#50"
"2116","2115","TREASURE_BOX_OPEN","","2000","101#5|5#50"
"2117","2116","TREASURE_BOX_OPEN","","3000","101#5|5#50"
"2118","2117","TREASURE_BOX_OPEN","","5000","101#5|5#50"
"2119","2118","TREASURE_BOX_OPEN","","8000","101#5|5#50"
"2120","2119","TREASURE_BOX_OPEN","","10000","101#5|5#50"
"2121","2120","TREASURE_BOX_OPEN","","15000","101#5|5#50"
"2122","2121","TREASURE_BOX_OPEN","","20000","101#5|5#50"
"2123","2122","TREASURE_BOX_OPEN","","30000","101#5|5#50"
"2124","2123","TREASURE_BOX_OPEN","","50000","101#5|5#50"
"2125","2124","TREASURE_BOX_OPEN","","80000","101#5|5#50"
"2126","2125","TREASURE_BOX_OPEN","","100000","101#5|5#50"
