"#name Tower","#unique id","#index type layer","","","","",""
"id","type","layer","rewards","monster","refreshType","dailyRewards"
"36","1","36","1#25|6#90|2003017#10","1#7002080|2#7002081|3#7002082|6#7010036|7#7010036|8#7010036","0","1#37|5#74|4#67|6#44"
"37","1","37","1#25|6#94|2003017#10","1#7002083|2#7002084|3#7002085|6#7010037|7#7010037|8#7010037","0","1#37|5#74|4#67|6#44"
"38","1","38","1#25|6#98|2003017#10","1#7002086|2#7002087|3#7002088|6#7010038|7#7010038|8#7010038","0","1#37|5#74|4#67|6#44"
"39","1","39","1#25|6#102|2003017#10","1#7002089|2#7002090|3#7002091|6#7010039|7#7010039|8#7010039","0","1#37|5#74|4#67|6#44"
"40","1","40","2000001#2|6#106|2003016#30","1#7002092|2#7002093|3#7002094|6#7010040|7#7010040|8#7010040","0","1#37|5#74|4#67|6#44"
"41","1","41","1#30|6#110|2003017#10","1#7002095|2#7002096|3#7002097|6#7010041|7#7010041|8#7010041|9#7010041","0","1#38|5#76|4#68|6#46"
"42","1","42","1#30|6#115|2003017#10","1#7002098|2#7002099|3#7002100|6#7010042|7#7010042|8#7010042|9#7010042","0","1#38|5#76|4#68|6#46"
"43","1","43","1#30|6#120|2003017#10","1#7002101|2#7002102|3#7002103|6#7010043|7#7010043|8#7010043|9#7010043","0","1#38|5#76|4#68|6#46"
"44","1","44","1#30|6#125|2003017#10","1#7002104|2#7002105|3#7002106|6#7010044|7#7010044|8#7010044|9#7010044","0","1#38|5#76|4#68|6#46"
"45","1","45","2000001#3|6#130|2003016#30","1#7002107|2#7002108|3#7002109|6#7010045|7#7010045|8#7010045|9#7010045","0","1#38|5#76|4#68|6#46"
"46","1","46","1#30|6#135|2003017#10","1#7002110|2#7002111|3#7002112|6#7010046|7#7010046|8#7010046|9#7010046","0","1#39|5#78|4#70|6#47"
"47","1","47","1#30|6#140|2003017#10","1#7002113|2#7002114|3#7002115|6#7010047|7#7010047|8#7010047|9#7010047","0","1#39|5#78|4#70|6#47"
"48","1","48","1#30|6#145|2003017#10","1#7002116|2#7002117|3#7002118|6#7010048|7#7010048|8#7010048|9#7010048","0","1#39|5#78|4#70|6#47"
"49","1","49","1#30|6#150|2003017#10","1#7002119|2#7002120|3#7002121|6#7010049|7#7010049|8#7010049|9#7010049","0","1#39|5#78|4#70|6#47"
"50","1","50","2000001#3|6#155|2003016#30","1#7002122|2#7002123|3#7002124|6#7010050|7#7010050|8#7010050|9#7010050","0","1#39|5#78|4#70|6#47"
"51","1","51","1#35|6#160|2003017#10","1#7002125|2#7002126|3#7002127|6#7010051|7#7010051|8#7010051|9#7010051","0","1#40|5#80|4#72|6#48"
"52","1","52","1#35|6#166|2003017#10","1#7002128|2#7002129|3#7002130|6#7010052|7#7010052|8#7010052|9#7010052","0","1#40|5#80|4#72|6#48"
"53","1","53","1#35|6#172|2003017#10","1#7002131|2#7002132|3#7002133|6#7010053|7#7010053|8#7010053|9#7010053","0","1#40|5#80|4#72|6#48"
"54","1","54","1#35|6#178|2003017#10","1#7002134|2#7002135|3#7002136|6#7010054|7#7010054|8#7010054|9#7010054","0","1#40|5#80|4#72|6#48"
"55","1","55","2000001#3|6#184|2003016#30","1#7002137|2#7002138|3#7002139|6#7010055|7#7010055|8#7010055|9#7010055","0","1#40|5#80|4#72|6#48"
"56","1","56","1#35|6#190|2003017#10","1#7002140|2#7002141|3#7002142|6#7010056|7#7010056|8#7010056|9#7010056","0","1#41|5#82|4#74|6#49"
"57","1","57","1#35|6#196|2003017#10","1#7002143|2#7002144|3#7002145|4#7002146|6#7010057|7#7010057|8#7010057|9#7010057","0","1#41|5#82|4#74|6#49"
"58","1","58","1#35|6#202|2003017#10","1#7002147|2#7002148|3#7002149|4#7002150|6#7010058|7#7010058|8#7010058|9#7010058","0","1#41|5#82|4#74|6#49"
"59","1","59","1#35|6#208|2003017#10","1#7002151|2#7002152|3#7002153|4#7002154|6#7010059|7#7010059|8#7010059|9#7010059","0","1#41|5#82|4#74|6#49"
"60","1","60","2000001#3|6#214|2003016#30","1#7002155|2#7002156|3#7002157|4#7002158|6#7010060|7#7010060|8#7010060|9#7010060","0","1#41|5#82|4#74|6#49"
"61","1","61","1#40|6#220|2003017#10","1#7002159|2#7002160|3#7002161|4#7002162|6#7010061|7#7010061|8#7010061|9#7010061","0","1#42|5#84|4#76|6#50"
"62","1","62","1#40|6#227|2003017#10","1#7002163|2#7002164|3#7002165|4#7002166|6#7010062|7#7010062|8#7010062|9#7010062","0","1#42|5#84|4#76|6#50"
"63","1","63","1#40|6#234|2003017#10","1#7002167|2#7002168|3#7002169|4#7002170|6#7010063|7#7010063|8#7010063|9#7010063","0","1#42|5#84|4#76|6#50"
"64","1","64","1#40|6#241|2003017#10","1#7002171|2#7002172|3#7002173|4#7002174|6#7010064|7#7010064|8#7010064|9#7010064","0","1#42|5#84|4#76|6#50"
"65","1","65","2000001#4|6#248|2003016#30","1#7002175|2#7002176|3#7002177|4#7002178|6#7010065|7#7010065|8#7010065|9#7010065","0","1#42|5#84|4#76|6#50"
"66","1","66","1#40|6#255|2003017#10","1#7002179|2#7002180|3#7002181|4#7002182|6#7010066|7#7010066|8#7010066|9#7010066","0","1#43|5#86|4#77|6#52"
"67","1","67","1#40|6#262|2003017#10","1#7002183|2#7002184|3#7002185|4#7002186|6#7010067|7#7010067|8#7010067|9#7010067","0","1#43|5#86|4#77|6#52"
"68","1","68","1#40|6#269|2003017#10","1#7002187|2#7002188|3#7002189|4#7002190|6#7010068|7#7010068|8#7010068|9#7010068","0","1#43|5#86|4#77|6#52"
"69","1","69","1#40|6#276|2003017#10","1#7002191|2#7002192|3#7002193|4#7002194|6#7010069|7#7010069|8#7010069|9#7010069","0","1#43|5#86|4#77|6#52"
"70","1","70","2000001#4|6#283|2003016#30","1#7002195|2#7002196|3#7002197|4#7002198|6#7010070|7#7010070|8#7010070|9#7010070","0","1#43|5#86|4#77|6#52"
"71","1","71","1#45|6#290|2003017#10","1#7002199|2#7002200|3#7002201|4#7002202|6#7010071|7#7010071|8#7010071|9#7010071","0","1#44|5#88|4#79|6#53"
"72","1","72","1#45|6#298|2003017#10","1#7002203|2#7002204|3#7002205|4#7002206|6#7010072|7#7010072|8#7010072|9#7010072","0","1#44|5#88|4#79|6#53"
"73","1","73","1#45|6#306|2003017#10","1#7002207|2#7002208|3#7002209|4#7002210|6#7010073|7#7010073|8#7010073|9#7010073","0","1#44|5#88|4#79|6#53"
"74","1","74","1#45|6#314|2003017#10","1#7002211|2#7002212|3#7002213|4#7002214|6#7010074|7#7010074|8#7010074|9#7010074","0","1#44|5#88|4#79|6#53"
"75","1","75","2000001#4|6#322|2003016#30","1#7002215|2#7002216|3#7002217|4#7002218|6#7010075|7#7010075|8#7010075|9#7010075","0","1#44|5#88|4#79|6#53"
"76","1","76","1#45|6#330|2003017#10","1#7002219|2#7002220|3#7002221|4#7002222|6#7010076|7#7010076|8#7010076|9#7010076","0","1#45|5#90|4#81|6#54"
"77","1","77","1#45|6#338|2003017#10","1#7002223|2#7002224|3#7002225|4#7002226|6#7010077|7#7010077|8#7010077|9#7010077|10#7010077","0","1#45|5#90|4#81|6#54"
"78","1","78","1#45|6#346|2003017#10","1#7002227|2#7002228|3#7002229|4#7002230|6#7010078|7#7010078|8#7010078|9#7010078|10#7010078","0","1#45|5#90|4#81|6#54"
"79","1","79","1#45|6#354|2003017#10","1#7002231|2#7002232|3#7002233|4#7002234|6#7010079|7#7010079|8#7010079|9#7010079|10#7010079","0","1#45|5#90|4#81|6#54"
"80","1","80","2000001#4|6#362|2003016#30","1#7002235|2#7002236|3#7002237|4#7002238|6#7010080|7#7010080|8#7010080|9#7010080|10#7010080","0","1#45|5#90|4#81|6#54"
"81","1","81","1#50|6#370|2003017#10","1#7002239|2#7002240|3#7002241|4#7002242|6#7010081|7#7010081|8#7010081|9#7010081|10#7010081","0","1#46|5#92|4#83|6#55"
"82","1","82","1#50|6#379|2003017#10","1#7002243|2#7002244|3#7002245|4#7002246|6#7010082|7#7010082|8#7010082|9#7010082|10#7010082","0","1#46|5#92|4#83|6#55"
"83","1","83","1#50|6#388|2003017#10","1#7002247|2#7002248|3#7002249|4#7002250|6#7010083|7#7010083|8#7010083|9#7010083|10#7010083","0","1#46|5#92|4#83|6#55"
"84","1","84","1#50|6#397|2003017#10","1#7002251|2#7002252|3#7002253|4#7002254|6#7010084|7#7010084|8#7010084|9#7010084|10#7010084","0","1#46|5#92|4#83|6#55"
"85","1","85","2000001#5|6#406|2003016#30","1#7002255|2#7002256|3#7002257|4#7002258|6#7010085|7#7010085|8#7010085|9#7010085|10#7010085","0","1#46|5#92|4#83|6#55"
"86","1","86","1#50|6#415|2003017#10","1#7002259|2#7002260|3#7002261|4#7002262|6#7010086|7#7010086|8#7010086|9#7010086|10#7010086","0","1#47|5#94|4#85|6#56"
"87","1","87","1#50|6#424|2003017#10","1#7002263|2#7002264|3#7002265|4#7002266|6#7010087|7#7010087|8#7010087|9#7010087|10#7010087","0","1#47|5#94|4#85|6#56"
"88","1","88","1#50|6#433|2003017#10","1#7002267|2#7002268|3#7002269|4#7002270|6#7010088|7#7010088|8#7010088|9#7010088|10#7010088","0","1#47|5#94|4#85|6#56"
"89","1","89","1#50|6#442|2003017#10","1#7002271|2#7002272|3#7002273|4#7002274|6#7010089|7#7010089|8#7010089|9#7010089|10#7010089","0","1#47|5#94|4#85|6#56"
"90","1","90","2000001#5|6#451|2003016#30","1#7002275|2#7002276|3#7002277|4#7002278|6#7010090|7#7010090|8#7010090|9#7010090|10#7010090","0","1#47|5#94|4#85|6#56"
"91","1","91","1#55|6#460|2003017#10","1#7002279|2#7002280|3#7002281|4#7002282|6#7010091|7#7010091|8#7010091|9#7010091|10#7010091","0","1#48|5#96|4#86|6#58"
"92","1","92","1#55|6#470|2003017#10","1#7002283|2#7002284|3#7002285|4#7002286|6#7010092|7#7010092|8#7010092|9#7010092|10#7010092","0","1#48|5#96|4#86|6#58"
"93","1","93","1#55|6#480|2003017#10","1#7002287|2#7002288|3#7002289|4#7002290|6#7010093|7#7010093|8#7010093|9#7010093|10#7010093","0","1#48|5#96|4#86|6#58"
"94","1","94","1#55|6#490|2003017#10","1#7002291|2#7002292|3#7002293|4#7002294|6#7010094|7#7010094|8#7010094|9#7010094|10#7010094","0","1#48|5#96|4#86|6#58"
"95","1","95","2000001#5|6#500|2003016#30","1#7002295|2#7002296|3#7002297|4#7002298|6#7010095|7#7010095|8#7010095|9#7010095|10#7010095","0","1#48|5#96|4#86|6#58"
"96","1","96","1#55|6#510|2003017#10","1#7002299|2#7002300|3#7002301|4#7002302|6#7010096|7#7010096|8#7010096|9#7010096|10#7010096","0","1#49|5#98|4#88|6#59"
"97","1","97","1#55|6#520|2003017#10","1#7002303|2#7002304|3#7002305|4#7002306|6#7010097|7#7010097|8#7010097|9#7010097|10#7010097","0","1#49|5#98|4#88|6#59"
"98","1","98","1#55|6#530|2003017#10","1#7002307|2#7002308|3#7002309|4#7002310|6#7010098|7#7010098|8#7010098|9#7010098|10#7010098","0","1#49|5#98|4#88|6#59"
"99","1","99","1#55|6#540|2003017#10","1#7002311|2#7002312|3#7002313|4#7002314|6#7010099|7#7010099|8#7010099|9#7010099|10#7010099","0","1#49|5#98|4#88|6#59"
"100","1","100","2000001#5|6#550|2003016#30","1#7002315|2#7002316|3#7002317|4#7002318|6#7010100|7#7010100|8#7010100|9#7010100|10#7010100","0","1#49|5#98|4#88|6#59"
"101","1","101","1#60|6#560|2003017#10","1#7002319|2#7002320|3#7002321|4#7002322|6#7010101|7#7010101|8#7010101|9#7010101|10#7010101","0","1#50|5#100|4#90|6#60"
"102","1","102","1#60|6#571|2003017#10","1#7002323|2#7002324|3#7002325|4#7002326|6#7010102|7#7010102|8#7010102|9#7010102|10#7010102","0","1#50|5#100|4#90|6#60"
"103","1","103","1#60|6#582|2003017#10","1#7002327|2#7002328|3#7002329|4#7002330|6#7010103|7#7010103|8#7010103|9#7010103|10#7010103","0","1#50|5#100|4#90|6#60"
"104","1","104","1#60|6#593|2003017#10","1#7002331|2#7002332|3#7002333|4#7002334|6#7010104|7#7010104|8#7010104|9#7010104|10#7010104","0","1#50|5#100|4#90|6#60"
"105","1","105","2000001#6|6#604|2003016#30","1#7002335|2#7002336|3#7002337|4#7002338|6#7010105|7#7010105|8#7010105|9#7010105|10#7010105","0","1#50|5#100|4#90|6#60"
"106","1","106","1#60|6#615|2003017#10","1#7002339|2#7002340|3#7002341|4#7002342|6#7010106|7#7010106|8#7010106|9#7010106|10#7010106","0","1#51|5#102|4#92|6#61"
"107","1","107","1#60|6#626|2003017#10","1#7002343|2#7002344|3#7002345|4#7002346|6#7010107|7#7010107|8#7010107|9#7010107|10#7010107","0","1#51|5#102|4#92|6#61"
"108","1","108","1#60|6#637|2003017#10","1#7002347|2#7002348|3#7002349|4#7002350|6#7010108|7#7010108|8#7010108|9#7010108|10#7010108","0","1#51|5#102|4#92|6#61"
"109","1","109","1#60|6#648|2003017#10","1#7002351|2#7002352|3#7002353|4#7002354|6#7010109|7#7010109|8#7010109|9#7010109|10#7010109","0","1#51|5#102|4#92|6#61"
"110","1","110","2000001#6|6#659|2003016#30","1#7002355|2#7002356|3#7002357|4#7002358|6#7010110|7#7010110|8#7010110|9#7010110|10#7010110","0","1#51|5#102|4#92|6#61"
"111","1","111","1#65|6#670|2003017#10","1#7002359|2#7002360|3#7002361|4#7002362|6#7010111|7#7010111|8#7010111|9#7010111|10#7010111","0","1#52|5#104|4#94|6#62"
"112","1","112","1#65|6#682|2003017#10","1#7002363|2#7002364|3#7002365|4#7002366|6#7010112|7#7010112|8#7010112|9#7010112|10#7010112","0","1#52|5#104|4#94|6#62"
"113","1","113","1#65|6#694|2003017#10","1#7002367|2#7002368|3#7002369|4#7002370|6#7010113|7#7010113|8#7010113|9#7010113|10#7010113","0","1#52|5#104|4#94|6#62"
"114","1","114","1#65|6#706|2003017#10","1#7002371|2#7002372|3#7002373|4#7002374|6#7010114|7#7010114|8#7010114|9#7010114|10#7010114","0","1#52|5#104|4#94|6#62"
"115","1","115","2000001#6|6#718|2003016#30","1#7002375|2#7002376|3#7002377|4#7002378|6#7010115|7#7010115|8#7010115|9#7010115|10#7010115","0","1#52|5#104|4#94|6#62"
"116","1","116","1#65|6#730|2003017#10","1#7002379|2#7002380|3#7002381|4#7002382|6#7010116|7#7010116|8#7010116|9#7010116|10#7010116","0","1#53|5#106|4#95|6#64"
"117","1","117","1#65|6#742|2003017#10","1#7002383|2#7002384|3#7002385|4#7002386|6#7010117|7#7010117|8#7010117|9#7010117|10#7010117","0","1#53|5#106|4#95|6#64"
"118","1","118","1#65|6#754|2003017#10","1#7002387|2#7002388|3#7002389|4#7002390|6#7010118|7#7010118|8#7010118|9#7010118|10#7010118","0","1#53|5#106|4#95|6#64"
"119","1","119","1#65|6#766|2003017#10","1#7002391|2#7002392|3#7002393|4#7002394|6#7010119|7#7010119|8#7010119|9#7010119|10#7010119","0","1#53|5#106|4#95|6#64"
"120","1","120","2000001#6|6#778|2003016#30","1#7002395|2#7002396|3#7002397|4#7002398|5#7002399|6#7010120|7#7010120|8#7010120|9#7010120|10#7010120","0","1#53|5#106|4#95|6#64"
"121","1","121","1#70|6#790|2003017#10","1#7002400|2#7002401|3#7002402|4#7002403|5#7002404|6#7010121|7#7010121|8#7010121|9#7010121|10#7010121","0","1#54|5#108|4#97|6#65"
"122","1","122","1#70|6#803|2003017#10","1#7002405|2#7002406|3#7002407|4#7002408|5#7002409|6#7010122|7#7010122|8#7010122|9#7010122|10#7010122","0","1#54|5#108|4#97|6#65"
"123","1","123","1#70|6#816|2003017#10","1#7002410|2#7002411|3#7002412|4#7002413|5#7002414|6#7010123|7#7010123|8#7010123|9#7010123|10#7010123","0","1#54|5#108|4#97|6#65"
"124","1","124","1#70|6#829|2003017#10","1#7002415|2#7002416|3#7002417|4#7002418|5#7002419|6#7010124|7#7010124|8#7010124|9#7010124|10#7010124","0","1#54|5#108|4#97|6#65"
"125","1","125","2000001#7|6#842|2003016#30","1#7002420|2#7002421|3#7002422|4#7002423|5#7002424|6#7010125|7#7010125|8#7010125|9#7010125|10#7010125","0","1#54|5#108|4#97|6#65"
"126","1","126","1#70|6#855|2003017#10","1#7002425|2#7002426|3#7002427|4#7002428|5#7002429|6#7010126|7#7010126|8#7010126|9#7010126|10#7010126","0","1#55|5#110|4#99|6#66"
"127","1","127","1#70|6#868|2003017#10","1#7002430|2#7002431|3#7002432|4#7002433|5#7002434|6#7010127|7#7010127|8#7010127|9#7010127|10#7010127","0","1#55|5#110|4#99|6#66"
"128","1","128","1#70|6#881|2003017#10","1#7002435|2#7002436|3#7002437|4#7002438|5#7002439|6#7010128|7#7010128|8#7010128|9#7010128|10#7010128","0","1#55|5#110|4#99|6#66"
"129","1","129","1#70|6#894|2003017#10","1#7002440|2#7002441|3#7002442|4#7002443|5#7002444|6#7010129|7#7010129|8#7010129|9#7010129|10#7010129","0","1#55|5#110|4#99|6#66"
"130","1","130","2000001#7|6#907|2003016#30","1#7002445|2#7002446|3#7002447|4#7002448|5#7002449|6#7010130|7#7010130|8#7010130|9#7010130|10#7010130","0","1#55|5#110|4#99|6#66"
"131","1","131","1#75|6#920|2003017#10","1#7002450|2#7002451|3#7002452|4#7002453|5#7002454|6#7010131|7#7010131|8#7010131|9#7010131|10#7010131","0","1#56|5#112|4#101|6#67"
"132","1","132","1#75|6#934|2003017#10","1#7002455|2#7002456|3#7002457|4#7002458|5#7002459|6#7010132|7#7010132|8#7010132|9#7010132|10#7010132","0","1#56|5#112|4#101|6#67"
"133","1","133","1#75|6#948|2003017#10","1#7002460|2#7002461|3#7002462|4#7002463|5#7002464|6#7010133|7#7010133|8#7010133|9#7010133|10#7010133","0","1#56|5#112|4#101|6#67"
"134","1","134","1#75|6#962|2003017#10","1#7002465|2#7002466|3#7002467|4#7002468|5#7002469|6#7010134|7#7010134|8#7010134|9#7010134|10#7010134","0","1#56|5#112|4#101|6#67"
"135","1","135","2000001#7|6#976|2003016#30","1#7002470|2#7002471|3#7002472|4#7002473|5#7002474|6#7010135|7#7010135|8#7010135|9#7010135|10#7010135","0","1#56|5#112|4#101|6#67"
"136","1","136","1#75|6#990|2003017#10","1#7002475|2#7002476|3#7002477|4#7002478|5#7002479|6#7010136|7#7010136|8#7010136|9#7010136|10#7010136","0","1#57|5#114|4#103|6#68"
"137","1","137","1#75|6#1004|2003017#10","1#7002480|2#7002481|3#7002482|4#7002483|5#7002484|6#7010137|7#7010137|8#7010137|9#7010137|10#7010137","0","1#57|5#114|4#103|6#68"
"138","1","138","1#75|6#1018|2003017#10","1#7002485|2#7002486|3#7002487|4#7002488|5#7002489|6#7010138|7#7010138|8#7010138|9#7010138|10#7010138","0","1#57|5#114|4#103|6#68"
"139","1","139","1#75|6#1032|2003017#10","1#7002490|2#7002491|3#7002492|4#7002493|5#7002494|6#7010139|7#7010139|8#7010139|9#7010139|10#7010139","0","1#57|5#114|4#103|6#68"
"140","1","140","2000001#7|6#1046|2003016#30","1#7002495|2#7002496|3#7002497|4#7002498|5#7002499|6#7010140|7#7010140|8#7010140|9#7010140|10#7010140","0","1#57|5#114|4#103|6#68"
"141","1","141","1#80|6#1060|2003017#10","1#7002500|2#7002501|3#7002502|4#7002503|5#7002504|6#7010141|7#7010141|8#7010141|9#7010141|10#7010141","0","1#58|5#116|4#104|6#70"
"142","1","142","1#80|6#1075|2003017#10","1#7002505|2#7002506|3#7002507|4#7002508|5#7002509|6#7010142|7#7010142|8#7010142|9#7010142|10#7010142","0","1#58|5#116|4#104|6#70"
"143","1","143","1#80|6#1090|2003017#10","1#7002510|2#7002511|3#7002512|4#7002513|5#7002514|6#7010143|7#7010143|8#7010143|9#7010143|10#7010143","0","1#58|5#116|4#104|6#70"
"144","1","144","1#80|6#1105|2003017#10","1#7002515|2#7002516|3#7002517|4#7002518|5#7002519|6#7010144|7#7010144|8#7010144|9#7010144|10#7010144","0","1#58|5#116|4#104|6#70"
"145","1","145","2000001#8|6#1120|2003016#30","1#7002520|2#7002521|3#7002522|4#7002523|5#7002524|6#7010145|7#7010145|8#7010145|9#7010145|10#7010145","0","1#58|5#116|4#104|6#70"
"146","1","146","1#80|6#1135|2003017#10","1#7002525|2#7002526|3#7002527|4#7002528|5#7002529|6#7010146|7#7010146|8#7010146|9#7010146|10#7010146","0","1#59|5#118|4#106|6#71"
"147","1","147","1#80|6#1150|2003017#10","1#7002530|2#7002531|3#7002532|4#7002533|5#7002534|6#7010147|7#7010147|8#7010147|9#7010147|10#7010147","0","1#59|5#118|4#106|6#71"
"148","1","148","1#80|6#1165|2003017#10","1#7002535|2#7002536|3#7002537|4#7002538|5#7002539|6#7010148|7#7010148|8#7010148|9#7010148|10#7010148","0","1#59|5#118|4#106|6#71"
"149","1","149","1#80|6#1180|2003017#10","1#7002540|2#7002541|3#7002542|4#7002543|5#7002544|6#7010149|7#7010149|8#7010149|9#7010149|10#7010149","0","1#59|5#118|4#106|6#71"
"150","1","150","2000001#8|6#1195|2003016#30","1#7002545|2#7002546|3#7002547|4#7002548|5#7002549|6#7010150|7#7010150|8#7010150|9#7010150|10#7010150","0","1#59|5#118|4#106|6#71"
"151","1","151","1#85|6#1210|2003017#10","1#7002550|2#7002551|3#7002552|4#7002553|5#7002554|6#7010151|7#7010151|8#7010151|9#7010151|10#7010151","0","1#60|5#120|4#108|6#72"
"152","1","152","1#85|6#1226|2003017#10","1#7002555|2#7002556|3#7002557|4#7002558|5#7002559|6#7010152|7#7010152|8#7010152|9#7010152|10#7010152","0","1#60|5#120|4#108|6#72"
"153","1","153","1#85|6#1242|2003017#10","1#7002560|2#7002561|3#7002562|4#7002563|5#7002564|6#7010153|7#7010153|8#7010153|9#7010153|10#7010153","0","1#60|5#120|4#108|6#72"
"154","1","154","1#85|6#1258|2003017#10","1#7002565|2#7002566|3#7002567|4#7002568|5#7002569|6#7010154|7#7010154|8#7010154|9#7010154|10#7010154","0","1#60|5#120|4#108|6#72"
"155","1","155","2000001#8|6#1274|2003016#30","1#7002570|2#7002571|3#7002572|4#7002573|5#7002574|6#7010155|7#7010155|8#7010155|9#7010155|10#7010155","0","1#60|5#120|4#108|6#72"
"156","1","156","1#85|6#1290|2003017#10","1#7002575|2#7002576|3#7002577|4#7002578|5#7002579|6#7010156|7#7010156|8#7010156|9#7010156|10#7010156","0","1#61|5#122|4#110|6#73"
"157","1","157","1#85|6#1306|2003017#10","1#7002580|2#7002581|3#7002582|4#7002583|5#7002584|6#7010157|7#7010157|8#7010157|9#7010157|10#7010157","0","1#61|5#122|4#110|6#73"
