"#name HandbookLevel","#unique id","#index quality upType level","","","","",""
"2104","1","2","4","0","1","1","202#51|203#8"
"2105","1","2","5","0","3","1","202#64|203#11"
"2106","1","2","6","0","3","1","202#76|203#13"
"2107","1","2","7","0","3","1","202#89|203#15"
"2108","1","2","8","0","3","1","202#102|203#17"
"2109","1","2","9","0","3","1","202#115|203#19"
"2110","1","2","10","0","5","1","202#127|203#21"
"2111","1","2","11","0","5","1","202#140|203#23"
"2112","1","2","12","0","5","1","202#153|203#25"
"2113","1","2","13","0","5","1","202#166|203#28"
"2114","1","2","14","0","5","1","202#178|203#30"
"2115","1","2","15","0","8","1","202#191|203#32"
"2116","1","2","16","0","8","1","202#204|203#34"
"2117","1","2","17","0","8","1","202#217|203#36"
"2118","1","2","18","0","8","1","202#229|203#38"
"2119","1","2","19","0","8","1","202#242|203#40"
"2120","1","2","20","0","10","1","202#255|203#42"
"2121","1","2","21","0","10","1","202#268|203#45"
"2122","1","2","22","0","10","1","202#280|203#47"
"2123","1","2","23","0","10","1","202#293|203#49"
"2124","1","2","24","0","10","1","202#306|203#51"
"2125","1","2","25","0","15","1","202#319|203#53"
"2126","1","2","26","0","15","1","202#331|203#55"
"2127","1","2","27","0","15","1","202#344|203#57"
"2128","1","2","28","0","15","1","202#357|203#59"
"2129","1","2","29","0","15","1","202#369|203#61"
"2130","1","2","30","0","20","1","202#382|203#64"
"2131","1","2","31","0","20","1","202#395|203#66"
"2132","1","2","32","0","20","1","202#408|203#68"
"2133","1","2","33","0","20","1","202#420|203#70"
"2134","1","2","34","0","20","1","202#433|203#72"
"2135","1","2","35","0","25","1","202#446|203#74"
"2136","1","2","36","0","25","1","202#459|203#76"
"2137","1","2","37","0","25","1","202#471|203#78"
"2138","1","2","38","0","25","1","202#484|203#81"
"2139","1","2","39","0","25","1","202#497|203#83"
"2140","1","2","40","0","30","1","202#510|203#85"
"2141","1","2","41","0","30","1","202#522|203#87"
"2142","1","2","42","0","30","1","202#535|203#89"
"2143","1","2","43","0","30","1","202#548|203#91"
"2144","1","2","44","0","30","1","202#561|203#93"
"2145","1","2","45","0","35","1","202#573|203#95"
"2146","1","2","46","0","35","1","202#586|203#98"
"2147","1","2","47","0","35","1","202#599|203#100"
"2148","1","2","48","0","35","1","202#612|203#102"
"2149","1","2","49","0","35","1","202#624|203#104"
"2150","1","2","50","0","40","1","202#637|203#106"
"2201","2","2","1","0","1","2","202#19|203#3"
"2202","2","2","2","0","1","2","202#38|203#6"
"2203","2","2","3","0","1","2","202#57|203#9"
"2204","2","2","4","0","1","2","202#76|203#13"
"2205","2","2","5","0","3","2","202#96|203#16"
"2206","2","2","6","0","3","2","202#115|203#19"
"2207","2","2","7","0","3","2","202#134|203#22"
"2208","2","2","8","0","3","2","202#153|203#25"
"2209","2","2","9","0","3","2","202#172|203#28"
"2210","2","2","10","0","5","2","202#191|203#32"
"2211","2","2","11","0","5","2","202#210|203#35"
"2212","2","2","12","0","5","2","202#229|203#38"
"2213","2","2","13","0","5","2","202#248|203#41"
"2214","2","2","14","0","5","2","202#267|203#44"
"2215","2","2","15","0","8","2","202#287|203#47"
"2216","2","2","16","0","8","2","202#306|203#51"
"2217","2","2","17","0","8","2","202#325|203#54"
"2218","2","2","18","0","8","2","202#344|203#57"
"2219","2","2","19","0","8","2","202#363|203#60"
"2220","2","2","20","0","10","2","202#382|203#63"
"2221","2","2","21","0","10","2","202#401|203#66"
"2222","2","2","22","0","10","2","202#420|203#70"
"2223","2","2","23","0","10","2","202#439|203#73"
"2224","2","2","24","0","10","2","202#458|203#76"
"2225","2","2","25","0","15","2","202#478|203#79"
"2226","2","2","26","0","15","2","202#497|203#82"
"2227","2","2","27","0","15","2","202#516|203#85"
"2228","2","2","28","0","15","2","202#535|203#88"
"2229","2","2","29","0","15","2","202#554|203#92"
"2230","2","2","30","0","20","2","202#573|203#95"
"2231","2","2","31","0","20","2","202#592|203#98"
"2232","2","2","32","0","20","2","202#611|203#101"
"2233","2","2","33","0","20","2","202#630|203#104"
"2234","2","2","34","0","20","2","202#649|203#107"
"2235","2","2","35","0","25","2","202#669|203#111"
"2236","2","2","36","0","25","2","202#688|203#114"
"2237","2","2","37","0","25","2","202#707|203#117"
"2238","2","2","38","0","25","2","202#726|203#120"
"2239","2","2","39","0","25","2","202#745|203#123"
"2240","2","2","40","0","30","2","202#764|203#126"
"2241","2","2","41","0","30","2","202#783|203#130"
"2242","2","2","42","0","30","2","202#802|203#133"
"2243","2","2","43","0","30","2","202#821|203#136"
"2244","2","2","44","0","30","2","202#840|203#139"
"2245","2","2","45","0","35","2","202#860|203#142"
"2246","2","2","46","0","35","2","202#879|203#145"
"2247","2","2","47","0","35","2","202#898|203#149"
"2248","2","2","48","0","35","2","202#917|203#152"
"2249","2","2","49","0","35","2","202#936|203#155"
"2250","2","2","50","0","40","2","202#955|203#158"
"2301","3","2","1","0","1","3","202#25|203#4"
"2302","3","2","2","0","1","3","202#51|203#8"
"2303","3","2","3","0","1","3","202#76|203#13"
"2304","3","2","4","0","1","3","202#102|203#17"
"2305","3","2","5","0","3","3","202#127|203#21"
"2306","3","2","6","0","3","3","202#153|203#25"
"2307","3","2","7","0","3","3","202#178|203#30"
"2308","3","2","8","0","3","3","202#204|203#34"
"2309","3","2","9","0","3","3","202#229|203#38"
"2310","3","2","10","0","5","3","202#255|203#42"
"2311","3","2","11","0","5","3","202#280|203#46"
"2312","3","2","12","0","5","3","202#306|203#51"
"2313","3","2","13","0","5","3","202#331|203#55"
"2314","3","2","14","0","5","3","202#356|203#59"
"2315","3","2","15","0","8","3","202#382|203#63"
"2316","3","2","16","0","8","3","202#407|203#68"
"2317","3","2","17","0","8","3","202#433|203#72"
"2318","3","2","18","0","8","3","202#458|203#76"
"2319","3","2","19","0","8","3","202#484|203#80"
"2320","3","2","20","0","10","3","202#509|203#84"
"2321","3","2","21","0","10","3","202#535|203#89"
"2322","3","2","22","0","10","3","202#560|203#93"
"2323","3","2","23","0","10","3","202#586|203#97"
"2324","3","2","24","0","10","3","202#611|203#101"
"2325","3","2","25","0","15","3","202#637|203#106"
"2326","3","2","26","0","15","3","202#662|203#110"
"2327","3","2","27","0","15","3","202#687|203#114"
"2328","3","2","28","0","15","3","202#713|203#118"
"2329","3","2","29","0","15","3","202#738|203#122"
"2330","3","2","30","0","20","3","202#764|203#127"
"2331","3","2","31","0","20","3","202#789|203#131"
"2332","3","2","32","0","20","3","202#815|203#135"
"2333","3","2","33","0","20","3","202#840|203#139"
"2334","3","2","34","0","20","3","202#866|203#143"
"2335","3","2","35","0","25","3","202#891|203#148"
"2336","3","2","36","0","25","3","202#917|203#152"
"2337","3","2","37","0","25","3","202#942|203#156"
"2338","3","2","38","0","25","3","202#967|203#160"
"2339","3","2","39","0","25","3","202#993|203#165"
"2340","3","2","40","0","30","3","202#1018|203#169"
"2341","3","2","41","0","30","3","202#1044|203#173"
"2342","3","2","42","0","30","3","202#1069|203#177"
"2343","3","2","43","0","30","3","202#1095|203#181"
"2344","3","2","44","0","30","3","202#1120|203#186"
"2345","3","2","45","0","35","3","202#1146|203#190"
"2346","3","2","46","0","35","3","202#1171|203#194"
"2347","3","2","47","0","35","3","202#1197|203#198"
"2348","3","2","48","0","35","3","202#1222|203#203"
"2349","3","2","49","0","35","3","202#1248|203#207"
"2350","3","2","50","0","40","3","202#1273|203#211"
"2401","4","2","1","0","1","4","202#32|203#5"
"2402","4","2","2","0","1","4","202#64|203#11"
"2403","4","2","3","0","1","4","202#96|203#16"
"2404","4","2","4","0","1","4","202#127|203#21"
"2405","4","2","5","0","3","4","202#159|203#26"
"2406","4","2","6","0","3","4","202#191|203#32"
"2407","4","2","7","0","3","4","202#223|203#37"
"2408","4","2","8","0","3","4","202#255|203#42"
"2409","4","2","9","0","3","4","202#287|203#48"
"2410","4","2","10","0","5","4","202#318|203#53"
"2411","4","2","11","0","5","4","202#350|203#58"
"2412","4","2","12","0","5","4","202#382|203#63"
"2413","4","2","13","0","5","4","202#414|203#69"
"2414","4","2","14","0","5","4","202#446|203#74"
"2415","4","2","15","0","8","4","202#478|203#79"
"2416","4","2","16","0","8","4","202#509|203#84"
"2417","4","2","17","0","8","4","202#541|203#90"
"2418","4","2","18","0","8","4","202#573|203#95"
"2419","4","2","19","0","8","4","202#605|203#100"
"2420","4","2","20","0","10","4","202#637|203#106"
"2421","4","2","21","0","10","4","202#669|203#111"
"2422","4","2","22","0","10","4","202#700|203#116"
"2423","4","2","23","0","10","4","202#732|203#121"
"2424","4","2","24","0","10","4","202#764|203#127"
"2425","4","2","25","0","15","4","202#796|203#132"
"2426","4","2","26","0","15","4","202#828|203#137"
"2427","4","2","27","0","15","4","202#860|203#143"
"2428","4","2","28","0","15","4","202#892|203#148"
"2429","4","2","29","0","15","4","202#923|203#153"
"2430","4","2","30","0","20","4","202#955|203#158"
"2431","4","2","31","0","20","4","202#987|203#164"
"2432","4","2","32","0","20","4","202#1019|203#169"
"2433","4","2","33","0","20","4","202#1051|203#174"
"2434","4","2","34","0","20","4","202#1083|203#180"
"2435","4","2","35","0","25","4","202#1114|203#185"
"2436","4","2","36","0","25","4","202#1146|203#190"
"2437","4","2","37","0","25","4","202#1178|203#195"
"2438","4","2","38","0","25","4","202#1210|203#201"
"2439","4","2","39","0","25","4","202#1242|203#206"
"2440","4","2","40","0","30","4","202#1274|203#211"
"2441","4","2","41","0","30","4","202#1305|203#216"
"2442","4","2","42","0","30","4","202#1337|203#222"
"2443","4","2","43","0","30","4","202#1369|203#227"
"2444","4","2","44","0","30","4","202#1401|203#232"
"2445","4","2","45","0","35","4","202#1433|203#238"
"2446","4","2","46","0","35","4","202#1465|203#243"
"2447","4","2","47","0","35","4","202#1496|203#248"
"2448","4","2","48","0","35","4","202#1528|203#253"
"2449","4","2","49","0","35","4","202#1560|203#259"
"2450","4","2","50","0","40","4","202#1592|203#264"
"2501","5","2","1","0","1","5","202#38|203#6"
"2502","5","2","2","0","1","5","202#76|203#13"
"2503","5","2","3","0","1","5","202#115|203#19"
"2504","5","2","4","0","1","5","202#153|203#25"
"2505","5","2","5","0","3","5","202#191|203#32"
"2506","5","2","6","0","3","5","202#229|203#38"
"2507","5","2","7","0","3","5","202#267|203#44"
"2508","5","2","8","0","3","5","202#306|203#51"
"2509","5","2","9","0","3","5","202#344|203#57"
"2510","5","2","10","0","5","5","202#382|203#63"
"2511","5","2","11","0","5","5","202#420|203#70"
"2512","5","2","12","0","5","5","202#458|203#76"
"2513","5","2","13","0","5","5","202#497|203#82"
"2514","5","2","14","0","5","5","202#535|203#89"
"2515","5","2","15","0","8","5","202#573|203#95"
"2516","5","2","16","0","8","5","202#611|203#101"
"2517","5","2","17","0","8","5","202#649|203#108"
"2518","5","2","18","0","8","5","202#688|203#114"
"2519","5","2","19","0","8","5","202#726|203#120"
"2520","5","2","20","0","10","5","202#764|203#127"
"2521","5","2","21","0","10","5","202#802|203#133"
"2522","5","2","22","0","10","5","202#840|203#139"
"2523","5","2","23","0","10","5","202#879|203#146"
"2524","5","2","24","0","10","5","202#917|203#152"
"2525","5","2","25","0","15","5","202#955|203#159"
"2526","5","2","26","0","15","5","202#993|203#165"
"2527","5","2","27","0","15","5","202#1031|203#171"
"2528","5","2","28","0","15","5","202#1070|203#178"
"2529","5","2","29","0","15","5","202#1108|203#184"
"2530","5","2","30","0","20","5","202#1146|203#190"
"2531","5","2","31","0","20","5","202#1184|203#197"
"2532","5","2","32","0","20","5","202#1222|203#203"
"2533","5","2","33","0","20","5","202#1261|203#209"
"2534","5","2","34","0","20","5","202#1299|203#216"
"2535","5","2","35","0","25","5","202#1337|203#222"
"2536","5","2","36","0","25","5","202#1375|203#228"
"2537","5","2","37","0","25","5","202#1413|203#235"
"2538","5","2","38","0","25","5","202#1452|203#241"
"2539","5","2","39","0","25","5","202#1490|203#247"
"2540","5","2","40","0","30","5","202#1528|203#254"
"2541","5","2","41","0","30","5","202#1566|203#260"
"2542","5","2","42","0","30","5","202#1604|203#266"
"2543","5","2","43","0","30","5","202#1643|203#273"
"2544","5","2","44","0","30","5","202#1681|203#279"
"2545","5","2","45","0","35","5","202#1719|203#285"
"2546","5","2","46","0","35","5","202#1757|203#292"
"2547","5","2","47","0","35","5","202#1795|203#298"
"2548","5","2","48","0","35","5","202#1834|203#304"
"2549","5","2","49","0","35","5","202#1872|203#311"
"2550","5","2","50","0","40","5","202#1910|203#317"
