"#name EvilCatalog","#unique id","#collector identity","#index identity level",""
"1078","2041301","3","4","224#50|223#600"
"1079","2041301","4","10","224#60|223#720"
"1080","2041301","5","0","224#80|223#960"
"1081","2041302","1","1","224#30|223#360"
"1082","2041302","2","2","224#40|223#480"
"1083","2041302","3","4","224#50|223#600"
"1084","2041302","4","10","224#60|223#720"
"1085","2041302","5","0","224#80|223#960"
"1086","2041303","1","1","224#30|223#360"
"1087","2041303","2","2","224#40|223#480"
"1088","2041303","3","4","224#50|223#600"
"1089","2041303","4","10","224#60|223#720"
"1090","2041303","5","0","224#80|223#960"
"2001","2042101","1","1","226#6|225#72"
"2002","2042101","2","2","226#8|225#96"
"2003","2042101","3","4","226#10|225#120"
"2004","2042101","4","10","226#12|225#144"
"2005","2042101","5","0","226#20|225#240"
"2006","2042102","1","1","226#6|225#72"
"2007","2042102","2","2","226#8|225#96"
"2008","2042102","3","4","226#10|225#120"
"2009","2042102","4","10","226#12|225#144"
"2010","2042102","5","0","226#20|225#240"
"2011","2042103","1","1","226#6|225#72"
"2012","2042103","2","2","226#8|225#96"
"2013","2042103","3","4","226#10|225#120"
"2014","2042103","4","10","226#12|225#144"
"2015","2042103","5","0","226#20|225#240"
"2016","2042104","1","1","226#6|225#72"
"2017","2042104","2","2","226#8|225#96"
"2018","2042104","3","4","226#10|225#120"
"2019","2042104","4","10","226#12|225#144"
"2020","2042104","5","0","226#20|225#240"
"2021","2042105","1","1","226#6|225#72"
"2022","2042105","2","2","226#8|225#96"
"2023","2042105","3","4","226#10|225#120"
"2024","2042105","4","10","226#12|225#144"
"2025","2042105","5","0","226#20|225#240"
"2026","2042106","1","1","226#6|225#72"
"2027","2042106","2","2","226#8|225#96"
"2028","2042106","3","4","226#10|225#120"
"2029","2042106","4","10","226#12|225#144"
"2030","2042106","5","0","226#20|225#240"
"2031","2042107","1","1","226#6|225#72"
"2032","2042107","2","2","226#8|225#96"
"2033","2042107","3","4","226#10|225#120"
"2034","2042107","4","10","226#12|225#144"
"2035","2042107","5","0","226#20|225#240"
"2036","2042108","1","1","226#6|225#72"
"2037","2042108","2","2","226#8|225#96"
"2038","2042108","3","4","226#10|225#120"
"2039","2042108","4","10","226#12|225#144"
"2040","2042108","5","0","226#20|225#240"
"2041","2042109","1","1","226#6|225#72"
"2042","2042109","2","2","226#8|225#96"
"2043","2042109","3","4","226#10|225#120"
"2044","2042109","4","10","226#12|225#144"
"2045","2042109","5","0","226#20|225#240"
"2046","2042201","1","1","226#15|225#180"
"2047","2042201","2","2","226#20|225#240"
"2048","2042201","3","4","226#25|225#300"
"2049","2042201","4","10","226#30|225#360"
"2050","2042201","5","0","226#40|225#480"
"2051","2042202","1","1","226#15|225#180"
"2052","2042202","2","2","226#20|225#240"
"2053","2042202","3","4","226#25|225#300"
"2054","2042202","4","10","226#30|225#360"
"2055","2042202","5","0","226#40|225#480"
"2056","2042203","1","1","226#15|225#180"
"2057","2042203","2","2","226#20|225#240"
"2058","2042203","3","4","226#25|225#300"
"2059","2042203","4","10","226#30|225#360"
"2060","2042203","5","0","226#40|225#480"
"2061","2042204","1","1","226#15|225#180"
"2062","2042204","2","2","226#20|225#240"
"2063","2042204","3","4","226#25|225#300"
"2064","2042204","4","10","226#30|225#360"
"2065","2042204","5","0","226#40|225#480"
"2066","2042205","1","1","226#15|225#180"
"2067","2042205","2","2","226#20|225#240"
"2068","2042205","3","4","226#25|225#300"
"2069","2042205","4","10","226#30|225#360"
"2070","2042205","5","0","226#40|225#480"
"2071","2042206","1","1","226#15|225#180"
"2072","2042206","2","2","226#20|225#240"
"2073","2042206","3","4","226#25|225#300"
"2074","2042206","4","10","226#30|225#360"
"2075","2042206","5","0","226#40|225#480"
"2076","2042301","1","1","226#30|225#360"
"2077","2042301","2","2","226#40|225#480"
"2078","2042301","3","4","226#50|225#600"
"2079","2042301","4","10","226#60|225#720"
"2080","2042301","5","0","226#80|225#960"
"2081","2042302","1","1","226#30|225#360"
"2082","2042302","2","2","226#40|225#480"
"2083","2042302","3","4","226#50|225#600"
"2084","2042302","4","10","226#60|225#720"
"2085","2042302","5","0","226#80|225#960"
"2086","2042303","1","1","226#30|225#360"
"2087","2042303","2","2","226#40|225#480"
"2088","2042303","3","4","226#50|225#600"
"2089","2042303","4","10","226#60|225#720"
"2090","2042303","5","0","226#80|225#960"
"3001","2043101","1","1","228#6|227#72"
"3002","2043101","2","2","228#8|227#96"
"3003","2043101","3","4","228#10|227#120"
"3004","2043101","4","10","228#12|227#144"
"3005","2043101","5","0","228#20|227#240"
"3006","2043102","1","1","228#6|227#72"
"3007","2043102","2","2","228#8|227#96"
"3008","2043102","3","4","228#10|227#120"
"3009","2043102","4","10","228#12|227#144"
"3010","2043102","5","0","228#20|227#240"
"3011","2043103","1","1","228#6|227#72"
"3012","2043103","2","2","228#8|227#96"
"3013","2043103","3","4","228#10|227#120"
"3014","2043103","4","10","228#12|227#144"
"3015","2043103","5","0","228#20|227#240"
"3016","2043104","1","1","228#6|227#72"
"3017","2043104","2","2","228#8|227#96"
"3018","2043104","3","4","228#10|227#120"
"3019","2043104","4","10","228#12|227#144"
"3020","2043104","5","0","228#20|227#240"
"3021","2043105","1","1","228#6|227#72"
"3022","2043105","2","2","228#8|227#96"
"3023","2043105","3","4","228#10|227#120"
"3024","2043105","4","10","228#12|227#144"
"3025","2043105","5","0","228#20|227#240"
"3026","2043106","1","1","228#6|227#72"
"3027","2043106","2","2","228#8|227#96"
"3028","2043106","3","4","228#10|227#120"
"3029","2043106","4","10","228#12|227#144"
"3030","2043106","5","0","228#20|227#240"
"3031","2043107","1","1","228#6|227#72"
"3032","2043107","2","2","228#8|227#96"
"3033","2043107","3","4","228#10|227#120"
"3034","2043107","4","10","228#12|227#144"
"3035","2043107","5","0","228#20|227#240"
"3036","2043108","1","1","228#6|227#72"
"3037","2043108","2","2","228#8|227#96"
"3038","2043108","3","4","228#10|227#120"
"3039","2043108","4","10","228#12|227#144"
"3040","2043108","5","0","228#20|227#240"
"3041","2043109","1","1","228#6|227#72"
"3042","2043109","2","2","228#8|227#96"
"3043","2043109","3","4","228#10|227#120"
"3044","2043109","4","10","228#12|227#144"
"3045","2043109","5","0","228#20|227#240"
"3046","2043201","1","1","228#15|227#180"
"3047","2043201","2","2","228#20|227#240"
"3048","2043201","3","4","228#25|227#300"
"3049","2043201","4","10","228#30|227#360"
"3050","2043201","5","0","228#40|227#480"
"3051","2043202","1","1","228#15|227#180"
"3052","2043202","2","2","228#20|227#240"
"3053","2043202","3","4","228#25|227#300"
"3054","2043202","4","10","228#30|227#360"
"3055","2043202","5","0","228#40|227#480"
"3056","2043203","1","1","228#15|227#180"
"3057","2043203","2","2","228#20|227#240"
"3058","2043203","3","4","228#25|227#300"
"3059","2043203","4","10","228#30|227#360"
"3060","2043203","5","0","228#40|227#480"
"3061","2043204","1","1","228#15|227#180"
"3062","2043204","2","2","228#20|227#240"
"3063","2043204","3","4","228#25|227#300"
"3064","2043204","4","10","228#30|227#360"
"3065","2043204","5","0","228#40|227#480"
"3066","2043205","1","1","228#15|227#180"
"3067","2043205","2","2","228#20|227#240"
"3068","2043205","3","4","228#25|227#300"
"3069","2043205","4","10","228#30|227#360"
"3070","2043205","5","0","228#40|227#480"
"3071","2043206","1","1","228#15|227#180"
"3072","2043206","2","2","228#20|227#240"
"3073","2043206","3","4","228#25|227#300"
"3074","2043206","4","10","228#30|227#360"
"3075","2043206","5","0","228#40|227#480"
"3076","2043301","1","1","228#30|227#360"
"3077","2043301","2","2","228#40|227#480"
"3078","2043301","3","4","228#50|227#600"
"3079","2043301","4","10","228#60|227#720"
"3080","2043301","5","0","228#80|227#960"
"3081","2043302","1","1","228#30|227#360"
"3082","2043302","2","2","228#40|227#480"
"3083","2043302","3","4","228#50|227#600"
"3084","2043302","4","10","228#60|227#720"
"3085","2043302","5","0","228#80|227#960"
"3086","2043303","1","1","228#30|227#360"
"3087","2043303","2","2","228#40|227#480"
"3088","2043303","3","4","228#50|227#600"
"3089","2043303","4","10","228#60|227#720"
"3090","2043303","5","0","228#80|227#960"
