"#name RechargeProduct","#unique id","#collector productType","","","","","","","","","","",""
"id","name","productType","productParam","money","productCode","rewards","firstRewards","noble","describe"
"5605","传说-伙伴礼包","5","","3000","AA.sss.30","2#300|2001024#50|5#500|7#300","","",""
"5606","法宝-尊享礼包","5","","6800","AA.sss.68","2#680|1#1000|2000009#15|7#680","","",""
"5608","伙伴-觉醒礼包","5","","12800","AA.sss.128","2#1280|1#1500|2000009#25|7#1280","","",""
"5610","神话-伙伴礼包","5","","19800","AA.sss.198","2#1980|1#3000|2001026#100|7#1980","","",""
"5611","伙伴-升星礼包","5","","32800","AA.sss.328","2#3280|1#5000|2000008#2000|7#3280","","",""
"5612","祝融直升礼包I","5","","6800","AA.sss.68","2#680|1040003#100|5#1000|7#680","","",""
"5613","祝融直升礼包II","5","","12800","AA.sss.128","2#980|1040003#150|5#2000|7#980","","",""
"5614","祝融直升礼包IIII","5","","19800","AA.sss.198","2#1980|1040003#300|5#3000|7#1980","","",""
"5615","伏羲直升礼包I","5","","19800","AA.sss.198","2#1980|1040004#100|5#2000|7#1980","","",""
"5616","伏羲直升礼包II","5","","32800","AA.sss.328","2#3280|1040004#150|5#3000|7#3280","","",""
"5617","伏羲直升礼包IIII","5","","64800","AA.sss.648","2#6480|1040004#300|5#5000|7#6480","","",""
"5618","神话套装礼包","5","","64800","AA.sss.648","2003012#3|2#6480|1#15000|7#6480","","",""
"5701","珍宝阁-每周礼包","5","","12800","AA.sss.128","","","","C"
"5702","炼狱特权商品","5","10001","32800","AA.sss.328","","","","A"
"5703","珍宝阁-每周礼包","5","","12800","AA.sss.128","","","","B"
"5704","珍宝阁-每周礼包","5","","12800","AA.sss.128","","","","C"
"5801","珍宝阁-定制商品","5","","19800","AA.sss.198","","","","A"
"5802","珍宝阁-定制商品","5","","19800","AA.sss.198","","","","B"
"5803","珍宝阁-定制商品","5","","19800","AA.sss.198","","","","C"
"6001","修仙令","6","1003001","9800","AA.sss.98","","","","A"
"6002","修仙令","6","1003002","9800","AA.sss.98","","","","B"
"6003","修仙令","6","1003003","9800","AA.sss.98","","","","C"
"7011","普通塔1期","7","","6800","AA.sss.68","","","","A"
"7012","普通塔2期","7","","12800","AA.sss.128","","","","B"
"7013","普通塔3期","7","","19800","AA.sss.198","","","","C"
"7014","普通塔4期","7","","19800","AA.sss.198","","","","A"
"7015","普通塔5期","7","","19800","AA.sss.198","","","","B"
"7021","人族塔1期","7","","6800","AA.sss.68","","","","C"
"7022","人族塔2期","7","","12800","AA.sss.128","","","","A"
"7023","人族塔3期","7","","19800","AA.sss.198","","","","B"
"7024","人族塔4期","7","","19800","AA.sss.198","","","","C"
"7025","人族塔5期","7","","19800","AA.sss.198","","","","A"
"7031","灵族塔1期","7","","6800","AA.sss.68","","","","B"
"7032","灵族塔2期","7","","12800","AA.sss.128","","","","C"
"7033","灵族塔3期","7","","19800","AA.sss.198","","","","A"
"7034","灵族塔4期","7","","19800","AA.sss.198","","","","B"
"7035","灵族塔5期","7","","19800","AA.sss.198","","","","C"
"7041","仙族塔1期","7","","6800","AA.sss.68","","","","A"
"7042","仙族塔2期","7","","12800","AA.sss.128","","","","B"
"7043","仙族塔3期","7","","19800","AA.sss.198","","","","C"
"7044","仙族塔4期","7","","19800","AA.sss.198","","","","A"
"7045","仙族塔5期","7","","19800","AA.sss.198","","","","B"
"8001","迷雾1_1触发礼包","8","","3000","AA.sss.30","2001003#15|2001004#5|1#800|7#300","","","C"
"8002","迷雾1_2触发礼包","8","","6800","AA.sss.68","2001003#35|2001004#10|1#1000|7#680","","","A"
"8003","迷雾1_3触发礼包","8","","12800","AA.sss.128","2001003#70|2001004#20|1#1600|7#1280","","","B"
"8004","迷雾1_4触发礼包","8","","19800","AA.sss.198","2001003#120|2001004#35|1#2000|7#1980","","","C"
"8005","迷雾1_5触发礼包","8","","19800","AA.sss.198","2001003#120|2001004#35|1#2000|7#1980","","","A"
"8100","10级触发礼包","8","","600","AA.sss.6","1030020#100|5#500|7#60","","","B"
"8101","20级触发礼包","8","","3000","AA.sss.30","1030018#50|1#2000|7#300","","","B"
"8102","30级触发礼包","8","","9800","AA.sss.98","2000001#3|2001023#2|1#1200|7#980","","","C"
"8103","40级触发礼包","8","","12800","AA.sss.128","2000001#4|2001022#3|1#1600|7#1280","","","A"
"8104","50级触发礼包","8","","12800","AA.sss.128","2000001#4|2001022#3|1#1600|7#1980","","","B"
"8105","60级触发礼包","8","","19800","AA.sss.198","2000001#6|2001022#5|1#2000|7#1980","","","C"
"8106","70级触发礼包","8","","19800","AA.sss.198","2000001#6|2001022#5|1#2000|7#1980","","","A"
"8201","橙色伙伴获得礼包","8","","3000","AA.sss.30","2#300|7#300|5#500","","","C"
"8202","橙色伙伴20级触发礼包","8","","6800","AA.sss.68","2#680|7#680|5#800","","","B"
"8203","橙色伙伴30级触发礼包","8","","6800","AA.sss.68","2#680|7#680|2000008#100","","","C"
"8204","橙色伙伴40级触发礼包","8","","9800","AA.sss.98","2#980|7#980|2000008#150","","","A"
"8205","橙色伙伴50级触发礼包","8","","12800","AA.sss.128","2#1280|7#1280|2000008#200","","","B"
"8206","橙色伙伴60级触发礼包","8","","19800","AA.sss.198","2#1980|7#1980|2000008#300","","","C"
"8207","橙色伙伴70级触发礼包","8","","32800","AA.sss.328","2#3280|7#3280|2000008#500","","","C"
"8208","橙色伙伴80级触发礼包","8","","64800","AA.sss.648","2#6480|7#6480|2000008#1000","","","C"
"8211","红色伙伴获得礼包","8","","3000","AA.sss.30","2#300|7#300|5#500","","","C"
"8212","红色伙伴20级触发礼包","8","","6800","AA.sss.68","2#680|7#680|5#800","","","B"
"8213","红色伙伴30级触发礼包","8","","6800","AA.sss.68","2#680|7#680|2000008#100","","","C"
"8214","红色伙伴40级触发礼包","8","","9800","AA.sss.98","2#980|7#980|2000008#150","","","A"
"8215","红色伙伴50级触发礼包","8","","12800","AA.sss.128","2#1280|7#1280|2000008#200","","","B"
"8216","红色伙伴60级触发礼包","8","","19800","AA.sss.198","2#1980|7#1980|2000008#300","","","C"
"8217","红色伙伴70级触发礼包","8","","32800","AA.sss.328","2#3280|7#3280|2000008#500","","","C"
"8218","红色伙伴80级触发礼包","8","","64800","AA.sss.648","2#6480|7#6480|2000008#1000","","","C"
"8301","金币礼包","8","","600","AA.sss.6","1#1200|7#60","","","B"
"8401","爬塔礼包","8","","600","AA.sss.6","5#500|1#500|2#300|7#60","","","B"
"8402","爬塔礼包","8","","600","AA.sss.6","5#500|1#500|2#300|7#60","","","B"
"8403","爬塔礼包","8","","600","AA.sss.6","5#500|1#500|2#300|7#60","","","B"
"8404","爬塔礼包","8","","600","AA.sss.6","5#500|1#500|2#300|7#60","","","B"
"8501","阵亡礼包","8","","600","AA.sss.6","1#1200|2#120|7#60","","","B"
"8601","仙玉礼包","8","","600","AA.sss.6","2#200|7#60","","","B"
"8701","世界礼包","8","","600","AA.sss.6","1#1200|2#120|7#60","","","B"
"8702","秘境礼包","8","","600","AA.sss.6","1#1200|2#120|7#60","","","B"
"8703","通天礼包","8","","600","AA.sss.6","1#1200|2#120|7#60","","","B"
"8704","黄金礼包","8","","600","AA.sss.6","1#1200|2#120|7#60","","","B"
"9001","成长基金1期","9","1","6800","AA.sss.68","","","7#680",""
"9002","成长基金2期","9","2","9800","AA.sss.98","","","7#980",""
"10001","首充6元","10","","600","AA.sss.6","","","",""
"10002","首充68元","10","","6800","AA.sss.68","","","",""
"11001","普通月卡","11","","600","AA.sss.6","","","7#60",""
"11002","超值月卡","11","","3000","AA.sss.30","","","7#300",""
"11003","终身卡","11","","19800","AA.sss.198","","","7#1980",""
"11004","免广告卡","11","","3000","AA.sss.30","","","7#300",""
"12001","伙伴养成礼包","12","","600","AA.sss.6","","","",""
"12002","嫦娥直升礼包I","12","","3000","AA.sss.30","","","",""
"12003","嫦娥直升礼包II","12","","6800","AA.sss.68","","","",""
"12004","乔峰直升礼包I","12","","6800","AA.sss.68","","","",""
"12005","乔峰直升礼包II","12","","12800","AA.sss.128","","","",""
"12006","乔峰直升礼包IIII","12","","19800","AA.sss.198","","","",""
"12007","王母直升礼包I","12","","19800","AA.sss.198","","","",""
"12008","王母直升礼包II","12","","32800","AA.sss.328","","","",""
"12009","王母直升礼包IIII","12","","64800","AA.sss.648","","","",""
"12101","助力礼包","12","","600","AA.sss.6","","","",""
"12102","超值礼包","12","","3000","AA.sss.30","","","",""
"12103","尊享礼包","12","","6800","AA.sss.68","","","",""
"12104","豪华礼包","12","","12800","AA.sss.128","","","",""
"12105","畅享礼包","12","","19800","AA.sss.198","","","",""
"12106","惊喜礼包","12","","32800","AA.sss.328","","","",""
"12107","至尊礼包","12","","64800","AA.sss.648","","","",""
"13001","开服活动-活跃战令","13","1001001","9800","AA.sss.98","","","7#300",""
"14001","开服活动-等级战令","14","1002001","6800","AA.sss.68","","","7#680",""
"14002","开服活动-登陆战令","14","1002002","6800","AA.sss.68","","","7#680",""
"14003","开服活动-爬塔战令","14","1002003","6800","AA.sss.68","","","7#680",""
"14004","开服活动-招募战令","14","1002004","6800","AA.sss.68","","","7#680",""
"15001","超值补给包","5","","100","AA.sss.1","2#30|1#100|5#100","","7#10",""
"15002","嫦娥养成包1","5","","300","AA.sss.3","1030020#15|1#250|5#250","","7#30",""
"15003","超值补给包2","5","","600","AA.sss.6","2#100|5#500|4#500|6#500","","7#60",""
"15004","嫦娥养成包2","5","","1200","AA.sss.12","1030020#50|2001003#15|2000008#30|5#500","","7#120",""
"15005","传奇自选包1","5","","3000","AA.sss.30","2001024#30|2001004#5|2000008#50|5#1000","","7#300",""
"15006","传奇自选包2","5","","6800","AA.sss.68","2001024#50|2001004#10|2000008#100|2000009#5","","7#680",""
"15007","无双自选包","5","","12800","AA.sss.128","2001026#25|5#1500|2000008#250|2000009#15","","7#1280",""
"16001","超值补给包","5","","600","AA.sss.6","2#150|1#300|6#250","","7#60",""
"16002","西王母养成包1","5","","1200","AA.sss.12","1040012#5|2000008#30|2#120|5#500","","7#120",""
"16003","西王母养成包2","5","","1200","AA.sss.12","1040012#5|2001003#15|2#120|4#500","","7#120",""
"16004","西王母养成包3","5","","3000","AA.sss.30","1040012#10|2000008#50|2#300|6#1000","","7#300",""
"16005","西王母养成包4","5","","6800","AA.sss.68","1040012#20|2001004#5|2#680|5#1500","","7#680",""
"16006","西王母养成包5","5","","12800","AA.sss.128","1040012#50|2000008#500|2#1280|2000009#15","","7#1280",""
"16007","西王母养成包6","5","","32800","AA.sss.328","1040012#100|2000008#1000|2#3280|2000009#30","","7#3280",""
