"#name SceneFog","#unique id","#index mainlineId fogId","","","","","","","",""
"id","mainlineId","fogId","openCosts","openRewards","belongZoneId","openLevel"
"108","1002","108","4#100","1#10","1","30"
"109","1002","109","4#100","1#10","1","30"
"110","1002","110","4#100","1#10","1","30"
"111","1002","111","4#600","1#10","1","30"
"112","1002","112","4#120","1#10","1","30"
"113","1002","113","4#120","1#10","1","30"
"114","1002","114","4#120","1#10","1","30"
"115","1002","115","4#120","1#10","1","30"
"116","1002","116","4#120","1#10","1","30"
"117","1002","117","4#650","1#10","1","40"
"118","1002","118","4#120","1#10","1","40"
"119","1002","119","4#120","1#10","1","40"
"120","1002","120","4#120","1#10","1","40"
"121","1002","121","4#120","1#10","1","40"
"122","1002","122","4#120","1#10","1","40"
"123","1002","123","4#700","1#10","1","40"
"124","1002","124","4#150","1#10","1","40"
"125","1002","125","4#150","1#10","1","40"
"126","1002","126","4#150","1#10","1","40"
"127","1002","127","4#150","1#10","1","40"
"128","1002","128","4#750","1#10","1","40"
"129","1002","129","4#150","1#10","1","40"
"130","1002","130","4#150","1#10","1","40"
"131","1002","131","4#150","1#10","1","40"
"132","1002","132","4#150","1#10","1","40"
"133","1002","133","4#800","1#10","1","40"
"202","1003","202","4#180","1#10","1","45"
"203","1003","203","4#180","1#10","1","45"
"204","1003","204","4#180","1#10","1","45"
"205","1003","205","4#180","1#10","1","45"
"206","1003","206","4#850","1#10","1","45"
"207","1003","207","4#180","1#10","1","45"
"208","1003","208","4#180","1#10","1","45"
"209","1003","209","4#180","1#10","1","45"
"210","1003","210","4#180","1#10","1","45"
"211","1003","211","4#850","1#10","1","45"
"212","1003","212","4#200","1#10","1","45"
"213","1003","213","4#200","1#10","1","45"
"214","1003","214","4#200","1#10","1","45"
"215","1003","215","4#200","1#10","1","45"
"216","1003","216","4#200","1#10","1","45"
"217","1003","217","4#900","1#10","1","50"
"218","1003","218","4#200","1#10","1","50"
"219","1003","219","4#200","1#10","1","50"
"220","1003","220","4#200","1#10","1","50"
"221","1003","221","4#200","1#10","1","50"
"222","1003","222","4#200","1#10","1","50"
"223","1003","223","4#950","1#10","1","50"
"224","1003","224","4#220","1#10","1","50"
"225","1003","225","4#220","1#10","1","50"
"226","1003","226","4#220","1#10","1","50"
"227","1003","227","4#220","1#10","1","50"
"228","1003","228","4#1050","1#10","1","50"
"229","1003","229","4#220","1#10","1","50"
"230","1003","230","4#220","1#10","1","50"
"231","1003","231","4#220","1#10","1","50"
"232","1003","232","4#220","1#10","1","50"
"233","1003","233","4#1100","1#10","1","50"
