"#name Guide","#unique id","#index group subId","","","","","","","","","","","","","","","","","",""
"id","group","subId","task_id","type","targetType","targetId","targetName","targetUI","moviePath","condition","conditionParam","dialogue","fingerDiction","diction","bubbleTxt","bubbleTxtLang","guideTxt","guideTxtLang","focus","force","repeat","beizhu"
"17","15","2","","3","2","2#110","1#btnUnlock","","","0","","0","1","0#0","","Guide_BubbleTxt_17","","Guide_GuideTxt_17","0","0","2","指引点击神坛按钮"
"18","16","1","1#10010","4","1","10004","","","","0","","0","1","0#0","","Guide_BubbleTxt_18","","Guide_GuideTxt_18","0","0","0","接取任务，指引点击"
"19","17","1","1#10011","4","1","10004","","","","0","","0","1","0#0","","Guide_BubbleTxt_19","","Guide_GuideTxt_19","0","0","0","接取任务，指引点击"
"20","18","1","2#10011","4","1","10004","","","","0","","0","1","0#0","","Guide_BubbleTxt_20","","Guide_GuideTxt_20","0","0","0","接取任务，指引点击"
"101","101","1","2#10009","3","2","2#110","1#btnActive","","","0","","0","1","0#0","","Guide_BubbleTxt_101","","Guide_GuideTxt_101","0","0","1","靠近神坛，指引点击神坛交互按钮"
"102","101","2","","4","","","","","","6","ui/training/trainingView","100","0","0#0","","Guide_BubbleTxt_102","","Guide_GuideTxt_102","0","0","1","神坛介绍对白"
"103","101","3","","3","3","10015","2#_generalTalentArr#0","ui/training/trainingView","","0","","0","1","0#0","","Guide_BubbleTxt_103","","Guide_GuideTxt_103","0","0","1","点击普通天赋按钮"
"104","101","4","","3","3","10015","1#btnUnlockState","ui/training/trainingView","","0","","0","1","3#80","","Guide_BubbleTxt_104","消耗<color=#dd7e0d>晶石</color>升级","Guide_GuideTxt_104","0","0","1","点击解锁按钮"
"105","101","5","","3","1","10004","","","","4","ui/training/trainingView","0","1","0#0","","Guide_BubbleTxt_105","","Guide_GuideTxt_105","0","0","0","神坛引导结束后，指引点击完成任务"
"110","102","1","1#10016","3","1","10006","","","","0","","103","3","2#130","","Guide_BubbleTxt_110","","Guide_GuideTxt_110","0","0","1","接取神像任务后，指引点击回城按钮"
"111","102","2","","3","2","5#1","1#btnActive","npc/building_town_portal","","0","","0","3","0#0","","Guide_BubbleTxt_111","","Guide_GuideTxt_111","0","0","2","指引点击传送法阵按钮"
"112","103","1","2#10016","3","2","2#100","1#btnActive","","","0","","0","1","0#0","","Guide_BubbleTxt_112","","Guide_GuideTxt_112","0","0","1","靠近神像时，指引打开神像界面"
"113","103","2","","4","","","","","","6","ui/pub/pubUI","104","0","0#0","","Guide_BubbleTxt_113","","Guide_GuideTxt_113","0","0","1","播放剧情对白"
"114","103","3","","3","3","10012","1#btnRecruit","ui/pub/pubUI","","0","","0","3","0#0","","Guide_BubbleTxt_114","","Guide_GuideTxt_114","0","0","1#3","召唤英雄"
"115","103","4","","4","","","","","","4","ui/pub/pubUI","105","0","0#0","","Guide_BubbleTxt_115","","Guide_GuideTxt_115","0","0","0","播放剧情对白"
"116","103","5","","3","1","10016","","","","0","","0","1","0#0","","Guide_BubbleTxt_116","","Guide_GuideTxt_116","0","0","5","指引点击伙伴按钮"
"117","103","6","","3","3","10016","2#arredNodeList#0","ui/hero/heroManageUI","","0","","0","1","1#130","","Guide_BubbleTxt_117","","Guide_GuideTxt_117","0","0","1","点击伙伴"
"118","103","7","","3","3","10016","1#btn_blue","ui/hero/heroDetailUI","","0","","0","1","1#130","","Guide_BubbleTxt_118","消耗<color=#dd7e0d>精元</color>升级","Guide_GuideTxt_118","1","1","5#6","点击伙伴升级"
"119","104","1","1#10012","4","","","","","","0","","101","0","0#0","","Guide_BubbleTxt_119","","Guide_GuideTxt_119","0","0","1","接取任务，触发剧情对话"
"120","104","2","","3","2","2#110","1#btnActive","","","0","","0","1","0#0","","Guide_BubbleTxt_120","","Guide_GuideTxt_120","0","0","1","靠近神坛，指引点击神坛交互按钮"
"121","104","3","","4","","","","","","6","ui/training/trainingView","102","0","0#0","","Guide_BubbleTxt_121","","Guide_GuideTxt_121","0","0","1","打开界面时触发剧情对白"
"122","104","4","","3","3","10015","2#_expertTalentArr#0","ui/training/trainingView","","0","","0","2","0#0","","Guide_BubbleTxt_122","","Guide_GuideTxt_122","0","0","1","点击人数+1按钮"
"123","104","5","","3","3","10015","1#btnUnlockState","ui/training/trainingView","","0","","0","2","4#80","","Guide_BubbleTxt_123","消耗<color=#dd7e0d>仙晶</color>解锁","Guide_GuideTxt_123","0","0","1","点击解锁按钮"
"124","105","1","2#10012","3","1","10016","","","","4","ui/training/trainingView","0","1","1#130","","Guide_BubbleTxt_124","","Guide_GuideTxt_124","0","0","1","上阵人数任务完成后，指引点击出战按钮"
"125","105","2","","3","3","10016","1#btn_hero_buzhen","ui/hero/heroManageUI","","0","","0","2","0#0","","Guide_BubbleTxt_125","","Guide_GuideTxt_125","0","0","1","打开上阵界面后，指引点击打开出战界面"
"126","105","3","","4","","","","","","6","ui/heroEmbattle/heroArrayUI","106","2","0#0","","Guide_BubbleTxt_126","","Guide_GuideTxt_126","0","0","0","打开出战界面后，播放剧情文本"
